EnsemblID,UnionMeasuredPPI,IntersectMeasuredPPI,totalTFBSScore,ZscoreHighScore,RescreenOnlyZscores,MannWhitneyUEstRankDiff,Profile
ENSG00000000003,no,no,2.3837682334,NA,NA,-0.9999719551,NA
ENSG00000000005,no,no,-1.7358267364,NA,NA,NA,9
ENSG00000000419,yes,yes,0.574417631,NA,NA,-5.80264193559293E-05,NA
ENSG00000000457,no,no,0.007718595,NA,NA,-4.46913698979772E-05,15
ENSG00000000460,yes,yes,NA,NA,NA,NA,0
ENSG00000000938,no,no,8.0773547827,NA,NA,1.9999251216,8
ENSG00000000971,no,no,-2.1999754156,NA,NA,NA,11
ENSG00000001036,yes,yes,-0.227975213,NA,NA,NA,6
ENSG00000001084,no,no,3.0634300704,NA,NA,-4.50134408357715E-05,NA
ENSG00000001167,no,no,9.5845758166,NA,NA,-4.144152161658E-05,NA
ENSG00000001460,no,no,2.8610656333,NA,NA,NA,7
ENSG00000001461,no,no,0.0818618709,NA,NA,-7.04568875469381E-07,NA
ENSG00000001497,yes,yes,11.4000177862,NA,NA,-7.73036438508791E-05,5
ENSG00000001561,no,no,0.3726394953,NA,NA,-0.9999280339,7
ENSG00000001617,no,no,-2.0455063257,NA,NA,-3.70078389239978E-05,NA
ENSG00000001626,no,no,-4.8937559933,NA,NA,0,7
ENSG00000001629,no,no,-1.5047393665,NA,NA,NA,10
ENSG00000001630,no,no,1.1941682022,NA,NA,0,NA
ENSG00000001631,no,no,-1.8687135673,NA,NA,NA,9
ENSG00000002016,no,no,-6.7353494329,NA,NA,NA,NA
ENSG00000002330,yes,yes,4.5970954787,NA,NA,-0.999991118,NA
ENSG00000002549,yes,yes,2.5188809699,NA,NA,4.34944634798785E-05,15
ENSG00000002586,yes,yes,1.7144635852,NA,NA,6.02519015648403E-05,2
ENSG00000002587,no,no,0.5639432531,NA,NA,0,2
ENSG00000002726,yes,no,0.7001506398,NA,NA,6.70484233186722E-06,14
ENSG00000002745,no,no,2.9087176351,NA,NA,NA,NA
ENSG00000002746,yes,yes,0.5201499691,NA,NA,-0.999975124,NA
ENSG00000002822,yes,no,-0.4576575299,NA,NA,-1.58384523196553E-05,NA
ENSG00000002834,yes,yes,-1.2526848759,NA,NA,1.0000505788,6
ENSG00000002919,no,no,-1.6415203581,NA,NA,-4.40462890662128E-05,NA
ENSG00000002933,no,no,0.8916484583,NA,NA,-3.95086003222166E-05,6
ENSG00000003056,yes,yes,6.5875613884,NA,NA,6.1204230350686E-05,1
ENSG00000003096,no,no,0.8063148421,NA,NA,-0.000089567,3
ENSG00000003137,no,no,-1.0467904523,NA,NA,NA,NA
ENSG00000003147,no,no,0.7152118146,NA,NA,-5.34276311471165E-05,NA
ENSG00000003249,no,no,2.4246398549,NA,NA,-2.02391491728005E-05,NA
ENSG00000003393,no,no,-7.1332476949,NA,NA,1.77779128151321E-06,NA
ENSG00000003400,yes,no,5.1148391676,NA,NA,3.4156323064276E-05,15
ENSG00000003402,no,no,6.5435394938,NA,NA,NA,NA
ENSG00000003436,no,no,-0.3101349116,NA,NA,-4.31264874739024E-05,NA
ENSG00000003509,no,no,1.4061994681,NA,NA,NA,6
ENSG00000003756,yes,yes,0.5573134504,NA,NA,2.4087611947791E-05,9
ENSG00000003987,no,no,-1.0625841441,NA,NA,NA,NA
ENSG00000003989,no,no,-5.603002582,NA,NA,NA,NA
ENSG00000004059,yes,yes,2.5029084209,NA,NA,NA,NA
ENSG00000004139,no,no,-0.6412402869,NA,NA,NA,NA
ENSG00000004142,yes,yes,-1.361444994,NA,NA,NA,2
ENSG00000004399,no,no,0.0248183224,NA,NA,-0.9999814524,2
ENSG00000004455,no,no,2.4917816714,NA,NA,-5.36832251626299E-05,NA
ENSG00000004468,yes,no,1.1039621785,NA,NA,1.9999925418,11
ENSG00000004478,yes,yes,2.5594162508,NA,NA,-2.35211987261255E-05,NA
ENSG00000004487,yes,yes,-1.1005354378,NA,NA,6.4344880935231E-05,14
ENSG00000004534,yes,yes,0.1881269484,NA,NA,2.18606494576794E-05,7
ENSG00000004660,no,no,-2.3770720555,NA,NA,1.0000232051,NA
ENSG00000004700,yes,yes,6.0918190795,NA,NA,-1.25408123555389E-05,10
ENSG00000004766,no,no,0.3697982629,NA,NA,-2.35479073241992E-05,NA
ENSG00000004776,yes,no,-0.219625028,NA,NA,0,NA
ENSG00000004777,no,no,6.5556416907,NA,NA,-0.9999664976,NA
ENSG00000004779,no,no,-1.8933184316,NA,NA,NA,NA
ENSG00000004799,no,no,-0.904669054,NA,NA,-0.000018283,8
ENSG00000004809,no,no,0.3694782429,NA,NA,NA,NA
ENSG00000004838,yes,yes,0.4098820617,NA,NA,NA,14
ENSG00000004846,no,no,-1.1884450887,NA,NA,NA,NA
ENSG00000004848,no,no,4.5950939205,NA,NA,NA,NA
ENSG00000004864,yes,yes,1.2746791777,NA,NA,-8.55454232259116E-06,2
ENSG00000004866,no,no,0.2313943824,NA,NA,-0.999921162,NA
ENSG00000004897,yes,yes,3.1238627379,NA,NA,4.16081402778659E-05,9
ENSG00000004939,no,no,0.3535349332,NA,NA,0,NA
ENSG00000004948,no,no,5.3829076054,NA,NA,0,4
ENSG00000004961,yes,yes,-0.9469407479,NA,NA,1.12048130468114E-05,NA
