




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (106)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	3	3	.02	+	 > 100	2.42E-06	1.02E-03
positive regulation of nuclease activity (GO:0032075)	16	4	.08	+	49.63	2.72E-06	1.09E-03
DNA deamination (GO:0045006)	13	3	.07	+	45.81	6.54E-05	8.64E-03
regulation of nuclease activity (GO:0032069)	30	4	.15	+	26.47	2.46E-05	4.52E-03
positive regulation of histone methylation (GO:0031062)	37	4	.19	+	21.46	5.23E-05	7.29E-03
DNA damage response, detection of DNA damage (GO:0042769)	39	4	.20	+	20.36	6.33E-05	8.51E-03
positive regulation of type I interferon production (GO:0032481)	75	5	.38	+	13.23	5.13E-05	7.34E-03
T cell costimulation (GO:0031295)	75	5	.38	+	13.23	5.13E-05	7.28E-03
lymphocyte costimulation (GO:0031294)	76	5	.38	+	13.06	5.45E-05	7.45E-03
regulation of B cell proliferation (GO:0030888)	62	4	.31	+	12.81	3.38E-04	3.41E-02
regulation of histone methylation (GO:0031060)	64	4	.32	+	12.41	3.79E-04	3.75E-02
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	69	4	.35	+	11.51	4.98E-04	4.62E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	141	7	.71	+	9.86	9.74E-06	2.53E-03
regulation of type I interferon production (GO:0032479)	125	6	.63	+	9.53	5.18E-05	7.27E-03
response to hydrogen peroxide (GO:0042542)	106	5	.53	+	9.36	2.42E-04	2.48E-02
response to alkaloid (GO:0043279)	108	5	.54	+	9.19	2.63E-04	2.68E-02
T cell receptor signaling pathway (GO:0050852)	177	8	.89	+	8.97	4.28E-06	1.55E-03
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	123	5	.62	+	8.07	4.67E-04	4.36E-02
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	223	9	1.12	+	8.01	2.57E-06	1.06E-03
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	126	5	.63	+	7.88	5.19E-04	4.76E-02
lymphocyte activation (GO:0046649)	354	14	1.78	+	7.85	4.54E-09	8.84E-06
antigen receptor-mediated signaling pathway (GO:0050851)	279	11	1.41	+	7.83	2.34E-07	2.03E-04
response to interferon-gamma (GO:0034341)	179	7	.90	+	7.76	4.26E-05	6.57E-03
defense response to virus (GO:0051607)	184	7	.93	+	7.55	5.04E-05	7.27E-03
positive regulation of T cell activation (GO:0050870)	214	8	1.08	+	7.42	1.62E-05	3.42E-03
T cell activation (GO:0042110)	221	8	1.11	+	7.19	2.03E-05	3.95E-03
positive regulation of cell-cell adhesion (GO:0022409)	257	9	1.29	+	6.95	7.81E-06	2.06E-03
regulation of leukocyte cell-cell adhesion (GO:1903037)	295	10	1.49	+	6.73	3.16E-06	1.20E-03
response to virus (GO:0009615)	273	9	1.38	+	6.54	1.25E-05	2.86E-03
regulation of B cell activation (GO:0050864)	190	6	.96	+	6.27	4.64E-04	4.36E-02
regulation of T cell activation (GO:0050863)	320	10	1.61	+	6.20	6.33E-06	1.79E-03
positive regulation of lymphocyte activation (GO:0051251)	353	10	1.78	+	5.62	1.45E-05	3.23E-03
regulation of apoptotic signaling pathway (GO:2001233)	390	11	1.96	+	5.60	5.51E-06	1.62E-03
positive regulation of DNA binding transcription factor activity (GO:0051091)	251	7	1.26	+	5.54	3.24E-04	3.28E-02
