EnsemblID,Profile,sixHours,twelveHours,twentyFourHours
ENSG00000000003,NA,NA,NA,NA
ENSG00000000005,9,-0.05,-0.53,0.81
ENSG00000000419,NA,NA,NA,NA
ENSG00000000457,15,6.37,6.1,5.64
ENSG00000000460,0,-2.37,-2.68,-3.28
ENSG00000000938,8,0.71,1.72,-4.38
ENSG00000000971,11,11.21,10.84,14.91
ENSG00000001036,6,-3.25,-3.2,-0.11
ENSG00000001084,NA,NA,NA,NA
ENSG00000001167,NA,NA,NA,NA
ENSG00000001460,7,-0.03,0.48,1.9
ENSG00000001461,NA,NA,NA,NA
ENSG00000001497,5,-1.81,-2.32,-3.51
ENSG00000001561,7,-1.01,-0.02,4.83
ENSG00000001617,NA,NA,NA,NA
ENSG00000001626,7,-0.5,-0.12,1.42
ENSG00000001629,10,4.33,2.6,-0.27
ENSG00000001630,NA,NA,NA,NA
ENSG00000001631,9,0.12,-1.57,1.22
ENSG00000002016,NA,NA,NA,NA
ENSG00000002330,NA,NA,NA,NA
ENSG00000002549,15,5.96,2.06,5.31
ENSG00000002586,2,-2.68,-1.38,-2.34
ENSG00000002587,2,-9.98,-2.59,-8.62
ENSG00000002726,14,2.56,-0.87,-1.3
ENSG00000002745,NA,NA,NA,NA
ENSG00000002746,NA,NA,NA,NA
ENSG00000002822,NA,NA,NA,NA
ENSG00000002834,6,-3.9,-2.09,-0.31
ENSG00000002919,NA,NA,NA,NA
ENSG00000002933,6,-1,-1.33,0.46
ENSG00000003056,1,-2.97,-1.47,-0.63
ENSG00000003096,3,-2.58,-0.11,-1.77
ENSG00000003137,NA,NA,NA,NA
ENSG00000003147,NA,NA,NA,NA
ENSG00000003249,NA,NA,NA,NA
ENSG00000003393,NA,NA,NA,NA
ENSG00000003400,15,7.46,2.75,3.73
ENSG00000003402,NA,NA,NA,NA
ENSG00000003436,NA,NA,NA,NA
ENSG00000003509,6,-1.77,-1.89,0.34
ENSG00000003756,9,0.27,-0.09,0.94
ENSG00000003987,NA,NA,NA,NA
ENSG00000003989,NA,NA,NA,NA
ENSG00000004059,NA,NA,NA,NA
ENSG00000004139,NA,NA,NA,NA
ENSG00000004142,2,-1.82,-1.46,-2.92
ENSG00000004399,2,-5.01,-2.22,-3.09
ENSG00000004455,NA,NA,NA,NA
ENSG00000004468,11,12.65,14.89,16.02
ENSG00000004478,NA,NA,NA,NA
ENSG00000004487,14,2.66,-0.35,-0.17
ENSG00000004534,7,-0.64,0.06,0.98
ENSG00000004660,NA,NA,NA,NA
ENSG00000004700,10,2.29,1.19,-0.14
ENSG00000004766,NA,NA,NA,NA
ENSG00000004776,NA,NA,NA,NA
ENSG00000004777,NA,NA,NA,NA
ENSG00000004779,NA,NA,NA,NA
ENSG00000004799,8,-2.86,-0.6,-12.69
ENSG00000004809,NA,NA,NA,NA
ENSG00000004838,14,1.58,-1.68,-3.37
ENSG00000004846,NA,NA,NA,NA
ENSG00000004848,NA,NA,NA,NA
ENSG00000004864,2,-3.33,-1.49,-3.31
ENSG00000004866,NA,NA,NA,NA
ENSG00000004897,9,2.11,1.04,3.24
ENSG00000004939,NA,NA,NA,NA
ENSG00000004948,4,-2.22,-6.82,-3.68
ENSG00000004961,NA,NA,NA,NA
ENSG00000004975,6,-3.35,-2.48,-1.03
ENSG00000005001,NA,NA,NA,NA
ENSG00000005007,NA,NA,NA,NA
ENSG00000005020,NA,NA,NA,NA
ENSG00000005022,5,-1.75,-4.17,-5.63
ENSG00000005059,15,5.29,2.7,2.56
ENSG00000005073,NA,NA,NA,NA
ENSG00000005075,5,-1.49,-2.64,-3.43
ENSG00000005100,2,-2.2,-0.9,-1.55
ENSG00000005102,NA,NA,NA,NA
ENSG00000005108,NA,NA,NA,NA
ENSG00000005156,NA,NA,NA,NA
ENSG00000005175,11,1.69,3.26,4.13
ENSG00000005187,5,0.45,-3.7,-5.24
ENSG00000005189,NA,NA,NA,NA
ENSG00000005194,6,-0.8,-1.28,0.06
ENSG00000005206,NA,NA,NA,NA
ENSG00000005238,9,1.04,-0.63,1.29
ENSG00000005243,14,1.29,-1.66,-2.64
ENSG00000005249,11,5.29,9.33,8.8
ENSG00000005302,NA,NA,NA,NA
ENSG00000005339,NA,NA,NA,NA
ENSG00000005379,NA,NA,NA,NA
ENSG00000005381,NA,NA,NA,NA
ENSG00000005421,NA,NA,NA,NA
ENSG00000005436,NA,NA,NA,NA
ENSG00000005448,9,0.43,-0.67,3.48
ENSG00000005469,6,-4.31,-3.22,-0.88
ENSG00000005471,NA,NA,NA,NA
ENSG00000005483,NA,NA,NA,NA
ENSG00000005486,NA,NA,NA,NA
ENSG00000005513,14,4.5,1.6,-0.32
ENSG00000005700,14,4.04,0.48,-0.61
ENSG00000005801,NA,NA,NA,NA
ENSG00000005810,NA,NA,NA,NA
ENSG00000005812,NA,NA,NA,NA
ENSG00000005844,NA,NA,NA,NA
ENSG00000005882,5,-0.59,-2.15,-3.76
ENSG00000005884,NA,NA,NA,NA
ENSG00000005889,10,7.84,7.06,3.24
ENSG00000005893,NA,NA,NA,NA
ENSG00000005961,15,2.81,1.35,1.62
ENSG00000005981,NA,NA,NA,NA
ENSG00000006007,0,-3.97,-3.4,-2.79
ENSG00000006015,NA,NA,NA,NA
ENSG00000006016,NA,NA,NA,NA
ENSG00000006025,NA,NA,NA,NA
ENSG00000006042,10,6.01,7.16,-0.27
