GeneSymbolHGNC	Spot	Profile	0	sixHours	twelveHours	twentyFourHours
RBPMS2	A_23_P100056	13	0.00	1.99	-2.93	-0.19
AVEN	A_23_P100074	7	0.00	-1.32	1.52	3.68
0 (SPOT_A_23_P100092)	A_23_P100092	11	0.00	4.23	4.29	5.72
0 (SPOT_A_23_P100103)	A_23_P100103	15	0.00	3.44	3.82	2.95
0 (SPOT_A_23_P100111)	A_23_P100111	13	0.00	1.11	-1.44	-0.23
KNL1	A_23_P100127	2	0.00	-5.18	-2.09	-2.87
0 (SPOT_A_23_P100133)	A_23_P100133	5	0.00	0.53	-1.34	-3.47
0 (SPOT_A_23_P100141)	A_23_P100141	1	0.00	-6.14	-2.88	-0.75
0 (SPOT_A_23_P100156)	A_23_P100156	1	0.00	-1.31	0.71	0.61
PRM1	A_23_P100189	8	0.00	0.98	2.15	-2.89
HSBP1	A_23_P100203	2	0.00	-3.97	-3.08	-3.28
ESRP2	A_23_P100220	5	0.00	-0.09	-1.58	-3.16
CDH16	A_23_P100240	7	0.00	-0.28	-0.13	0.92
0 (SPOT_A_23_P100278)	A_23_P100278	6	0.00	-0.60	-1.57	1.52
DECR2	A_23_P100315	5	0.00	-1.48	-2.24	-2.87
NPRL3	A_23_P100326	5	0.00	-1.09	-1.12	-4.05
ORC6	A_23_P100344	10	0.00	3.61	1.98	-0.11
ELOB	A_23_P100392	0	0.00	-3.72	-4.22	-3.40
0 (SPOT_A_23_P100408)	A_23_P100408	15	0.00	2.88	2.19	3.17
0 (SPOT_A_23_P100413)	A_23_P100413	6	0.00	-1.35	-1.54	0.70
ZCCHC14	A_23_P100420	2	0.00	-7.87	-5.87	-7.66
MTHFSD	A_23_P100455	7	0.00	-0.70	-0.45	1.32
0 (SPOT_A_23_P100469)	A_23_P100469	15	0.00	6.61	5.38	5.57
ROGDI	A_23_P100499	15	0.00	3.55	1.47	1.17
TMEM170A	A_23_P100517	11	0.00	3.19	6.27	6.61
ABCC6	A_23_P100539	4	0.00	-0.55	-2.87	-0.56
0 (SPOT_A_23_P100556)	A_23_P100556	7	0.00	0.47	0.26	3.16
LPO	A_23_P100583	5	0.00	-0.34	-2.62	-3.62
0 (SPOT_A_23_P10060)	A_23_P10060	8	0.00	1.54	4.79	-1.81
TBCD	A_23_P100602;A_24_P275873	0	0.00	-1.27	-3.45	-2.77
JPT1	A_23_P100632	7	0.00	-1.55	0.95	3.65
ZBTB4	A_23_P100654	1	0.00	-8.64	-4.11	-2.13
SERPINF1	A_23_P100660	13	0.00	1.28	-1.23	1.26
SMG6	A_23_P100676	6	0.00	-3.03	-2.57	-0.35
0 (SPOT_A_23_P100693)	A_23_P100693	1	0.00	-5.43	-1.83	-0.44
MAPK7	A_23_P100704	7	0.00	-0.18	0.69	1.38
PMP22	A_23_P100711	5	0.00	-0.56	-2.99	-3.05
0 (SPOT_A_23_P100754)	A_23_P100754	4	0.00	-0.40	-2.94	0.48
SLC25A39	A_23_P100764	7	0.00	-1.20	-0.95	0.98
0 (SPOT_A_23_P100779)	A_23_P100779	7	0.00	-1.13	-0.88	1.07
0 (SPOT_A_23_P100788)	A_23_P100788	10	0.00	4.77	5.39	2.63
STAT3	A_23_P100795;A_24_P116805	15	0.00	5.22	6.03	5.47
0 (SPOT_A_23_P100802)	A_23_P100802	0	0.00	-2.11	-2.39	-1.50
ARL13B	A_23_P10081	14	0.00	5.31	1.10	-0.26
MYO19	A_23_P100868;A_23_P320250	2	0.00	-1.63	-0.60	-1.55
0 (SPOT_A_23_P100872)	A_23_P100872	9	0.00	0.27	-0.44	0.87
0 (SPOT_A_23_P10091)	A_23_P10091	2	0.00	-13.21	-4.79	-12.37
0 (SPOT_A_23_P100931)	A_23_P100931	1	0.00	-1.83	0.47	0.75
0 (SPOT_A_23_P100935)	A_23_P100935	9	0.00	0.09	-1.58	4.97
0 (SPOT_A_23_P100959)	A_23_P100959	14	0.00	2.74	0.91	-1.04
SPNS3	A_23_P100963	15	0.00	1.96	1.30	1.43
0 (SPOT_A_23_P101007)	A_23_P101007	4	0.00	-1.07	-1.85	-0.28
TMC6	A_23_P101013	5	0.00	-1.35	-1.15	-2.86
0 (SPOT_A_23_P101025)	A_23_P101025	9	0.00	1.20	0.69	1.76
KRTAP9-3	A_23_P101038	7	0.00	-0.51	-0.01	1.07
KRTAP3-2	A_23_P101048	7	0.00	-0.46	-0.87	1.30
COPZ2	A_23_P101093	14	0.00	1.29	-1.66	-2.64
0 (SPOT_A_23_P101121)	A_23_P101121	5	0.00	0.47	-3.01	-3.88
0 (SPOT_A_23_P101141)	A_23_P101141	8	0.00	-0.19	-1.44	-9.93
NARS	A_23_P101185	2	0.00	-5.77	-4.25	-5.87
CYB5A	A_23_P101208	7	0.00	-0.33	1.38	4.02
0 (SPOT_A_23_P101240)	A_23_P101240	5	0.00	-0.37	-1.40	-3.04
0 (SPOT_A_23_P10127)	A_23_P10127	14	0.00	4.73	1.55	0.91
0 (SPOT_A_23_P101272)	A_23_P101272	4	0.00	0.45	-2.25	-1.48
ZNF587	A_23_P101281	0	0.00	-1.35	-1.14	-0.82
0 (SPOT_A_23_P101303)	A_23_P101303	2	0.00	-3.83	-2.45	-2.66
0 (SPOT_A_23_P101308)	A_23_P101308	0	0.00	-3.44	-3.99	-3.47
ZNF285	A_23_P101319	5	0.00	-3.56	-5.46	-6.89
KRI1	A_23_P101332	5	0.00	-1.04	-1.19	-1.97
ATG4D;MIR1238	A_23_P101342	7	0.00	-0.44	-0.61	1.21
NKIRAS2	A_23_P10135	9	0.00	0.44	0.01	3.06
CYP2S1	A_23_P101374	4	0.00	-0.51	-1.86	0.51
B3GNT8	A_23_P101380	6	0.00	-3.47	-2.36	-0.49
TMEM38A	A_23_P101392	5	0.00	-1.34	-0.96	-2.66
LINC00467	A_23_P1014	1	0.00	-1.60	1.37	0.93
0 (SPOT_A_23_P101427)	A_23_P101427	14	0.00	0.75	-0.72	-1.30
NLRP12	A_23_P101434	14	0.00	2.13	-0.48	-1.48
KLK11	A_23_P101505	7	0.00	-0.04	-0.15	1.16
KCNC3	A_23_P101516	4	0.00	-0.21	-1.35	-0.94
IZUMO2	A_23_P101521	5	0.00	0.14	-0.48	-1.15
RPS11	A_23_P101532	2	0.00	-1.22	-0.70	-1.83
BCAT2	A_23_P101551	5	0.00	-1.91	-2.87	-3.59
0 (SPOT_A_23_P101573)	A_23_P101573	11	0.00	-0.52	3.51	4.14
0 (SPOT_A_23_P101636)	A_23_P101636	9	0.00	1.54	0.12	1.49
HDGFL2	A_23_P101699	4	0.00	-0.81	-4.30	1.72
DOT1L	A_23_P101737;A_23_P408768	11	0.00	2.00	1.91	3.19
MRPL54	A_23_P101742	1	0.00	-2.70	0.13	0.31
