Profile ID	Profile Model	Cluster (-1 non-significant)	# Genes Assigned	# Gene Expected	p-value
0	0.0,-3.0,-4.0,-3.0	1	1508.0	1230.875	2.0E-15
1	0.0,-3.0,0.0,1.0	-1	1237.0	1461.5208333333333	1.00
2	0.0,-2.0,-1.0,-2.0	3	1747.0	1283.9166666666667	5.9E-37
3	0.0,-2.0,1.0,-1.0	-1	532.0	1373.3333333333333	1.00
4	0.0,-1.0,-4.0,-1.0	-1	649.0	1468.4791666666667	1.00
5	0.0,-1.0,-2.0,-3.0	1	2469.0	1308.0416666666667	1.3E-193
6	0.0,-1.0,-1.0,0.0	-1	1037.0	1018.375	0.28
7	0.0,-1.0,0.0,3.0	0	2567.0	1412.7916666666667	5.5E-181
8	0.0,0.0,1.0,-2.0	-1	1212.0	1573.5833333333333	1.00
9	0.0,1.0,0.0,2.0	4	1545.0	1350.5	4.8E-8
10	0.0,1.0,1.0,0.0	-1	891.0	886.9375	0.45
11	0.0,1.0,2.0,3.0	0	1766.0	1260.75	6.7E-44
12	0.0,1.0,4.0,1.0	-1	685.0	1979.9583333333333	1.00
13	0.0,2.0,-1.0,1.0	-1	745.0	1396.2083333333333	1.00
14	0.0,3.0,0.0,-1.0	-1	1694.0	2022.3541666666667	1.00
15	0.0,3.0,2.0,2.0	2	2145.0	1401.375	1.0E-81
