plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
7,20,B08,1.398,2.275,1.115,NM_207459,FLJ35767,1.398,1,CLIP
3,8,A08,1.498,1.815,1.132,NM_003040,SLC4A2,1.498,1,CLIP
7,72,F12,1.843,1.195,1.144,XM_116936,LOC196541,1.195,1,CLIP
12,27,C03,1.173,1.305,1.162,NM_020904,PLEKHA4,1.173,1,CLIP
7,18,B06,1.814,1.694,1.172,NM_207445,FLJ39531,1.694,1,CLIP
4,89,H05,1.709,1.729,1.196,XM_291200,LOC340221,1.709,1,CLIP
4,9,A09,1.459,1.313,1.223,XM_290822,LOC284367,1.313,1,CLIP
7,66,F06,3.351,1.285,1.257,NM_001004054,POTE2,1.285,1,CLIP
7,89,H05,1.368,1.521,1.257,XM_372840,LOC391209,1.368,1,CLIP
12,41,D05,1.357,1.111,1.262,NM_032864,FLJ14936,1.262,1,CLIP
3,43,D07,1.263,1.941,1.272,NM_012121,CDC42EP4,1.272,1,CLIP
10,4,A04,3.22,2.057,1.295,NM_153360,FLJ90166,2.057,1,CLIP
11,46,D10,1.579,1.432,1.318,NM_004341,CAD,1.432,1,CLIP
2,60,E12,2.267,1.444,1.349,NM_021196,SLC4A5,1.444,1,CLIP
8,57,E09,1.139,1.269,1.356,XM_379877,LOC402556,1.269,1,CLIP
8,59,E11,1.169,1.72,1.384,NM_001004336,FLJ90757,1.384,1,CLIP
1,89,H05,1.361,2.048,1.389,NM_173667,FLJ37543,1.389,1,CLIP
7,84,G12,2.642,2.167,1.396,XM_371478,LOC388927,2.167,1,CLIP
10,33,C09,2.726,2.899,1.412,XM_372303,LOC389936,2.726,1,CLIP
11,21,B09,1.55,1.305,1.452,NM_139247,ADCY4,1.452,1,CLIP
5,33,C09,1.995,1.37,1.487,NM_014203,AP2A1,1.487,1,CLIP
5,87,H03,1.256,1.593,1.513,NM_052880,MGC17330,1.513,1,CLIP
9,30,C06,1.386,2.583,1.566,NM_152340,FLJ39075,1.566,1,CLIP
3,10,A10,1.524,1.739,1.572,NM_023068,SN,1.572,1,CLIP
10,31,C07,1.706,3.003,1.583,XM_372310,LOC389953,1.706,1,CLIP
7,47,D11,1.459,1.808,1.587,XM_379839,LOC402508,1.587,1,CLIP
10,36,C12,1.274,2.029,1.612,XM_378321,LOC399972,1.612,1,CLIP
7,17,B05,1.12,2.058,1.614,NM_207423,FLJ45983,1.614,1,CLIP
6,56,E08,1.898,1.325,1.624,NM_058163,DT1P1A10,1.624,1,CLIP
10,9,A09,1.147,1.589,1.668,NM_152551,C6ORF151,1.589,1,CLIP
8,18,B06,3.17,1.269,1.764,XM_292943,NAP5,1.764,1,CLIP
3,48,D12,4.217,1.99,1.784,NM_014347,ZNF324,1.99,1,CLIP
6,48,D12,2,1.933,1.845,XM_034262,KIAA1727,1.933,1,CLIP
7,7,A07,3.104,2.591,1.855,NM_198534,FLJ35784,2.591,1,CLIP
4,18,B06,1.15,1.62,1.869,NM_173610,FLJ33768,1.62,1,CLIP
6,36,C12,2.026,1.297,1.873,NM_152540,SCFD2,1.873,1,CLIP
7,82,G10,2.799,1.492,1.907,NM_004981,KCNJ4,1.907,1,CLIP
8,23,B11,3.314,1.581,1.949,XM_371330,LOC388720,1.949,1,CLIP
8,21,B09,1.32,2.174,1.975,XM_373821,LOC388586,1.975,1,CLIP
8,8,A08,2.009,2.017,2.001,NM_178865,TDE2L,2.009,1,CLIP
11,48,D12,1.135,2.583,2.032,NM_133466,ZNF545,2.032,1,CLIP
5,54,E06,1.798,1.756,2.116,NM_001053,SSTR5,1.798,1,CLIP
11,36,C12,2.084,2.359,2.4,NM_194282,DKFZP686L1814,2.359,1,CLIP
8,22,B10,2.064,1.241,2.409,XM_375698,LOC400745,2.064,1,CLIP
10,8,A08,1.4,2.769,2.425,NM_130901,C15ORF16,2.425,1,CLIP
