Accession #,L243-Cy3,# duplex,CLIP-Cy5,# duplex,Localization,Function
NM_001004053,-,0,CLIP up,2,unknown,other
NM_138289,-,0,CLIP up,3,unknown,other
NM_024884,-,0,CLIP up,2,cytoplasm,other
NM_025143,-,0,CLIP up,2,unknown,unknown
NM_033387,-,0,CLIP up,2,unknown,other
NM_021006,-,0,CLIP up,2,extracellularSpace,cytokine
NM_031443,-,0,CLIP up,2,cytoplasm,other
NM_014515,-,0,CLIP up,2,nucleus,transcriptionregulator
NM_022779,-,0,CLIP up,3,unknown,other
XM_095168,-,0,CLIP up,2,nucleus,other
NM_020177,-,0,CLIP up,2,nucleus,transcriptionregulator
NM_018035,-,0,CLIP up,2,unknown,other
NM_018155,-,0,CLIP up,2,unknown,transporter
NM_032175,L243 up,1,CLIP up,2,nucleus,other
NM_025108,-,0,CLIP up,2,unknown,other
NM_032786,-,0,CLIP up,2,unknown,other
NM_207423,-,0,CLIP up,2,unknown,other
NM_001456,-,0,CLIP up,2,cytoplasm,other
NM_032664,-,0,CLIP up,3,cytoplasm,enzyme
NM_002118,-,0,CLIP up,3,plasmaMembrane,transmembranereceptor
NM_182710,-,0,CLIP up,3,nucleus,transcriptionregulator
NM_019610,-,0,CLIP up,2,unknown,enzyme
NM_004981,-,0,CLIP up,2,plasmaMembrane,ionchannel
XM_034262,-,0,CLIP up,2,unknown,other
NM_023070,-,0,CLIP up,2,nucleus,other
NM_020904,-,0,CLIP up,2,cytoplasm,other
NM_002676,-,0,CLIP up,3,cytoplasm,enzyme
NM_002692,-,0,CLIP up,2,nucleus,enzyme
NM_022156,-,0,CLIP up,2,unknown,other
NM_014402,-,0,CLIP up,4,cytoplasm,enzyme
NM_031430,L243 up,1,CLIP up,2,nucleus,other
XM_290732,-,0,CLIP up,2,unknown,other
NM_032015,-,0,CLIP up,2,unknown,other
NM_017827,-,0,CLIP up,2,cytoplasm,enzyme
NM_003040,-,0,CLIP up,3,plasmaMembrane,transporter
NM_139162,-,0,CLIP up,2,unknown,other
NM_003153,L243 up,1,CLIP up,2,nucleus,transcriptionregulator
NM_024682,-,0,CLIP up,3,unknown,other
NM_000461,-,0,CLIP up,2,nucleus,ligand-dependentnuclearreceptor
NM_015913,-,0,CLIP up,2,cytoplasm,enzyme
XM_046911,-,0,CLIP up,2,unknown,other
NM_006973,-,0,CLIP up,2,nucleus,other
NM_014347,-,0,CLIP up,3,nucleus,other
NM_024762,-,0,CLIP up,2,unknown,other
NM_138393,L243 down,2,CLIP down,1,plasmaMembrane,other
NM_024531,L243 down,2,-,0,unknown,other
NM_022762,L243 down,#4*,-,1,unknown,other
NM_173543,L243 down,2,CLIP up,1,unknown,other
NM_006143,L243 down,2,-,0,plasmaMembrane,G-proteincoupledreceptor
NM_019111,L243 down,4,CLIP down,1,plasmaMembrane,transmembranereceptor
NM_021983,L243 down,4,CLIP down,1,plasmaMembrane,transmembranereceptor
NM_020314,L243 down,3,-,0,unknown,other
NM_000246,L243 down,4,-,0,nucleus,transcriptionregulator
NM_032206,L243 down,2,CLIP up,1,unknown,other
