ZscoreHighScore,EnsemblID,Antibody,L243.Cy3,L243EffectDuplexAmount,CLIP.Cy5,CLIPEffectDuplexAmount
1.531,ENSG00000011260,L243,L243 up,2,CLIP up,2
1.328,ENSG00000053501,CLIP,L243 up,2,CLIP up,4
1.477,ENSG00000067221,L243,L243 up,3,CLIP up,2
2.666,ENSG00000078902,CLIP,L243 up,4,CLIP up,2
2.051,ENSG00000083750,L243,L243 up,3,CLIP up,2
1.99,ENSG00000083812,CLIP,-,0,CLIP up,3
3.013,ENSG00000084774,L243,L243 up,2,CLIP up,3
1.535,ENSG00000089723,L243,L243 up,2,CLIP up,3
1.566,ENSG00000092964,L243,L243 up,2,CLIP up,2
2.909,ENSG00000095587,L243,L243 up,2,CLIP up,3
1.574,ENSG00000100056,L243,L243 up,3,CLIP up,1
1.513,ENSG00000100100,CLIP,L243 up,2,CLIP up,2
2.346,ENSG00000100417,L243,-,0,CLIP up,3
1.103,ENSG00000100479,L243,-,0,CLIP up,2
1.077,ENSG00000100883,L243,L243 down,2,-,0
-2.992,ENSG00000101082,L243,L243 down,2,-,0
1.497,ENSG00000101146,L243,L243 up,4,CLIP up,2
1.068,ENSG00000102796,L243,L243 up,2,CLIP up,3
1.319,ENSG00000102900,L243,L243 up,3,CLIP up,3
-2.108,ENSG00000103544,L243,L243 down,3,-,0
1.986,ENSG00000104835,L243,-,0,CLIP up,2
1.608,ENSG00000104946,L243,-,0,CLIP up,3
2.217,ENSG00000104980,L243,L243 up,2,CLIP up,2
1.248,ENSG00000105341,L243,-,0,CLIP up,2
1.173,ENSG00000105559,CLIP,-,0,CLIP up,2
0.969,ENSG00000108883,L243,L243 up,2,CLIP up,2
1.429,ENSG00000110944,L243,L243 up,2,-,0
0.946,ENSG00000111644,L243,L243 up,2,CLIP up,3
2.091,ENSG00000111665,L243,L243 up,2,CLIP up,3
1.138,ENSG00000113384,L243,L243 up,2,-,0
2.492,ENSG00000114120,CLIP,-,0,CLIP up,2
1.495,ENSG00000115267,L243,L243 up,2,CLIP up,1
1.969,ENSG00000115274,L243,L243 up,2,-,0
9.036,ENSG00000117862,CLIP,-,0,CLIP up,2
1.4,ENSG00000119227,CLIP,L243 up,2,CLIP up,1
1.085,ENSG00000120217,L243,L243 up,2,CLIP up,1
1.574,ENSG00000121966,L243,L243 up,3,CLIP up,2
1.354,ENSG00000123165,L243,-,0,CLIP up,3
2.4075,ENSG00000125485,L243,-,0,CLIP up,3
