plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
7,5,A05,-4.114,-2.707,-3.734,NM_199339,LOC374768,-3.734,1,L243
12,7,A07,-2.992,-2.604,-3.231,NM_032214,SLA2,-2.992,1,L243
2,84,G12,-2.108,-1.98,-2.516,NM_020314,MGC16824,-2.108,1,L243
11,43,D07,-2.6,-2.05,-2.348,XM_375148,LOC400299,-2.348,1,L243
7,45,D09,-1.944,-1.926,-1.999,XM_379803,LOC402477,-1.944,1,L243
5,44,D08,-2.529,-1.984,-1.969,NM_005160,ADRBK2,-1.984,1,L243
4,56,E08,-1.926,1.389,-1.92,XM_379454,LOC401284,-1.92,1,L243
7,95,H11,-2.345,-2.09,-1.892,XM_376591,LOC401322,-2.09,1,L243
4,57,E09,1.912,2.44,0.996,XM_376554,LOC401285,1.912,1,L243
7,31,C07,1.218,1.532,1.003,XM_377834,LOC402167,1.218,1,L243
4,69,F09,1.456,1.738,1.012,XM_116036,LOC200959,1.456,1,L243
7,46,D10,1.029,1.275,1.11,XM_374437,LOC392670,1.11,1,L243
1,83,G11,1.06,2.309,1.167,NM_033387,C9ORF59,1.167,1,L243
2,51,E03,2.225,2.303,1.179,NM_022090,LOC63920,2.225,1,L243
4,44,D08,1.866,-1.984,1.195,XM_378421,LOC400144,1.195,1,L243
2,28,C04,1.102,0.986,1.2,NM_024762,ZNF552,1.102,1,L243
1,4,A04,1.039,1.576,1.214,NM_018467,MDS032,1.214,1,L243
5,76,G04,1.708,1.574,1.226,NM_003467,CXCR4,1.574,1,L243
7,33,C09,1.29,1.03,1.231,XM_377837,LOC402170,1.231,1,L243
10,23,B11,1.192,1.275,1.25,XM_065278,LOC129521,1.25,1,L243
5,77,G05,1.277,2.264,1.259,NM_000960,PTGIR,1.277,1,L243
7,18,B06,1.947,0.967,1.263,NM_207445,FLJ39531,1.263,1,L243
