Gene stable ID	HGNC symbol
ENSG00000257770	GPX5
ENSG00000274873	TMC4
ENSG00000278284	RDH13
ENSG00000013503	POLR3B
ENSG00000151967	SCHIP1
ENSG00000111775	COX6A1
ENSG00000082515	MRPL22
ENSG00000143578	CREB3L4
ENSG00000161204	ABCF3
ENSG00000100410	PHF5A
ENSG00000163218	PGLYRP4
ENSG00000134193	REG4
ENSG00000184148	SPRR4
ENSG00000226271	OR2J3
ENSG00000187857	OR6C75
ENSG00000080293	SCTR
ENSG00000171121	KCNMB3
ENSG00000170605	OR9K2
ENSG00000138688	KIAA1109
ENSG00000137727	ARHGAP20
ENSG00000135269	TES
ENSG00000266472	MRPS21
ENSG00000161904	LEMD2
ENSG00000117360	PRPF3
ENSG00000232357	HSD17B8
ENSG00000136457	CHAD
ENSG00000156381	ANKRD9
ENSG00000198429	ZNF69
ENSG00000123737	EXOSC9
ENSG00000166823	MESP1
ENSG00000185163	DDX51
ENSG00000180938	ZNF572
ENSG00000177303	CASKIN2
ENSG00000203780	FANK1
ENSG00000142973	CYP4B1
ENSG00000090621	PABPC4
ENSG00000026652	AGPAT4
ENSG00000177432	NAP1L5
ENSG00000188095	MESP2
ENSG00000187231	SESTD1
ENSG00000128602	SMO
ENSG00000185100	ADSSL1
ENSG00000140941	MAP1LC3B
ENSG00000188338	SLC38A3
ENSG00000128626	MRPS12
ENSG00000119688	ABCD4
ENSG00000154914	USP43
ENSG00000008283	CYB561
ENSG00000104835	SARS2
ENSG00000169403	PTAFR
ENSG00000122965	RBM19
ENSG00000126698	DNAJC8
ENSG00000089902	RCOR1
ENSG00000130812	ANGPTL6
ENSG00000228454	C4B
ENSG00000164674	SYTL3
ENSG00000072041	SLC6A15
ENSG00000122786	CALD1
ENSG00000229284	DPCR1
ENSG00000198612	COPS8
ENSG00000232641	MOG
ENSG00000206461	C6orf15
ENSG00000206459	PSORS1C2
ENSG00000206458	PSORS1C1
ENSG00000173175	ADCY5
ENSG00000164007	CLDN19
ENSG00000184374	COLEC10
ENSG00000068724	TTC7A
ENSG00000197912	SPG7
ENSG00000175110	MRPS22
ENSG00000166148	AVPR1A
ENSG00000128563	PRKRIP1
ENSG00000182870	GALNT9
ENSG00000197647	ZNF433
ENSG00000143420	ENSA
ENSG00000241878	PISD
ENSG00000180398	MCFD2
ENSG00000116774	OLFML3
ENSG00000133640	LRRIQ1
ENSG00000184708	EIF4ENIF1
ENSG00000235022	RNF39
ENSG00000187048	CYP4A11
ENSG00000147676	MAL2
ENSG00000135413	LACRT
ENSG00000177051	FBXO46
ENSG00000130766	SESN2
ENSG00000161634	DCD
ENSG00000144119	C1QL2
ENSG00000134207	SYT6
ENSG00000011332	DPF1
ENSG00000142208	AKT1
ENSG00000157219	HTR5A
ENSG00000164010	ERMAP
ENSG00000116981	NT5C1A
ENSG00000116983	HPCAL4
ENSG00000107984	DKK1
ENSG00000176029	C11orf16
ENSG00000186377	CYP4X1
ENSG00000058262	SEC61A1
ENSG00000213145	CRIP1
ENSG00000131018	SYNE1
ENSG00000186160	CYP4Z1
ENSG00000129167	TPH1
ENSG00000138750	NUP54
ENSG00000206509	HLA-F
ENSG00000155034	FBXL18
ENSG00000186090	HTR3D
ENSG00000140543	DET1
ENSG00000259494	MRPL46
ENSG00000142552	RCN3
ENSG00000111581	NUP107
ENSG00000166426	CRABP1
ENSG00000206190	ATP10A
ENSG00000177045	SIX5
ENSG00000181885	CLDN7
ENSG00000036530	CYP46A1
ENSG00000084072	PPIE
ENSG00000148291	SURF2
ENSG00000204138	PHACTR4
ENSG00000165959	CLMN
ENSG00000185250	PPIL6
ENSG00000186038	HTR3E
ENSG00000206404	LY6G5C
ENSG00000114113	RBP2
ENSG00000198754	OXCT2
ENSG00000117906	RCN2
ENSG00000226103	C6orf47
ENSG00000114115	RBP1
ENSG00000228186	PRR3
ENSG00000244165	P2RY11
ENSG00000163864	NMNAT3
ENSG00000135587	SMPD2
ENSG00000235986	GNL1
ENSG00000196935	SRGAP1
ENSG00000189195	BTBD8
ENSG00000103942	HOMER2
ENSG00000136381	IREB2
ENSG00000064726	BTBD1
ENSG00000100395	L3MBTL2
ENSG00000239974	EGFL8
ENSG00000164691	TAGAP
ENSG00000136960	ENPP2
ENSG00000185149	NPY2R
ENSG00000169641	LUZP1
ENSG00000186009	ATP4B
ENSG00000197584	KCNMB2
ENSG00000169994	MYO7B
ENSG00000106006	HOXA6
ENSG00000187682	ERAS
ENSG00000105997	HOXA3
ENSG00000139132	FGD4
ENSG00000102109	PCSK1N
ENSG00000113812	ACTR8
ENSG00000172340	SUCLG2
ENSG00000239497	LY6G5B
ENSG00000227600	PPT2
ENSG00000106355	LSM5
ENSG00000142546	NOSIP
ENSG00000183662	FAM19A1
ENSG00000126768	TIMM17B
ENSG00000092108	SCFD1
ENSG00000236802	B3GALT4
ENSG00000102103	PQBP1
ENSG00000126460	PRRG2
ENSG00000157823	AP3S2
ENSG00000234487	HLA-F
ENSG00000185974	GRK1
ENSG00000128656	CHN1
ENSG00000117682	DHDDS
ENSG00000184983	NDUFA6
ENSG00000109572	CLCN3
ENSG00000183087	GAS6
ENSG00000156966	B3GNT7
ENSG00000163141	BNIPL
ENSG00000179546	HTR1D
ENSG00000173614	NMNAT1
ENSG00000179407	DNAJB8
ENSG00000065325	GLP2R
ENSG00000187796	CARD9
ENSG00000213937	CLDN9
ENSG00000162441	LZIC
ENSG00000160360	GPSM1
ENSG00000075975	MKRN2
ENSG00000102316	MAGED2
ENSG00000161243	FBXO27
