plate,position,well,normalized_r1_ch1,normalized_r2_ch1,normalized_r3_ch1,GeneID,GeneSymbol
57,37,D01,20.887,-15.928,NA,NA,DO
1,10,A10,2.864,2.807,NA,NM_001095,ACCN2
54,3,A03,3.673,2.956,NA,NM_017880,FLJ20558
1,2,A02,7.103,3.516,NA,NA,wt
1,7,A07,2.779,3.557,NA,NM_001089,ABCA3
41,19,B07,3.977,3.905,NA,NM_012149,DUX5
1,14,B02,9.892,5.263,NA,NA,wt
32,73,G01,21.579,5.649,NA,NA,siDM
57,13,B01,21.143,6.02,NA,NA,DO
51,61,F01,16.619,11.658,NA,NA,siDM
51,85,H01,14.39,12.115,NA,NA,siDM
51,73,G01,17.301,12.176,NA,NA,siDM
56,73,G01,13.559,12.76,NA,NA,siDM
51,49,E01,14.121,12.927,NA,NA,siDM
55,73,G01,15.612,13.479,NA,NA,siDM
53,61,F01,13.752,13.503,NA,NA,siDM
60,61,F01,19.529,13.761,NA,NA,siDM
55,49,E01,16.535,14.009,NA,NA,siDM
60,49,E01,17.261,14.126,NA,NA,siDM
30,61,F01,19.487,14.742,NA,NA,siDM
53,49,E01,12.553,14.909,NA,NA,siDM
52,73,G01,14.909,14.96,NA,NA,siDM
20,61,F01,19.628,15.018,NA,NA,siDM
30,73,G01,21.213,15.057,NA,NA,siDM
8,73,G01,17.282,15.08,NA,NA,siDM
54,85,H01,12.369,15.201,NA,NA,siDM
60,73,G01,18.065,15.258,NA,NA,siDM
60,85,H01,17.261,15.567,NA,NA,siDM
49,85,H01,14.629,15.645,NA,NA,siDM
59,85,H01,16.22,15.691,NA,NA,siDM
53,85,H01,13.942,15.77,NA,NA,siDM
54,49,E01,13.99,15.802,NA,NA,siDM
47,49,E01,18.279,15.903,NA,NA,siDM
49,73,G01,14.133,15.959,NA,NA,siDM
18,61,F01,11.785,15.979,NA,NA,siDM
37,85,H01,13.976,15.99,NA,NA,siDM
52,49,E01,15.897,16.164,NA,NA,siDM
9,61,F01,18.568,16.215,NA,NA,siDM
53,73,G01,12.862,16.272,NA,NA,siDM
55,85,H01,14.461,16.348,NA,NA,siDM
11,73,G01,19.377,16.368,NA,NA,siDM
9,49,E01,19.879,16.377,NA,NA,siDM
57,61,F01,17.135,16.396,NA,NA,siDM
47,73,G01,19.329,16.441,NA,NA,siDM
56,61,F01,16.722,16.458,NA,NA,siDM
52,85,H01,13.471,16.607,NA,NA,siDM
13,49,E01,18.136,16.642,NA,NA,siDM
42,73,G01,17.402,16.644,NA,NA,siDM
47,61,F01,19.263,16.67,NA,NA,siDM
55,61,F01,15.579,16.721,NA,NA,siDM
10,49,E01,16.543,16.726,NA,NA,siDM
56,85,H01,14.838,16.808,NA,NA,siDM
45,85,H01,16.051,16.812,NA,NA,siDM
58,1,A01,18.619,16.866,NA,NA,DO
59,61,F01,19.451,16.884,NA,NA,siDM
20,49,E01,19.534,16.889,NA,NA,siDM
39,85,H01,16.19,16.894,NA,NA,siDM
50,1,A01,22.273,16.896,NA,NA,DO
37,61,F01,14.338,16.944,NA,NA,siDM
17,85,H01,14.972,16.971,NA,NA,siDM
23,61,F01,21.642,16.98,NA,NA,siDM
45,1,A01,16.922,16.984,NA,NA,DO
47,85,H01,17.52,16.99,NA,NA,siDM
14,85,H01,16.007,17.042,NA,NA,siDM
37,49,E01,15.188,17.047,NA,NA,siDM
41,61,F01,15.577,17.066,NA,NA,siDM
48,1,A01,17.766,17.102,NA,NA,DO
11,61,F01,18.777,17.131,NA,NA,siDM
36,73,G01,19.899,17.144,NA,NA,siDM
16,85,H01,19.412,17.256,NA,NA,siDM
35,73,G01,17.082,17.29,NA,NA,siDM
14,73,G01,17.851,17.3,NA,NA,siDM
39,73,G01,16.229,17.316,NA,NA,siDM
58,73,G01,15.761,17.336,NA,NA,siDM
55,1,A01,19.357,17.346,NA,NA,DO
49,49,E01,14.662,17.356,NA,NA,siDM
40,85,H01,16.378,17.359,NA,NA,siDM
56,49,E01,16.025,17.377,NA,NA,siDM
58,85,H01,14.378,17.443,NA,NA,siDM
13,85,H01,19.15,17.463,NA,NA,siDM
51,1,A01,22.424,17.467,NA,NA,DO
42,85,H01,16.068,17.482,NA,NA,siDM
59,49,E01,19.467,17.491,NA,NA,siDM
37,73,G01,13.939,17.503,NA,NA,siDM
52,61,F01,14.227,17.522,NA,NA,siDM
49,61,F01,13.656,17.536,NA,NA,siDM
13,73,G01,15.905,17.556,NA,NA,siDM
55,13,B01,20.625,17.616,NA,NA,DO
22,85,H01,18.907,17.628,NA,NA,siDM
10,85,H01,18.538,17.667,NA,NA,siDM
33,73,G01,20.014,17.703,NA,NA,siDM
57,73,G01,16.902,17.704,NA,NA,siDM
42,1,A01,18.5,17.735,NA,NA,DO
45,73,G01,16.961,17.739,NA,NA,siDM
13,61,F01,18.408,17.739,NA,NA,siDM
10,73,G01,18.554,17.749,NA,NA,siDM
20,73,G01,18.322,17.756,NA,NA,siDM
46,1,A01,17.767,17.771,NA,NA,DO
54,1,A01,18.203,17.775,NA,NA,DO
7,73,G01,16.857,17.791,NA,NA,siDM
50,49,E01,15.91,17.807,NA,NA,siDM
30,85,H01,17.493,17.85,NA,NA,siDM
21,85,H01,17.82,17.887,NA,NA,siDM
7,61,F01,15.773,17.91,NA,NA,siDM
20,85,H01,18.189,17.911,NA,NA,siDM
21,61,F01,17.981,17.944,NA,NA,siDM
24,1,A01,19.638,17.959,NA,NA,DO
8,49,E01,17.826,18.016,NA,NA,siDM
19,85,H01,19.137,18.028,NA,NA,siDM
45,25,C01,19.975,18.058,NA,NA,DO
50,73,G01,15.554,18.061,NA,NA,siDM
33,85,H01,18.01,18.07,NA,NA,siDM
32,61,F01,20.914,18.095,NA,NA,siDM
52,1,A01,19.572,18.098,NA,NA,DO
