GeneSymbol,MedianCLIP,MedianL243,selectedMedian
13CDNA73,0.34299999999999997,-1.0755,1.0755
15E1.2,-1.507,-1.95,1.95
182-FIP,-0.2905,-0.017000000000000015,0.2905
384D8-2,-0.8565,0.7355,0.8565
3'HEXO,-1.109,-0.11700000000000002,1.109
7A5,-0.3275000000000001,-1.3079999999999998,1.3079999999999998
7H3,1.706,0.6045,1.706
8D6A,-1.7125,0.5115000000000001,1.7125
A1BG,0.6745,-0.2045,0.6745
A2BP1,-0.9735,-1.2465000000000002,1.2465000000000002
A2LP,-0.8455,-0.454,0.8455
AAA1,0.391,-0.02300000000000002,0.391
AACS,0.066,-0.732,0.732
AADAT,-0.9645,-0.07500000000000001,0.9645
AARS,1.559,0.47550000000000003,1.559
AARSL,-0.12150000000000002,-0.8255,0.8255
AASDHPPT,0.965,0.231,0.965
AB026190,1.164,2.384,2.384
ABC1,-0.4905,-0.5315,0.5315
ABCA10,-0.056999999999999995,-0.81,0.81
ABCA12,0.567,1.0535,1.0535
ABCA13,0.46,-0.21500000000000002,0.46
ABCA2,1.63,1.867,1.867
ABCA3,3.168,4.8165,4.8165
ABCA5,0.0915,0.5025,0.5025
ABCA6,-0.4305,-0.1695,0.4305
ABCA7,0.778,-1.174,1.174
ABCA8,1.0015,-0.6315000000000001,1.0015
ABCA9,0.6185,0.303,0.6185
ABCB10,-0.84,0.07949999999999999,0.84
ABCB5,-1.0745,-1.203,1.203
ABCB6,0.64,-0.1885,0.64
ABCB8,0.246,-0.453,0.453
ABCB9,-0.2165,-0.289,0.289
ABCC11,-1.7574999999999998,0.121,1.7574999999999998
ABCC12,-2.0035,-1.326,2.0035
ABCC13,-0.9620000000000001,-1.228,1.228
ABCC4,-0.11349999999999999,-0.6605000000000001,0.6605000000000001
ABCD2,0.2345,0.011999999999999997,0.2345
ABCD4,0.264,0.025499999999999995,0.264
ABCE1,1.991,0.613,1.991
ABCF1,1.3825,-0.20900000000000002,1.3825
ABCF2,-0.3715,-0.12150000000000001,0.3715
ABCF3,-0.035,0.9299999999999999,0.9299999999999999
ABCG1,-0.864,-0.1565,0.864
ABCG4,1.6184999999999998,0.776,1.6184999999999998
ABHD1,1.0030000000000001,-0.284,1.0030000000000001
ABHD7,-0.5754999999999999,-0.202,0.5754999999999999
ABI3,-0.84,-0.739,0.84
ABLIM2,1.3215,-0.436,1.3215
ABLIM3,1.043,-0.1945,1.043
ABTB2,-0.369,-0.778,0.778
ACAD8,-0.7324999999999999,-0.624,0.7324999999999999
ACAD9,0.1375,0.556,0.556
ACAS2L,1.2365,0.17000000000000004,1.2365
ACATE2,0.16349999999999998,1.9415,1.9415
ACBD3,-0.311,-0.05000000000000002,0.311
ACBD4,-0.4445,-0.562,0.562
ACBD5,-0.5975,-0.696,0.696
ACBD6,0.9755,0.37749999999999995,0.9755
ACCN1,-0.42900000000000005,-0.5455,0.5455
ACCN2,2.8354999999999997,1.8355,2.8354999999999997
ACCN3,0.8385,-2.4035,2.4035
ACCN4,-0.516,0.8554999999999999,0.8554999999999999
ACCN5,-0.691,0.9544999999999999,0.9544999999999999
ACDC,0.1575,-1.591,1.591
ACF,-0.5765,-0.491,0.5765
ACLY,1.5615,-0.4875,1.5615
ACMSD,-0.581,0.5775,0.581
ACN9,0.3105,-0.42500000000000004,0.42500000000000004
ACO1,0.3585,1.0855000000000001,1.0855000000000001
ACO2,0.52,1.397,1.397
ACOX3,1.4625,-0.8825000000000001,1.4625
ACOXL,0.3235,2.1555,2.1555
ACRBP,1.589,1.9554999999999998,1.9554999999999998
ACRC,-0.12350000000000001,0.665,0.665
