Gene stable ID,GeneSymbol,MedianCLIP,MedianL243,absoluteOfSelectedMedian,Set
ENSG00000275806,NA,NA,NA,NA,NS
ENSG00000278161,NA,NA,NA,NA,NS
ENSG00000185222,NA,NA,NA,NA,NS
ENSG00000275165,NA,NA,NA,NA,NS
ENSG00000274063,NA,NA,NA,NA,NS
ENSG00000276220,NA,NA,NA,NA,NS
ENSG00000277196,NA,NA,NA,NA,NS
ENSG00000274703,NA,NA,NA,NA,NS
ENSG00000215595,NA,NA,NA,NA,NS
ENSG00000141252,NA,NA,NA,NA,NS
ENSG00000268320,NA,NA,NA,NA,NS
ENSG00000132549,NA,NA,NA,NA,NS
ENSG00000128578,NA,NA,NA,NA,NS
ENSG00000104231,NA,NA,NA,NA,NS
ENSG00000135776,ABCB10,-0.84,0.07949999999999999,0.84,NS
ENSG00000109956,B3GAT1,0.36050000000000004,0.5245,0.5245,NS
ENSG00000197136,NA,NA,NA,NA,NS
ENSG00000104824,NA,NA,NA,NA,NS
ENSG00000158467,NA,NA,NA,NA,NS
ENSG00000104823,NA,NA,NA,NA,NS
ENSG00000198270,NA,NA,NA,NA,NS
ENSG00000168005,NA,NA,NA,NA,NS
ENSG00000080854,NA,NA,NA,NA,NS
ENSG00000221955,SLC12A8,-0.305,0.683,0.683,NS
ENSG00000182667,NA,NA,NA,NA,NS
ENSG00000181450,NA,NA,NA,NA,NS
ENSG00000104361,NA,NA,NA,NA,NS
ENSG00000149418,NA,NA,NA,NA,NS
ENSG00000136628,NA,NA,NA,NA,NS
ENSG00000171747,NA,NA,NA,NA,NS
ENSG00000174903,RAB1B,0.38550000000000006,1.561,1.561,NS
ENSG00000143669,NA,NA,NA,NA,NS
ENSG00000120457,KCNJ5,0.517,-0.01,0.517,NS
ENSG00000204767,NA,NA,NA,NA,NS
ENSG00000128513,NA,NA,NA,NA,NS
ENSG00000089022,NA,NA,NA,NA,NS
ENSG00000182230,NA,NA,NA,NA,NS
ENSG00000234224,NA,NA,NA,NA,NS
ENSG00000136490,NA,NA,NA,NA,NS
ENSG00000163584,NA,NA,NA,NA,NS
ENSG00000221838,AP4M1,-1.5145,-0.921,1.5145,NS
ENSG00000124920,NA,NA,NA,NA,NS
ENSG00000159184,NA,NA,NA,NA,NS
ENSG00000002822,NA,NA,NA,NA,NS
ENSG00000034239,NA,NA,NA,NA,NS
ENSG00000171953,ATPAF2,-0.368,-0.633,0.633,NS
ENSG00000145863,NA,NA,NA,NA,NS
ENSG00000274523,NA,NA,NA,NA,NS
ENSG00000269226,NA,NA,NA,NA,NS
ENSG00000110876,NA,NA,NA,NA,NS
ENSG00000258388,NA,NA,NA,NA,NS
ENSG00000170956,CEACAM3,1.829,0.653,1.829,NS
ENSG00000161016,NA,NA,NA,NA,NS
ENSG00000152904,NA,NA,NA,NA,NS
ENSG00000110446,SLC15A3,-1.3265,-0.5545,1.3265,NS
ENSG00000177151,NA,NA,NA,NA,NS
ENSG00000134028,NA,NA,NA,NA,NS
ENSG00000089723,OTUB2,1.1460000000000001,2.1375,2.1375,NS
ENSG00000166250,NA,NA,NA,NA,NS
ENSG00000128408,NA,NA,NA,NA,NS
ENSG00000122406,NA,NA,NA,NA,NS
ENSG00000253537,PCDHGA7,-1.4755,-1.177,1.4755,NS
ENSG00000106261,NA,NA,NA,NA,NS
ENSG00000109943,NA,NA,NA,NA,NS
ENSG00000196071,NA,NA,NA,NA,NS
ENSG00000263874,NA,NA,NA,NA,NS
ENSG00000105388,CEACAM5,1.4085,-0.3795,1.4085,NS
ENSG00000213214,NA,NA,NA,NA,NS
ENSG00000113494,NA,NA,NA,NA,NS
ENSG00000160957,NA,NA,NA,NA,NS
ENSG00000179431,FJX1,-2.064,0.67,2.064,NS
ENSG00000188828,NA,NA,NA,NA,NS
ENSG00000179363,TMEM31,-0.735,-0.357,0.735,NS
ENSG00000158417,EIF5B,-0.43199999999999994,0.7135,0.7135,NS
ENSG00000144182,LIPT1,0.4105,-0.05650000000000002,0.4105,NS
ENSG00000006071,NA,NA,NA,NA,NS
ENSG00000110076,NRXN2,-0.04799999999999999,-0.666,0.666,NS
ENSG00000162739,NA,NA,NA,NA,NS
ENSG00000206445,ATP6V1G2,0.3125,-0.625,0.625,NS
ENSG00000154358,NA,NA,NA,NA,NS
ENSG00000253729,NA,NA,NA,NA,NS
ENSG00000151365,NA,NA,NA,NA,NS
ENSG00000151364,KCTD14,-0.227,-0.15,0.227,NS
ENSG00000116128,NA,NA,NA,NA,NS
ENSG00000266826,NA,NA,NA,NA,NS
ENSG00000173706,NA,NA,NA,NA,NS
ENSG00000279068,NA,NA,NA,NA,NS
ENSG00000104872,NA,NA,NA,NA,NS
ENSG00000189376,NA,NA,NA,NA,NS
ENSG00000177839,PCDHB9,0.168,-0.875,0.875,NS
ENSG00000145919,NA,NA,NA,NA,NS
ENSG00000106991,NA,NA,NA,NA,NS
ENSG00000059588,NA,NA,NA,NA,NS
ENSG00000170075,GPR37L1,1.285,0.595,1.285,NS
ENSG00000125743,NA,NA,NA,NA,NS
ENSG00000147804,NA,NA,NA,NA,NS
