Requested ID,Matched ID(s),Releases
ENSG00000125877,ENSG00000125877,89: ENSG00000125877.1281: ENSG00000125877.1279: ENSG00000125877.1177: ENSG00000125877.1076: ENSG00000125877.974: ENSG00000125877.870: ENSG00000125877.756: ENSG00000125877.655: ENSG00000125877.547: ENSG00000125877.438: ENSG00000125877.33: ENSG00000125877.1
ENSG00000179873,ENSG00000179873,89: ENSG00000179873.1481: ENSG00000179873.1479: ENSG00000179873.1377: ENSG00000179873.1276: ENSG00000179873.1170: ENSG00000179873.1069: ENSG00000179873.962: ENSG00000179873.855: ENSG00000179873.738: ENSG00000179873.626: ENSG00000179873.521: ENSG00000179873.3
ENSG00000100918,ENSG00000100918,89: ENSG00000100918.1281: ENSG00000100918.1279: ENSG00000100918.1177: ENSG00000100918.1076: ENSG00000100918.968: ENSG00000100918.865: ENSG00000100918.762: ENSG00000100918.655: ENSG00000100918.550: ENSG00000100918.447: ENSG00000100918.315: ENSG00000100918.23: ENSG00000100918.1
ENSG00000119608,ENSG00000119608,89: ENSG00000119608.1281: ENSG00000119608.1279: ENSG00000119608.1177: ENSG00000119608.1076: ENSG00000119608.968: ENSG00000119608.865: ENSG00000119608.764: ENSG00000119608.662: ENSG00000119608.555: ENSG00000119608.447: ENSG00000119608.340: ENSG00000119608.23: ENSG00000119608.1
ENSG00000160051,ENSG00000160051,89: ENSG00000160051.1181: ENSG00000160051.1179: ENSG00000160051.1077: ENSG00000160051.976: ENSG00000160051.862: ENSG00000160051.756: ENSG00000160051.655: ENSG00000160051.550: ENSG00000160051.447: ENSG00000160051.338: ENSG00000160051.2
ENSG00000187135,ENSG00000187135,89: ENSG00000187135.769: ENSG00000187135.762: ENSG00000187135.655: ENSG00000187135.550: ENSG00000187135.447: ENSG00000187135.338: ENSG00000187135.2
ENSG00000173702,ENSG00000173702,89: ENSG00000173702.781: ENSG00000173702.779: ENSG00000173702.677: ENSG00000173702.576: ENSG00000173702.456: ENSG00000173702.315: ENSG00000173702.2
ENSG00000172845,ENSG00000172845,89: ENSG00000172845.1488: ENSG00000172845.1481: ENSG00000172845.1379: ENSG00000172845.1277: ENSG00000172845.1176: ENSG00000172845.1062: ENSG00000172845.958: ENSG00000172845.856: ENSG00000172845.755: ENSG00000172845.638: ENSG00000172845.526: ENSG00000172845.415: ENSG00000172845.2
ENSG00000198673,ENSG00000198673,89: ENSG00000198673.1081: ENSG00000198673.1079: ENSG00000198673.977: ENSG00000198673.876: ENSG00000198673.763: ENSG00000198673.662: ENSG00000198673.555: ENSG00000198673.447: ENSG00000198673.327: ENSG00000198673.2
ENSG00000153498,ENSG00000153498,89: ENSG00000153498.1181: ENSG00000153498.1179: ENSG00000153498.1077: ENSG00000153498.976: ENSG00000153498.862: ENSG00000153498.756: ENSG00000153498.655: ENSG00000153498.547: ENSG00000153498.438: ENSG00000153498.326: ENSG00000153498.2
ENSG00000175262,ENSG00000175262,89: ENSG00000175262.1481: ENSG00000175262.1479: ENSG00000175262.1377: ENSG00000175262.1276: ENSG00000175262.1171: ENSG00000175262.1062: ENSG00000175262.960: ENSG00000175262.856: ENSG00000175262.755: ENSG00000175262.647: ENSG00000175262.538: ENSG00000175262.427: ENSG00000175262.326: ENSG00000175262.2
ENSG00000121270,ENSG00000121270,89: ENSG00000121270.1581: ENSG00000121270.1579: ENSG00000121270.1477: ENSG00000121270.1376: ENSG00000121270.1266: ENSG00000121270.1162: ENSG00000121270.1056: ENSG00000121270.947: ENSG00000121270.838: ENSG00000121270.726: ENSG00000121270.621: ENSG00000121270.415: ENSG00000121270.23: ENSG00000121270.1
ENSG00000131355,ENSG00000131355,89: ENSG00000131355.1481: ENSG00000131355.1479: ENSG00000131355.1377: ENSG00000131355.1276: ENSG00000131355.1170: ENSG00000131355.1062: ENSG00000131355.955: ENSG00000131355.850: ENSG00000131355.747: ENSG00000131355.638: ENSG00000131355.526: ENSG00000131355.421: ENSG00000131355.315: ENSG00000131355.23: ENSG00000131355.1
ENSG00000113088,ENSG00000113088,89: ENSG00000113088.558: ENSG00000113088.556: ENSG00000113088.447: ENSG00000113088.338: ENSG00000113088.23: ENSG00000113088.1
ENSG00000134827,ENSG00000134827,89: ENSG00000134827.781: ENSG00000134827.779: ENSG00000134827.677: ENSG00000134827.576: ENSG00000134827.461: ENSG00000134827.350: ENSG00000134827.23: ENSG00000134827.1
ENSG00000141504,ENSG00000141504,89: ENSG00000141504.1181: ENSG00000141504.1179: ENSG00000141504.1077: ENSG00000141504.976: ENSG00000141504.867: ENSG00000141504.762: ENSG00000141504.658: ENSG00000141504.550: ENSG00000141504.447: ENSG00000141504.338: ENSG00000141504.23: ENSG00000141504.1
ENSG00000188984,ENSG00000188984,89: ENSG00000188984.1181: ENSG00000188984.1179: ENSG00000188984.1077: ENSG00000188984.976: ENSG00000188984.862: ENSG00000188984.756: ENSG00000188984.655: ENSG00000188984.547: ENSG00000188984.438: ENSG00000188984.326: ENSG00000188984.2
ENSG00000169026,ENSG00000169026,89: ENSG00000169026.1281: ENSG00000169026.1279: ENSG00000169026.1177: ENSG00000169026.1076: ENSG00000169026.958: ENSG00000169026.856: ENSG00000169026.750: ENSG00000169026.647: ENSG00000169026.538: ENSG00000169026.426: ENSG00000169026.3
ENSG00000069974,ENSG00000069974,89: ENSG00000069974.1581: ENSG00000069974.1579: ENSG00000069974.1477: ENSG00000069974.1376: ENSG00000069974.1268: ENSG00000069974.1166: ENSG00000069974.1062: ENSG00000069974.956: ENSG00000069974.855: ENSG00000069974.747: ENSG00000069974.638: ENSG00000069974.526: ENSG00000069974.415: ENSG00000069974.23: ENSG00000069974.1
ENSG00000100593,ENSG00000100593,89: ENSG00000100593.1781: ENSG00000100593.1779: ENSG00000100593.1677: ENSG00000100593.1576: ENSG00000100593.1472: ENSG00000100593.1364: ENSG00000100593.1262: ENSG00000100593.1156: ENSG00000100593.1055: ENSG00000100593.947: ENSG00000100593.838: ENSG00000100593.726: ENSG00000100593.621: ENSG00000100593.415: ENSG00000100593.23: ENSG00000100593.1
ENSG00000153237,ENSG00000153237,89: ENSG00000153237.1781: ENSG00000153237.1779: ENSG00000153237.1677: ENSG00000153237.1576: ENSG00000153237.1468: ENSG00000153237.1362: ENSG00000153237.1256: ENSG00000153237.1155: ENSG00000153237.1052: ENSG00000153237.950: ENSG00000153237.847: ENSG00000153237.738: ENSG00000153237.626: ENSG00000153237.521: ENSG00000153237.415: ENSG00000153237.2
ENSG00000121318,ENSG00000121318,89: ENSG00000121318.262: ENSG00000121318.23: ENSG00000121318.1
ENSG00000148735,ENSG00000148735,89: ENSG00000148735.1481: ENSG00000148735.1479: ENSG00000148735.1377: ENSG00000148735.1276: ENSG00000148735.1162: ENSG00000148735.1056: ENSG00000148735.955: ENSG00000148735.850: ENSG00000148735.747: ENSG00000148735.638: ENSG00000148735.527: ENSG00000148735.426: ENSG00000148735.315: ENSG00000148735.23: ENSG00000148735.1
ENSG00000112787,ENSG00000112787,89: ENSG00000112787.1285: ENSG00000112787.1281: ENSG00000112787.1279: ENSG00000112787.1177: ENSG00000112787.1076: ENSG00000112787.972: ENSG00000112787.863: ENSG00000112787.762: ENSG00000112787.755: ENSG00000112787.638: ENSG00000112787.526: ENSG00000112787.415: ENSG00000112787.23: ENSG00000112787.1
ENSG00000091128,ENSG00000091128,89: ENSG00000091128.1281: ENSG00000091128.1279: ENSG00000091128.1177: ENSG00000091128.1076: ENSG00000091128.962: ENSG00000091128.856: ENSG00000091128.755: ENSG00000091128.650: ENSG00000091128.547: ENSG00000091128.440: ENSG00000091128.326: ENSG00000091128.23: ENSG00000091128.1
ENSG00000105939,ENSG00000105939,89: ENSG00000105939.1281: ENSG00000105939.1279: ENSG00000105939.1177: ENSG00000105939.1076: ENSG00000105939.968: ENSG00000105939.862: ENSG00000105939.756: ENSG00000105939.650: ENSG00000105939.547: ENSG00000105939.426: ENSG00000105939.315: ENSG00000105939.23: ENSG00000105939.1
ENSG00000180205,ENSG00000180205,89: ENSG00000180205.340: ENSG00000180205.338: ENSG00000180205.2
ENSG00000205884,ENSG00000205884,89: ENSG00000205884.247: ENSG00000205884.2
ENSG00000101751,ENSG00000101751,89: ENSG00000101751.1081: ENSG00000101751.1079: ENSG00000101751.977: ENSG00000101751.876: ENSG00000101751.768: ENSG00000101751.662: ENSG00000101751.556: ENSG00000101751.455: ENSG00000101751.350: ENSG00000101751.23: ENSG00000101751.1
ENSG00000100867,ENSG00000100867,89: ENSG00000100867.1481: ENSG00000100867.1479: ENSG00000100867.1377: ENSG00000100867.1276: ENSG00000100867.1164: ENSG00000100867.1062: ENSG00000100867.956: ENSG00000100867.855: ENSG00000100867.747: ENSG00000100867.638: ENSG00000100867.526: ENSG00000100867.421: ENSG00000100867.315: ENSG00000100867.23: ENSG00000100867.1
ENSG00000075218,ENSG00000075218,89: ENSG00000075218.1881: ENSG00000075218.1879: ENSG00000075218.1777: ENSG00000075218.1676: ENSG00000075218.1568: ENSG00000075218.1462: ENSG00000075218.1356: ENSG00000075218.1255: ENSG00000075218.1150: ENSG00000075218.1047: ENSG00000075218.938: ENSG00000075218.827: ENSG00000075218.726: ENSG00000075218.621: ENSG00000075218.515: ENSG00000075218.23: ENSG00000075218.1
ENSG00000155833,ENSG00000155833,89: ENSG00000155833.1481: ENSG00000155833.1479: ENSG00000155833.1377: ENSG00000155833.1276: ENSG00000155833.1169: ENSG00000155833.1062: ENSG00000155833.956: ENSG00000155833.855: ENSG00000155833.747: ENSG00000155833.638: ENSG00000155833.527: ENSG00000155833.426: ENSG00000155833.321: ENSG00000155833.2
ENSG00000149021,ENSG00000149021,89: ENSG00000149021.681: ENSG00000149021.679: ENSG00000149021.577: ENSG00000149021.476: ENSG00000149021.361: ENSG00000149021.23: ENSG00000149021.1
