ensembl_gene_id,uniprot_gn,measuredPPI,presentInPhisto,presentInHPIDB,presentInVirHostNet
ENSG00000000419,O60762,yes,yes,yes,yes
ENSG00000000460,Q9NSG2,yes,yes,yes,yes
ENSG00000001036,Q9BTY2,yes,yes,yes,yes
ENSG00000001497,Q9Y4W2,yes,yes,yes,yes
ENSG00000002330,Q92934,yes,yes,yes,yes
ENSG00000002549,P28838,yes,yes,yes,yes
ENSG00000002586,P14209,yes,yes,yes,yes
ENSG00000002746,Q76N89,yes,yes,yes,yes
ENSG00000002834,Q14847,yes,yes,yes,yes
ENSG00000003056,P20645,yes,yes,yes,yes
ENSG00000003756,P52756,yes,yes,yes,yes
ENSG00000004059,P84085,yes,yes,yes,yes
ENSG00000004142,Q9Y2S7,yes,yes,yes,yes
ENSG00000004478,Q02790,yes,yes,yes,yes
ENSG00000004487,O60341,yes,yes,yes,yes
ENSG00000004534,P78332,yes,yes,yes,yes
ENSG00000004700,P46063,yes,yes,yes,yes
ENSG00000004838,O75800,yes,yes,yes,yes
ENSG00000004864,Q9UJS0,yes,yes,yes,yes
ENSG00000004897,P30260,yes,yes,yes,yes
ENSG00000004961,P53701,yes,yes,yes,yes
ENSG00000005007,Q92900,yes,yes,yes,yes
ENSG00000005022,P05141,yes,yes,yes,yes
ENSG00000005156,P49916,yes,yes,yes,yes
ENSG00000005206,Q8TCT7,yes,yes,yes,yes
ENSG00000005339,Q92793,yes,yes,yes,yes
ENSG00000005379,O95153,yes,yes,yes,yes
ENSG00000005381,P05164,yes,yes,yes,yes
ENSG00000005486,Q6NTF9,yes,yes,yes,yes
ENSG00000005844,P20701,yes,yes,yes,yes
ENSG00000005882,Q15119,yes,yes,yes,yes
ENSG00000005884,P26006,yes,yes,yes,yes
ENSG00000006025,Q9BZF2,yes,yes,yes,yes
ENSG00000006125,P63010,yes,yes,yes,yes
ENSG00000006210,P78423,yes,yes,yes,yes
ENSG00000006327,Q9NP84,yes,yes,yes,yes
ENSG00000006451,P11233,yes,yes,yes,yes
ENSG00000006530,Q53H12,yes,yes,yes,yes
ENSG00000006606,Q9Y258,yes,yes,yes,yes
ENSG00000006611,Q9Y6N9,yes,yes,yes,yes
ENSG00000006638,P21731,yes,yes,yes,yes
ENSG00000006659,Q8TCE9,yes,yes,yes,yes
ENSG00000006744,Q9BQ52,yes,yes,yes,yes
ENSG00000006757,P41247,yes,yes,yes,yes
ENSG00000007080,Q96CT7,yes,yes,yes,yes
ENSG00000007392,Q9NQ29,yes,yes,yes,yes
ENSG00000007541,Q9BRB3,yes,yes,yes,yes
ENSG00000007545,Q96RY5,yes,yes,yes,yes
ENSG00000007923,Q9NVH1,yes,yes,yes,yes
ENSG00000008018,P20618,yes,yes,yes,yes
ENSG00000008300,Q9NYQ7,yes,yes,yes,yes
ENSG00000008394,P10620,yes,yes,yes,yes
ENSG00000008952,Q99442,yes,yes,yes,yes
ENSG00000008988,P60866,yes,yes,yes,yes
ENSG00000009307,O75534,yes,yes,yes,yes
ENSG00000009335,Q15386,yes,yes,yes,yes
ENSG00000009954,Q9UIG0,yes,yes,yes,yes
ENSG00000010017,Q96S59,yes,yes,yes,yes
ENSG00000010165,Q8N6R0,yes,yes,yes,yes
ENSG00000010256,P31930,yes,yes,yes,yes
ENSG00000010292,Q15021,yes,yes,yes,yes
ENSG00000010322,Q9Y2I1,yes,yes,yes,yes
ENSG00000010610,P01730,yes,yes,yes,yes
ENSG00000010803,Q96GD3,yes,yes,yes,yes
ENSG00000010810,P06241,yes,yes,yes,yes
ENSG00000010818,P31629,yes,yes,yes,yes
ENSG00000011007,Q14241,yes,yes,yes,yes
ENSG00000011028,Q9UBG0,yes,yes,yes,yes
ENSG00000011143,Q9NXB0,yes,yes,yes,yes
ENSG00000011198,Q8WTS1,yes,yes,yes,yes
ENSG00000011258,Q05BQ5,yes,yes,yes,yes
ENSG00000011275,Q9NWF9,yes,yes,yes,yes
ENSG00000011332,Q92782,yes,yes,yes,yes
ENSG00000011478,Q9NXS2,yes,yes,yes,yes
ENSG00000011485,P53041,yes,yes,yes,yes
ENSG00000011523,Q76N32,yes,yes,yes,yes
ENSG00000012232,O43909,yes,yes,yes,yes
ENSG00000012504,Q96RI1,yes,yes,yes,yes
ENSG00000013364,Q14764,yes,yes,yes,yes
ENSG00000013375,O95394,yes,yes,yes,yes
ENSG00000013523,Q9UNK9,yes,yes,yes,yes
ENSG00000013588,Q8NFJ5,yes,yes,yes,yes
ENSG00000013810,Q9Y6A5,yes,yes,yes,yes
ENSG00000014123,O94874,yes,yes,yes,yes
ENSG00000014138,Q14181,yes,yes,yes,yes
ENSG00000014216,P07384,yes,yes,yes,yes
ENSG00000014824,Q6PML9,yes,yes,yes,yes
ENSG00000014919,Q7KZN9,yes,yes,yes,yes
ENSG00000015133,Q9P219,yes,yes,yes,yes
ENSG00000015171,Q15326,yes,yes,yes,yes
ENSG00000015475,A8ASI8,yes,yes,yes,yes
ENSG00000015479,P43243,yes,yes,yes,yes
ENSG00000017260,P98194,yes,yes,yes,yes
ENSG00000018510,O00116,yes,yes,yes,yes
ENSG00000018625,P50993,yes,yes,yes,yes
ENSG00000018699,Q6P3X3,yes,yes,yes,yes
ENSG00000019169,Q9UEW3,yes,yes,yes,yes
ENSG00000020129,Q9UBB6,yes,yes,yes,yes
ENSG00000020181,Q96PE1,yes,yes,yes,yes
ENSG00000020426,P51948,yes,yes,yes,yes
ENSG00000021826,P31327,yes,yes,yes,yes
ENSG00000022840,Q8N5U6,yes,yes,yes,yes
ENSG00000023191,P13489,yes,yes,yes,yes
ENSG00000023228,P28331,yes,yes,yes,yes
ENSG00000023516,Q9UKA4,yes,yes,yes,yes
ENSG00000023608,Q16533,yes,yes,yes,yes
ENSG00000023734,Q9Y3F4,yes,yes,yes,yes
ENSG00000024048,Q8IWV8,yes,yes,yes,yes
ENSG00000024422,Q9NZN4,yes,yes,yes,yes
ENSG00000025796,Q9UGP8,yes,yes,yes,yes
ENSG00000025800,O60684,yes,yes,yes,yes
ENSG00000026025,P08670,yes,yes,yes,yes
ENSG00000026103,P25445,yes,yes,yes,yes
ENSG00000026508,P16070,yes,yes,yes,yes
ENSG00000028116,Q86Y07,yes,yes,yes,yes
ENSG00000028203,Q9HBM0,yes,yes,yes,yes
ENSG00000028277,P09086,yes,yes,yes,yes
ENSG00000029363,Q9NYF8,yes,yes,yes,yes
ENSG00000029639,Q8WVM0,yes,yes,yes,yes
ENSG00000030066,Q12769,yes,yes,yes,yes
ENSG00000030110,Q16611,yes,yes,yes,yes
ENSG00000031698,P49591,yes,yes,yes,yes
ENSG00000032389,Q53HC9,yes,yes,yes,yes
ENSG00000033011,Q9BT22,yes,yes,yes,yes
ENSG00000033050,Q9UG63,yes,yes,yes,yes
ENSG00000033100,Q9P2E5,yes,yes,yes,yes
ENSG00000033170,Q9BYC5,yes,yes,yes,yes
ENSG00000033627,Q93050,yes,yes,yes,yes
ENSG00000033800,O75925,yes,yes,yes,yes
ENSG00000034152,P46734,yes,yes,yes,yes
ENSG00000034510,P63313,yes,yes,yes,yes
ENSG00000034693,P56589,yes,yes,yes,yes
ENSG00000035141,Q96C01,yes,yes,yes,yes
ENSG00000035928,P35251,yes,yes,yes,yes
ENSG00000036257,Q13618,yes,yes,yes,yes
ENSG00000036549,Q8IYH5,yes,yes,yes,yes
ENSG00000036672,O75604,yes,yes,yes,yes
ENSG00000037241,Q9UNX3,yes,yes,yes,yes
ENSG00000037474,Q08J23,yes,yes,yes,yes
ENSG00000037757,Q9BV20,yes,yes,yes,yes
ENSG00000038274,Q9NZL9,yes,yes,yes,yes
ENSG00000038358,Q6P2E9,yes,yes,yes,yes
ENSG00000038382,O75962,yes,yes,yes,yes
ENSG00000038427,P13611,yes,yes,yes,yes
ENSG00000039123,P42285,yes,yes,yes,yes
ENSG00000039650,Q96T60,yes,yes,yes,yes
ENSG00000040275,Q96EA4,yes,yes,yes,yes
ENSG00000041357,P25789,yes,yes,yes,yes
ENSG00000042088,Q9NUW8,yes,yes,yes,yes
ENSG00000042317,Q9P0W8,yes,yes,yes,yes
ENSG00000042445,Q6NUM9,yes,yes,yes,yes
ENSG00000042753,P53680,yes,yes,yes,yes
ENSG00000044090,Q14999,yes,yes,yes,yes
ENSG00000044115,P35221,yes,yes,yes,yes
ENSG00000044574,P11021,yes,yes,yes,yes
ENSG00000046647,Q9NWZ8,yes,yes,yes,yes
ENSG00000046651,O75665,yes,yes,yes,yes
ENSG00000047249,Q9UI12,yes,yes,yes,yes
ENSG00000047315,P30876,yes,yes,yes,yes
ENSG00000047410,P12270,yes,yes,yes,yes
ENSG00000047932,Q9HD26,yes,yes,yes,yes
ENSG00000048162,Q9Y3C1,yes,yes,yes,yes
ENSG00000048540,Q8TAP4,yes,yes,yes,yes
ENSG00000048544,P82664,yes,yes,yes,yes
ENSG00000048649,Q96T23,yes,yes,yes,yes
ENSG00000049245,Q15836,yes,yes,yes,yes
ENSG00000049247,O95399,yes,yes,yes,yes
ENSG00000049449,Q15293,yes,yes,yes,yes
ENSG00000049541,P35250,yes,yes,yes,yes
ENSG00000049759,Q96PU5,yes,yes,yes,yes
ENSG00000050165,Q9UBP4,yes,yes,yes,yes
ENSG00000050555,Q9Y6N6,yes,yes,yes,yes
ENSG00000050748,P45984,yes,yes,yes,yes
ENSG00000050820,P56945,yes,yes,yes,yes
ENSG00000051128,Q9NSC5,yes,yes,yes,yes
ENSG00000051180,Q06609,yes,yes,yes,yes
ENSG00000051382,P42338,yes,yes,yes,yes
ENSG00000052126,Q9HAU0,yes,yes,yes,yes
ENSG00000052749,Q5JTH9,yes,yes,yes,yes
ENSG00000053372,Q9UKD2,yes,yes,yes,yes
ENSG00000054116,O43617,yes,yes,yes,yes
ENSG00000054118,Q9Y2W1,yes,yes,yes,yes
ENSG00000054148,Q9NRX4,yes,yes,yes,yes
ENSG00000054282,Q86SQ7,yes,yes,yes,yes
ENSG00000054523,O60333,yes,yes,yes,yes
ENSG00000054598,Q12948,yes,yes,yes,yes
ENSG00000054654,Q8WXH0,yes,yes,yes,yes
ENSG00000054793,O75110,yes,yes,yes,yes
ENSG00000055044,Q9Y2X3,yes,yes,yes,yes
ENSG00000055147,Q9NRY5,yes,yes,yes,yes
ENSG00000055208,Q9NYJ8,yes,yes,yes,yes
ENSG00000055332,P19525,yes,yes,yes,yes
ENSG00000056097,Q96KR1,yes,yes,yes,yes
ENSG00000056558,Q13077,yes,yes,yes,yes
ENSG00000057252,P35610,yes,yes,yes,yes
ENSG00000057663,Q9H1Y0,yes,yes,yes,yes
ENSG00000058085,Q13753,yes,yes,yes,yes
ENSG00000058272,O14974,yes,yes,yes,yes
ENSG00000058404,Q13554,yes,yes,yes,yes
ENSG00000058673,O75152,yes,yes,yes,yes
ENSG00000059378,Q9H0J9,yes,yes,yes,yes
ENSG00000059573,P54886,yes,yes,yes,yes
ENSG00000059588,Q13395,yes,yes,yes,yes
ENSG00000059769,Q9H1X3,yes,yes,yes,yes
ENSG00000060138,P16989,yes,yes,yes,yes
ENSG00000060237,Q9H4A3,yes,yes,yes,yes
ENSG00000061273,Q8WUI4,yes,yes,yes,yes
ENSG00000061794,P82673,yes,yes,yes,yes
ENSG00000061987,Q7Z3U7,yes,yes,yes,yes
ENSG00000062485,O75390,yes,yes,yes,yes
ENSG00000062582,Q96EL2,yes,yes,yes,yes
ENSG00000062650,Q7Z5K2,yes,yes,yes,yes
ENSG00000062725,Q92624,yes,yes,yes,yes
ENSG00000062822,P28340,yes,yes,yes,yes
ENSG00000063046,P23588,yes,yes,yes,yes
ENSG00000063177,Q07020,yes,yes,yes,yes
ENSG00000063241,Q96AB3,yes,yes,yes,yes
ENSG00000063244,P26368,yes,yes,yes,yes
ENSG00000063660,P35052,yes,yes,yes,yes
ENSG00000064012,Q14790,yes,yes,yes,yes
ENSG00000064218,Q9NQL9,yes,yes,yes,yes
ENSG00000064313,Q6P1X5,yes,yes,yes,yes
ENSG00000064393,Q9H2X6,yes,yes,yes,yes
ENSG00000064419,Q9Y5L0,yes,yes,yes,yes
ENSG00000064545,Q9NX61,yes,yes,yes,yes
ENSG00000064601,P10619,yes,yes,yes,yes
ENSG00000064607,Q8IX01,yes,yes,yes,yes
ENSG00000064666,Q99439,yes,yes,yes,yes
ENSG00000064703,Q9UHI6,yes,yes,yes,yes
ENSG00000064886,Q15782,yes,yes,yes,yes
ENSG00000064933,P54277,yes,yes,yes,yes
ENSG00000065000,O14617,yes,yes,yes,yes
ENSG00000065054,Q15599,yes,yes,yes,yes
ENSG00000065150,O00410,yes,yes,yes,yes
ENSG00000065154,P04181,yes,yes,yes,yes
ENSG00000065183,Q9UNX4,yes,yes,yes,yes
ENSG00000065243,Q16513,yes,yes,yes,yes
ENSG00000065268,Q9BV38,yes,yes,yes,yes
ENSG00000065361,P21860,yes,yes,yes,yes
ENSG00000065371,Q9HAT0,yes,yes,yes,yes
ENSG00000065413,Q8N8A2,yes,yes,yes,yes
ENSG00000065427,Q15046,yes,yes,yes,yes
ENSG00000065548,Q8WU90,yes,yes,yes,yes
ENSG00000065615,Q7L1T6,yes,yes,yes,yes
ENSG00000065621,Q9H4Y5,yes,yes,yes,yes
ENSG00000065675,Q04759,yes,yes,yes,yes
ENSG00000065883,Q14004,yes,yes,yes,yes
ENSG00000065911,P13995,yes,yes,yes,yes
ENSG00000065978,P67809,yes,yes,yes,yes
ENSG00000066027,Q15172,yes,yes,yes,yes
ENSG00000066044,Q15717,yes,yes,yes,yes
ENSG00000066279,Q8IZT6,yes,yes,yes,yes
ENSG00000066336,P17947,yes,yes,yes,yes
ENSG00000066654,Q9NXG2,yes,yes,yes,yes
ENSG00000066697,Q96H12,yes,yes,yes,yes
ENSG00000066777,Q9Y6D6,yes,yes,yes,yes
ENSG00000066926,P22830,yes,yes,yes,yes
ENSG00000066933,B2RTY4,yes,yes,yes,yes
ENSG00000067057,Q01813,yes,yes,yes,yes
ENSG00000067066,P23497,yes,yes,yes,yes
ENSG00000067167,Q15629,yes,yes,yes,yes
ENSG00000067182,P19438,yes,yes,yes,yes
ENSG00000067225,P14618,yes,yes,yes,yes
ENSG00000067248,Q7Z478,yes,yes,yes,yes
ENSG00000067334,Q5QJE6,yes,yes,yes,yes
ENSG00000067369,Q12888,yes,yes,yes,yes
