ensembl_gene_id,uniprot_gn,measuredPPI,presentInPhisto,presentInHPIDB,presentInVirHostNet
ENSG00000124151,Q9Y6Q9,yes,no,no,yes
ENSG00000174307,Q9Y5J5,yes,no,no,yes
ENSG00000135269,Q9UGI8,yes,yes,yes,yes
ENSG00000136819,Q9NZ63,yes,no,no,yes
ENSG00000185633,Q9NRX3,yes,no,no,yes
ENSG00000148737,Q9NQB0,yes,yes,yes,yes
ENSG00000152455,Q9H5I1,yes,no,no,yes
ENSG00000140941,Q9GZQ8,yes,yes,no,yes
ENSG00000136197,Q9BPX7,yes,no,no,yes
ENSG00000087338,Q96IK5,yes,yes,no,yes
ENSG00000117154,Q96ID5,yes,no,no,yes
ENSG00000168490,Q92561,yes,no,no,yes
ENSG00000157510,Q8TED9,yes,no,no,yes
ENSG00000143207,Q8NHY2,yes,no,no,yes
ENSG00000259956,Q8NDT2,yes,no,no,yes
ENSG00000185475,Q7Z7N9,yes,yes,yes,yes
ENSG00000121931,Q5T3J3,yes,no,no,yes
ENSG00000122565,Q13185,yes,yes,no,yes
ENSG00000223680,Q08345,yes,no,no,yes
ENSG00000215522,Q08345,yes,no,no,yes
ENSG00000137332,Q08345,yes,no,no,yes
ENSG00000229767,Q08345,yes,no,no,yes
ENSG00000196781,Q04724,yes,no,no,yes
ENSG00000273859,Q02833,yes,no,no,yes
ENSG00000099849,Q02833,yes,no,no,yes
ENSG00000182199,P34897,yes,no,no,yes
ENSG00000236279,P0C7M8,yes,no,no,yes
ENSG00000224320,P01892,yes,yes,yes,yes
ENSG00000206503,P01892,yes,yes,yes,yes
ENSG00000223980,P01892,yes,yes,yes,yes
ENSG00000186625,O75449,yes,no,no,yes
ENSG00000079819,O43491,yes,no,no,yes
ENSG00000105695,P20916,yes,yes,no,no
ENSG00000187164,A0MZ66,yes,yes,yes,yes
ENSG00000135940,P10606,yes,yes,yes,yes
ENSG00000198033,Q13748,yes,yes,yes,yes
ENSG00000124593,Q2TBC4,yes,yes,yes,yes
ENSG00000280495,Q9Y296,yes,yes,no,yes
ENSG00000113555,Q9NPG4,yes,yes,yes,yes
ENSG00000230453,A2A2Z9,yes,yes,yes,no
ENSG00000140553,Q9H3U1,yes,yes,yes,yes
ENSG00000137154,A2A3R6,yes,yes,yes,yes
ENSG00000141401,O14732,yes,yes,no,yes
ENSG00000180376,A2RUB6,yes,yes,yes,yes
ENSG00000143742,P49458,yes,yes,yes,yes
ENSG00000115808,O43815,yes,yes,yes,yes
