ensembl_ID,UnionMeasuredPPI,IntersectMeasuredPPI,presentInPhisto,presentInHPIDB,presentInVirHostNet
ENSG00000000003,no,no,no,no,no
ENSG00000000005,no,no,no,no,no
ENSG00000000419,yes,yes,yes,yes,yes
ENSG00000000457,no,no,no,no,no
ENSG00000000460,yes,yes,yes,yes,yes
ENSG00000000938,no,no,no,no,no
ENSG00000000971,no,no,no,no,no
ENSG00000001036,yes,yes,yes,yes,yes
ENSG00000001084,no,no,no,no,no
ENSG00000001167,no,no,no,no,no
ENSG00000001460,no,no,no,no,no
ENSG00000001461,no,no,no,no,no
ENSG00000001497,yes,yes,yes,yes,yes
ENSG00000001561,no,no,no,no,no
ENSG00000001617,no,no,no,no,no
ENSG00000001626,no,no,no,no,no
ENSG00000001629,no,no,no,no,no
ENSG00000001630,no,no,no,no,no
ENSG00000001631,no,no,no,no,no
ENSG00000002016,no,no,no,no,no
ENSG00000002330,yes,yes,yes,yes,yes
ENSG00000002549,yes,yes,yes,yes,yes
ENSG00000002586,yes,yes,yes,yes,yes
ENSG00000002587,no,no,no,no,no
ENSG00000002726,yes,no,yes,yes,no
ENSG00000002745,no,no,no,no,no
ENSG00000002746,yes,yes,yes,yes,yes
ENSG00000002822,yes,no,yes,no,yes
ENSG00000002834,yes,yes,yes,yes,yes
ENSG00000002919,no,no,no,no,no
ENSG00000002933,no,no,no,no,no
ENSG00000003056,yes,yes,yes,yes,yes
ENSG00000003096,no,no,no,no,no
ENSG00000003137,no,no,no,no,no
ENSG00000003147,no,no,no,no,no
ENSG00000003249,no,no,no,no,no
ENSG00000003393,no,no,no,no,no
ENSG00000003400,yes,no,yes,no,yes
ENSG00000003402,no,no,no,no,no
ENSG00000003436,no,no,no,no,no
ENSG00000003509,no,no,no,no,no
ENSG00000003756,yes,yes,yes,yes,yes
ENSG00000003987,no,no,no,no,no
ENSG00000003989,no,no,no,no,no
ENSG00000004059,yes,yes,yes,yes,yes
ENSG00000004139,no,no,no,no,no
ENSG00000004142,yes,yes,yes,yes,yes
ENSG00000004399,no,no,no,no,no
ENSG00000004455,no,no,no,no,no
ENSG00000004468,yes,no,yes,no,no
ENSG00000004478,yes,yes,yes,yes,yes
ENSG00000004487,yes,yes,yes,yes,yes
ENSG00000004534,yes,yes,yes,yes,yes
ENSG00000004660,no,no,no,no,no
ENSG00000004700,yes,yes,yes,yes,yes
ENSG00000004766,no,no,no,no,no
ENSG00000004776,yes,no,yes,no,yes
ENSG00000004777,no,no,no,no,no
ENSG00000004779,no,no,no,no,no
ENSG00000004799,no,no,no,no,no
ENSG00000004809,no,no,no,no,no
ENSG00000004838,yes,yes,yes,yes,yes
ENSG00000004846,no,no,no,no,no
ENSG00000004848,no,no,no,no,no
ENSG00000004864,yes,yes,yes,yes,yes
ENSG00000004866,no,no,no,no,no
ENSG00000004897,yes,yes,yes,yes,yes
ENSG00000004939,no,no,no,no,no
ENSG00000004948,no,no,no,no,no
ENSG00000004961,yes,yes,yes,yes,yes
ENSG00000004975,yes,no,yes,no,yes
ENSG00000005001,no,no,no,no,no
ENSG00000005007,yes,yes,yes,yes,yes
ENSG00000005020,no,no,no,no,no
ENSG00000005022,yes,yes,yes,yes,yes
ENSG00000005059,no,no,no,no,no
ENSG00000005073,no,no,no,no,no
ENSG00000005075,yes,no,yes,no,yes
ENSG00000005100,no,no,no,no,no
ENSG00000005102,no,no,no,no,no
ENSG00000005108,no,no,no,no,no
ENSG00000005156,yes,yes,yes,yes,yes
ENSG00000005175,yes,no,yes,no,yes
ENSG00000005187,yes,no,yes,yes,no
ENSG00000005189,no,no,no,no,no
ENSG00000005194,no,no,no,no,no
ENSG00000005206,yes,yes,yes,yes,yes
ENSG00000005238,no,no,no,no,no
ENSG00000005243,no,no,no,no,no
ENSG00000005249,yes,no,yes,yes,no
ENSG00000005302,yes,no,yes,yes,no
ENSG00000005339,yes,yes,yes,yes,yes
ENSG00000005379,yes,yes,yes,yes,yes
ENSG00000005381,yes,yes,yes,yes,yes
ENSG00000005421,no,no,no,no,no
ENSG00000005436,no,no,no,no,no
ENSG00000005448,no,no,no,no,no
ENSG00000005469,no,no,no,no,no
ENSG00000005471,no,no,no,no,no
ENSG00000005483,no,no,no,no,no
ENSG00000005486,yes,yes,yes,yes,yes
ENSG00000005513,no,no,no,no,no
ENSG00000005700,no,no,no,no,no
ENSG00000005801,yes,no,yes,yes,no
ENSG00000005810,yes,no,yes,no,yes
ENSG00000005812,no,no,no,no,no
ENSG00000005844,yes,yes,yes,yes,yes
ENSG00000005882,yes,yes,yes,yes,yes
ENSG00000005884,yes,yes,yes,yes,yes
ENSG00000005889,no,no,no,no,no
ENSG00000005893,no,no,no,no,no
ENSG00000005961,no,no,no,no,no
ENSG00000005981,no,no,no,no,no
ENSG00000006007,no,no,no,no,no
ENSG00000006015,no,no,no,no,no
ENSG00000006016,no,no,no,no,no
ENSG00000006025,yes,yes,yes,yes,yes
ENSG00000006042,no,no,no,no,no
ENSG00000006047,no,no,no,no,no
ENSG00000006059,no,no,no,no,no
ENSG00000006062,no,no,no,no,no
ENSG00000006071,no,no,no,no,no
ENSG00000006116,no,no,no,no,no
ENSG00000006118,no,no,no,no,no
ENSG00000006125,yes,yes,yes,yes,yes
ENSG00000006128,no,no,no,no,no
ENSG00000006194,no,no,no,no,no
ENSG00000006210,yes,yes,yes,yes,yes
ENSG00000006282,no,no,no,no,no
ENSG00000006283,no,no,no,no,no
ENSG00000006327,yes,yes,yes,yes,yes
ENSG00000006377,no,no,no,no,no
ENSG00000006432,no,no,no,no,no
ENSG00000006451,yes,yes,yes,yes,yes
ENSG00000006453,no,no,no,no,no
ENSG00000006459,no,no,no,no,no
ENSG00000006468,no,no,no,no,no
ENSG00000006530,yes,yes,yes,yes,yes
ENSG00000006534,no,no,no,no,no
ENSG00000006555,no,no,no,no,no
ENSG00000006576,no,no,no,no,no
ENSG00000006606,yes,yes,yes,yes,yes
ENSG00000006607,yes,no,yes,no,no
ENSG00000006611,yes,yes,yes,yes,yes
ENSG00000006625,no,no,no,no,no
ENSG00000006634,no,no,no,no,no
ENSG00000006638,yes,yes,yes,yes,yes
ENSG00000006652,yes,no,yes,no,no
ENSG00000006659,yes,yes,yes,yes,yes
ENSG00000006695,no,no,no,no,no
ENSG00000006704,no,no,no,no,no
ENSG00000006712,yes,no,yes,yes,no
ENSG00000006715,no,no,no,no,no
ENSG00000006740,no,no,no,no,no
ENSG00000006744,yes,yes,yes,yes,yes
ENSG00000006747,no,no,no,no,no
ENSG00000006756,no,no,no,no,no
ENSG00000006757,yes,yes,yes,yes,yes
ENSG00000006788,yes,no,yes,no,no
ENSG00000006831,no,no,no,no,no
