"","Ehf","Irf","Maf","NF-kappaB","NF-Y","Nrf-2","TCF11::MafG"
"1","ENSG00000000419","ENSG00000000005","ENSG00000000938","ENSG00000000003","ENSG00000000457","ENSG00000000938","ENSG00000003137"
"2","ENSG00000001036","ENSG00000003096","ENSG00000001460","ENSG00000000938","ENSG00000001036","ENSG00000001626","ENSG00000007168"
"3","ENSG00000001631","ENSG00000003137","ENSG00000003096","ENSG00000003096","ENSG00000001167","ENSG00000002834","ENSG00000008197"
"4","ENSG00000003056","ENSG00000003402","ENSG00000003147","ENSG00000003137","ENSG00000001497","ENSG00000003096","ENSG00000008394"
"5","ENSG00000005022","ENSG00000005059","ENSG00000004776","ENSG00000003402","ENSG00000001561","ENSG00000003137","ENSG00000013619"
"6","ENSG00000005059","ENSG00000005073","ENSG00000007944","ENSG00000004059","ENSG00000002919","ENSG00000003249","ENSG00000022355"
"7","ENSG00000006194","ENSG00000005108","ENSG00000008294","ENSG00000004139","ENSG00000003056","ENSG00000004660","ENSG00000023909"
"8","ENSG00000006715","ENSG00000005810","ENSG00000008394","ENSG00000004660","ENSG00000003249","ENSG00000005001","ENSG00000029725"
"9","ENSG00000007255","ENSG00000006468","ENSG00000008838","ENSG00000004848","ENSG00000003436","ENSG00000005108","ENSG00000033327"
"10","ENSG00000007384","ENSG00000006611","ENSG00000010404","ENSG00000004866","ENSG00000004487","ENSG00000005893","ENSG00000033627"
"11","ENSG00000008018","ENSG00000006715","ENSG00000010671","ENSG00000005073","ENSG00000004700","ENSG00000005961","ENSG00000038295"
"12","ENSG00000008130","ENSG00000008086","ENSG00000011376","ENSG00000005844","ENSG00000004777","ENSG00000006007","ENSG00000042781"
"13","ENSG00000008988","ENSG00000008118","ENSG00000018189","ENSG00000005955","ENSG00000004848","ENSG00000006025","ENSG00000048707"
"14","ENSG00000009844","ENSG00000008197","ENSG00000019144","ENSG00000005961","ENSG00000005020","ENSG00000006125","ENSG00000048828"
"15","ENSG00000010072","ENSG00000008441","ENSG00000023287","ENSG00000006116","ENSG00000005238","ENSG00000006831","ENSG00000065833"
"16","ENSG00000010361","ENSG00000010030","ENSG00000031081","ENSG00000006283","ENSG00000005700","ENSG00000007168","ENSG00000068323"
"17","ENSG00000010671","ENSG00000010704","ENSG00000035862","ENSG00000006740","ENSG00000005810","ENSG00000007216","ENSG00000070087"
"18","ENSG00000011009","ENSG00000011304","ENSG00000036672","ENSG00000007171","ENSG00000005882","ENSG00000007923","ENSG00000072364"
"19","ENSG00000013288","ENSG00000011566","ENSG00000038295","ENSG00000007384","ENSG00000005955","ENSG00000008394","ENSG00000073009"
"20","ENSG00000014824","ENSG00000011590","ENSG00000039523","ENSG00000007866","ENSG00000006007","ENSG00000008441","ENSG00000074211"
"21","ENSG00000014919","ENSG00000012660","ENSG00000040633","ENSG00000007908","ENSG00000006062","ENSG00000008838","ENSG00000074317"
"22","ENSG00000020922","ENSG00000012983","ENSG00000041357","ENSG00000007923","ENSG00000006114","ENSG00000009307","ENSG00000074800"
"23","ENSG00000021776","ENSG00000015479","ENSG00000044446","ENSG00000008086","ENSG00000006283","ENSG00000010244","ENSG00000077380"
"24","ENSG00000022277","ENSG00000018408","ENSG00000049283","ENSG00000008118","ENSG00000006432","ENSG00000010404","ENSG00000078018"
"25","ENSG00000023318","ENSG00000019582","ENSG00000049618","ENSG00000008323","ENSG00000006607","ENSG00000010671","ENSG00000078618"
"26","ENSG00000023892","ENSG00000019991","ENSG00000050438","ENSG00000008441","ENSG00000006625","ENSG00000010932","ENSG00000079393"
"27","ENSG00000028310","ENSG00000020633","ENSG00000057657","ENSG00000008516","ENSG00000006712","ENSG00000011021","ENSG00000080493"
"28","ENSG00000028528","ENSG00000030110","ENSG00000058091","ENSG00000009790","ENSG00000006744","ENSG00000013441","ENSG00000084676"
"29","ENSG00000028839","ENSG00000030304","ENSG00000058335","ENSG00000009954","ENSG00000007168","ENSG00000013619","ENSG00000085832"
"30","ENSG00000029364","ENSG00000030419","ENSG00000060982","ENSG00000010810","ENSG00000007255","ENSG00000014914","ENSG00000087842"
"31","ENSG00000030304","ENSG00000031081","ENSG00000064692","ENSG00000011258","ENSG00000007372","ENSG00000015676","ENSG00000092871"
"32","ENSG00000031691","ENSG00000033170","ENSG00000065833","ENSG00000011260","ENSG00000007376","ENSG00000018189","ENSG00000093167"
"33","ENSG00000033170","ENSG00000033627","ENSG00000067177","ENSG00000011347","ENSG00000007545","ENSG00000021762","ENSG00000099250"
"34","ENSG00000041357","ENSG00000034677","ENSG00000068137","ENSG00000011465","ENSG00000008083","ENSG00000022355","ENSG00000099260"
"35","ENSG00000042813","ENSG00000035499","ENSG00000068323","ENSG00000012232","ENSG00000008086","ENSG00000023287","ENSG00000100221"
"36","ENSG00000047230","ENSG00000036672","ENSG00000069020","ENSG00000012660","ENSG00000008294","ENSG00000023839","ENSG00000100605"
