Gene,Adult.CD14+.DC,Adult.cDC1,Adult.cDC2,Fetal.CD14+.DC,Fetal.cDC1,Fetal.cDC2
AACSL,-1.3400166653,-0.4570426399,-1.229733418,1.0719768454,0.4570426399,0.5302880016
AAK1,1.4731470001,0.5076629559,1.5210577701,-0.5076629559,-0.541499054,-0.5548542823
AAMP,1.2260903213,1.3411146009,0.6505077591,-0.6988494743,-0.6505077591,-0.754984725
AASS,1.6098105555,0.105191195,1.6781620162,-0.105191195,-0.3408414341,-0.6061131586
ABCA2,-0.5806834585,-0.2148154615,-0.808704841,0.2148154615,1.4360593116,1.5011845139
ABCA3,0.0777670712,2.1561607153,0.7620756912,-0.4718180928,-0.0777670712,-0.4482640168
ABCA5,1.0696326037,0.1454155373,1.9536840345,-0.634045174,-0.4622034327,-0.1454155373
ABCA6,2.3427898152,0.0993715792,0.7540927813,-0.2206753539,-0.0993715792,-0.2213110327
ABCA7,0.0600132153,1.2649597515,1.7638954493,-0.8477199478,-0.3492824051,-0.0600132153
ABCA9,1.6670999626,0.2178642282,1.2215230597,-0.2178642282,-0.935028977,-0.4013086422
ABCB7,-1.1323792096,-0.3578791041,-0.8737371558,0.3578791041,1.117725258,1.2108535793
ABCC6,0.8260392872,0.5104422484,1.590073106,-0.8161334611,-0.8362758387,-0.5104422484
ABCC6P1,0.4276745368,0.1303176132,1.1098563778,-1.3531225388,-1.4027885518,-0.1303176132
ABCD4,1.1850305777,0.355127514,1.3111611821,-0.7270927728,-1.0835136199,-0.355127514
ABHD12,0.9498743818,0.3692074482,1.3871474471,-0.3692074482,-1.2971797386,-0.5141213654
ABHD3,-1.3439331198,0.0586613408,-1.2659459157,-0.0586613408,1.2647767064,0.3758444878
ABHD4,1.8571893352,0.2366087458,1.3547156061,-0.2366087458,-0.5144486498,-0.4367603557
ABHD5,-0.457392668,-1.30061187,-0.9629688159,1.0327963809,0.9533337081,0.457392668
ABHD8,0.6152228169,0.3769835608,1.0558972555,-1.4948663438,-0.3769835608,-1.0568681218
ABR,1.6836104453,0.0576538896,1.9238176483,-0.0576538896,-0.2237106785,-0.2381963995
ABTB1,1.9979670307,0.0554146423,1.0487669297,-0.0554146423,-0.5927857943,-0.4610831076
ACADM,-0.8349305093,-0.6849141,-0.5437481417,0.5437481417,1.1884841515,1.4244693385
ACADVL,1.1518786941,0.5551809092,1.3984091072,-0.5551809092,-0.6776667342,-0.8950987962
ACAT2,-0.6654773779,-0.299084555,-0.9931216154,1.1698641812,0.299084555,1.4787566304
ACBD5,0.8474790979,-0.0218126337,1.4970989912,0.0218126337,-0.7595037245,-1.2186290108
ACCN3,-0.1751681654,-1.517477573,-1.3838326451,1.0666517909,0.1877028098,0.1751681654
ACD,0.6334636022,1.3112401299,0.2894400625,-0.7644580062,-1.4631349078,-0.2894400625
ACER2,-0.9667635932,-0.998786272,-0.5508262849,1.0999200107,1.1234914396,0.5508262849
ACOT2,0.8601199467,1.6247438017,0.604221141,-0.6766105298,-0.604221141,-0.7801316542
ACP5,2.0964031641,-0.1567513462,0.9382915436,-0.0911294411,-0.6924969162,0.0911294411
ACPL2,0.5107908091,1.7443628719,0.7113361399,-0.7556272992,-0.5107908091,-0.7200577585
ACSL4,0.5615659354,1.2167410545,1.1511840666,-0.8412951486,-0.954172067,-0.5615659354
ACSM2B,-1.3513501718,-0.5829586486,-0.8121369072,1.1894425734,0.6604690814,0.5829586486
ACSM3,0.8335852964,0.655959929,0.6041167456,-1.3014840126,-1.2851806253,-0.6041167456
ACTBL2,1.0881423268,0.6501962436,0.450023451,-0.450023451,-0.9137027642,-1.4925290861
ACTG1,-1.7115839823,0.0188304196,-0.8781578723,-0.0188304196,1.0539686609,0.5824383756
ACTN4,0.1374676413,0.6613685958,1.2724153905,-1.3842899667,-1.0125374606,-0.1374676413
ACTR1B,1.3125062246,0.3230983713,1.2044274752,-0.3550953002,-1.2740366567,-0.3230983713
ADAM15,-0.1828336585,-0.7435017203,-0.7547117448,0.1828336585,1.7995499306,0.9020795248
ADAM19,0.4709113122,0.9195139406,0.7882667536,-1.6105336771,-0.7533538432,-0.4709113122
ADAM33,1.5367212285,0.0216837574,1.1708119793,-0.0216837574,-0.8120254067,-0.8823031368
ADAM8,0.9485562549,0.4977330015,1.258472339,-1.3280331025,-0.5272230763,-0.4977330015
ADAMTS14,2.2046744653,-0.285178558,1.195323368,0.1580039735,-0.1580039735,-0.1668019713
ADAMTS2,-0.5426311766,-1.2971844478,-0.3525630174,1.3287446671,1.0261149447,0.3525630174
ADAMTS4,1.7389402567,-0.2262011466,1.2637907041,-0.8506430115,0.2262011466,-0.3279666645
ADAMTSL3,-0.8916114558,-0.7999265674,-0.7791751339,1.0397162645,1.1447277063,0.7791751339
ADAR,0.7187424818,1.0570354318,0.4939505918,-0.6922437901,-1.5610621392,-0.4939505918
ADARB1,1.2756889333,0.2599307638,1.4964324576,-0.8011641128,-0.7719561632,-0.2599307638
ADCK5,1.1313252876,0.3361998503,0.7100411065,-0.3361998503,-1.4274877955,-1.0052068543
ADCY3,-1.1483546389,-0.4592764939,-1.0216280756,0.4592764939,1.2428771149,0.8202722759
ADCY6,0.3932292642,0.3265666847,2.1037932668,-0.6167765234,-0.4235392681,-0.3265666847
ADCY7,-0.5875276679,-0.1739816692,-0.4886495583,0.1739816692,1.9883358961,1.0083280895
ADCY9,0.4258340864,1.6283787538,0.9954085468,-0.7750056417,-0.4258340864,-0.7675246893
ADD3,-1.2302883973,-0.6426619741,-0.5190441509,0.6889986411,1.4389870608,0.5190441509
ADIPOQ,-0.7506185688,-0.5580380349,-1.0035083018,1.1490064466,1.2470760373,0.5580380349
ADNP,-1.5483629826,0.0133203554,-0.5483303431,-0.0133203554,1.0038775794,1.1375917543
ADNP2,-0.613308738,-0.7682837053,-0.8991919311,1.4505924648,0.613308738,0.9078886071
ADRM1,0.592379974,0.7547870005,1.1782166756,-0.8307567612,-1.2867759504,-0.592379974
AES,0.6465292255,1.1866475605,1.047339097,-1.1014545009,-0.6465292255,-0.6914949438
AFMID,0.424866147,1.5219318605,0.8750547982,-0.8041773457,-0.424866147,-0.9857481272
AGA,-0.8648401631,-0.5391330969,-1.2821534599,0.5391330969,0.8305306399,1.1581034011
AGAP7,-0.4516314055,-0.4552468957,-0.9517211698,0.4516314055,1.3206952955,1.426194549
AGC1,-1.2577034566,-0.4682465107,-1.6772950178,0.5114754359,0.6534199079,0.4682465107
AGER,0.5316649735,0.8540275853,1.7840966311,-0.5439646221,-0.7319091523,-0.5316649735
