Gene,Adult cDC2 ,Adult CD14 DC,Adult cDC1,Fetal cDC2,Fetal CD14 DC,Fetal cDC1
AACSL,7.3315416962,7.3187092284,7.4214513585,7.5363363384,7.599366806,7.5278135685
AAK1,6.8610280432,6.8558076272,6.750607307,6.6348341315,6.639976156,6.6362893335
AAMP,9.1251958074,9.3093803853,9.3461877867,8.6754427101,8.6934058107,8.7088750049
AASS,7.3692844281,7.3570558605,7.0878686427,6.9606111814,7.050229721,7.0080701996
ABCA2,6.6877178346,6.7112754343,6.7490743974,6.9263597035,6.7934609072,6.9196314158
ABCA3,7.7088340514,7.3258531992,8.4890490815,7.0314541101,7.0182718122,7.2388068043
ABCA5,6.8150996407,6.6979911429,6.5755619849,6.5370361831,6.4723084074,6.4950719339
ABCA6,7.560437892,8.3509602305,7.2346541052,7.0750851232,7.0754014317,7.135761174
ABCA7,11.1423870101,9.3781503272,10.625778149,9.2538723534,8.4382636891,8.9543567498
ABCA9,6.9459771604,6.9897508832,6.8473771585,6.7865492713,6.8045709525,6.7341162887
ABCB7,8.9045538845,8.8266194071,9.0599931377,9.5326864222,9.2756666568,9.5046248331
ABCC6,7.3306208706,7.2303752843,7.1889671563,7.0550212989,7.0149128717,7.0122700771
ABCC6P1,7.1605572232,7.1103871939,7.0885185297,7.069350507,6.9794211724,6.9757685608
ABCD4,6.8490509069,6.8353228705,6.7449963428,6.6676922898,6.6272076457,6.588414853
ABHD12,9.9041374583,9.5557985977,9.0932298413,8.3895556916,8.5049964832,7.7657586112
ABHD3,7.133830109,7.075524234,8.1241513555,8.3612882185,8.0364369453,9.0258840514
ABHD4,7.5463084063,7.6784326701,7.2523048849,7.0752440922,7.1278734787,7.0548161413
ABHD5,7.2801468617,7.6271995488,7.0483718272,8.2551538345,8.6501396452,8.5955925028
ABHD8,9.3769183733,9.1460064838,9.0211699334,8.2698365856,8.0403270244,8.626093756
ABR,11.4119180877,11.3103630144,10.6229392605,10.4978593403,10.574189307,10.5039836298
ABTB1,6.694321586,6.8004292411,6.5832783174,6.5255408972,6.5708891114,6.5108183289
ACADM,7.7422681721,7.5751288365,7.6612385937,8.8720294442,8.3664934912,8.7365734148
ACADVL,14.0938019506,13.94582599,13.5876676322,12.7171602986,12.9211906056,12.8476704366
ACAT2,7.8238423424,7.9789698695,8.1524434303,8.994186013,8.8479367698,8.4356545606
ACBD5,6.7704452671,6.7116900005,6.6330663809,6.5248195954,6.6370120947,6.5663454613
