Ensembl Gene ID,Gene Start (bp),Gene End (bp),Strand,Chromosome Name,Associated Gene Name,Description
ENSG00000261657,66119285,66465398,1,HG991_PATCH,SLC25A26,"solute carrier family 25 (S-adenosylmethionine carrier), member 26 [Source:HGNC Symbol;Acc:20661]"
ENSG00000261530,75610476,75660403,-1,HG706_PATCH,BTC,betacellulin [Source:HGNC Symbol;Acc:1121]
ENSG00000260334,39868578,39872221,1,HG185_PATCH,GAST,gastrin [Source:HGNC Symbol;Acc:4164]
ENSG00000261125,39873994,39890896,-1,HG185_PATCH,HAP1,huntingtin-associated protein 1 [Source:HGNC Symbol;Acc:4812]
ENSG00000261577,39910856,39943183,-1,HG185_PATCH,JUP,junction plakoglobin [Source:HGNC Symbol;Acc:6207]
ENSG00000261163,39958199,39968855,-1,HG185_PATCH,LEPREL4,"cDNA FLJ53481, highly similar to Nucleolar autoantigen No55  [Source:UniProtKB/TrEMBL;Acc:B4DVZ5]"
ENSG00000261258,39968962,39979465,1,HG185_PATCH,FKBP10,"FK506 binding protein 10, 65 kDa [Source:HGNC Symbol;Acc:18169]"
ENSG00000260753,39981433,39992515,-1,HG185_PATCH,NT5C3B,"5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:28300]"
ENSG00000215405,20737094,20747114,-1,15,GOLGA6L6,golgin A6 family-like 6 [Source:HGNC Symbol;Acc:37225]
ENSG00000268343,21004687,21005367,1,15,AC012414.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0QZ11]
ENSG00000261631,39991937,40004636,1,HG185_PATCH,KLHL10,kelch-like family member 10 [Source:HGNC Symbol;Acc:18829]
ENSG00000230031,21040701,21071643,-1,15,POTEB2,"POTE ankyrin domain family, member B2 [Source:HGNC Symbol;Acc:48327]"
ENSG00000259896,40009797,40021683,-1,HG185_PATCH,KLHL11,kelch-like family member 11 [Source:HGNC Symbol;Acc:19008]
ENSG00000138593,49280673,49338760,-1,15,SECISBP2L,SECIS binding protein 2-like [Source:HGNC Symbol;Acc:28997]
ENSG00000268531,22011370,22012050,1,15,DKFZP547L112,
ENSG00000233917,22051853,22083227,-1,15,POTEB,"POTE ankyrin domain family, member B [Source:HGNC Symbol;Acc:33734]"
ENSG00000166157,10906201,11029719,-1,21,TPTE,transmembrane phosphatase with tensin homology [Source:HGNC Symbol;Acc:12023]
ENSG00000260245,40023160,40075239,-1,HG185_PATCH,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:115]
ENSG00000260703,40086887,40121903,1,HG185_PATCH,TTC25,tetratricopeptide repeat domain 25 [Source:HGNC Symbol;Acc:25280]
ENSG00000256715,14741931,14745386,-1,21,AL050302.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5GZX1]
ENSG00000166351,14982498,15013906,1,21,POTED,"POTE ankyrin domain family, member D [Source:HGNC Symbol;Acc:23822]"
ENSG00000260283,40122993,40131428,1,HG185_PATCH,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:2158]"
ENSG00000269011,15051621,15053459,-1,21,AL050303.1,"Uncharacterized protein; cDNA FLJ43689 fis, clone TBAES2003550  [Source:UniProtKB/TrEMBL;Acc:Q6ZUI3]"
ENSG00000168675,13217497,13652754,1,18,LDLRAD4,low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]
ENSG00000262684,40132691,40173905,-1,HG185_PATCH,DNAJC7,"DnaJ (Hsp40) homolog, subfamily C, member 7 [Source:HGNC Symbol;Acc:12392]"
ENSG00000188992,15481134,15583166,-1,21,LIPI,"lipase, member I [Source:HGNC Symbol;Acc:18821]"
ENSG00000185272,15588451,15600693,1,21,RBM11,RNA binding motif protein 11 [Source:HGNC Symbol;Acc:9897]
ENSG00000182974,22368478,22369561,1,15,OR4M2,"olfactory receptor, family 4, subfamily M, member 2 [Source:HGNC Symbol;Acc:15373]"
ENSG00000260770,40173272,40181893,1,HG185_PATCH,NKIRAS2,NFKB inhibitor interacting Ras-like 2 [Source:HGNC Symbol;Acc:17898]
ENSG00000183706,22382382,22383507,1,15,OR4N4,"olfactory receptor, family 4, subfamily N, member 4 [Source:HGNC Symbol;Acc:15375]"
ENSG00000269182,22456895,22460351,1,15,AC010760.1,
ENSG00000155304,15743436,15755805,-1,21,HSPA13,"heat shock protein 70kDa family, member 13 [Source:HGNC Symbol;Acc:11375]"
ENSG00000260320,40181828,40219330,-1,HG185_PATCH,ZNF385C,zinc finger protein 385C [Source:HGNC Symbol;Acc:33722]
ENSG00000197414,22736246,22746002,1,15,GOLGA6L1,golgin A6 family-like 1 [Source:HGNC Symbol;Acc:37444]
ENSG00000260178,40257656,40268985,-1,HG185_PATCH,DHX58,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:HGNC Symbol;Acc:29517]
ENSG00000166200,49398268,49447858,-1,15,COPS2,COP9 signalosome subunit 2 [Source:HGNC Symbol;Acc:30747]
ENSG00000155307,15857549,15955723,-1,21,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:10528]"
ENSG00000259958,40269360,40277610,-1,HG185_PATCH,KAT2A,K(lysine) acetyltransferase 2A [Source:HGNC Symbol;Acc:4201]
ENSG00000243440,15964251,16031142,-1,21,AF165138.7,Protein LOC388813  [Source:UniProtKB/TrEMBL;Acc:H7C1N6]
ENSG00000260325,40277683,40279604,1,HG185_PATCH,HSPB9,"heat shock protein, alpha-crystallin-related, B9 [Source:HGNC Symbol;Acc:30589]"
ENSG00000261378,40281228,40311269,-1,HG185_PATCH,RAB5C,"RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:9785]"
ENSG00000153575,22833395,22873892,1,15,TUBGCP5,"tubulin, gamma complex associated protein 5 [Source:HGNC Symbol;Acc:18600]"
ENSG00000180530,16333556,16437321,-1,21,NRIP1,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:8001]
ENSG00000137824,41028082,41048049,-1,15,RMDN3,regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:25550]
ENSG00000261371,62399863,62491136,-1,HG183_PATCH,PECAM1,platelet/endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:8823]
ENSG00000259458,62929371,62937490,-1,15,RP11-625H11.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H0YL51]
ENSG00000263304,62526397,62546003,1,HG183_PATCH,MILR1,mast cell immunoglobulin-like receptor 1 [Source:HGNC Symbol;Acc:27570]
ENSG00000137880,41056218,41059906,1,15,GCHFR,GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:4194]
ENSG00000262917,62555145,62574426,-1,HG183_PATCH,POLG2,"polymerase (DNA directed), gamma 2, accessory subunit [Source:HGNC Symbol;Acc:9180]"
ENSG00000104129,41060067,41099675,-1,15,DNAJC17,"DnaJ (Hsp40) homolog, subfamily C, member 17 [Source:HGNC Symbol;Acc:25556]"
ENSG00000177150,13663346,13726662,-1,18,FAM210A,"family with sequence similarity 210, member A [Source:HGNC Symbol;Acc:28346]"
ENSG00000155313,17102344,17252377,1,21,USP25,ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:12624]
ENSG00000263077,62576980,62585072,-1,HG183_PATCH,DDX5,DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]
ENSG00000101638,44259081,44339220,-1,18,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:17827]"
ENSG00000232560,18811208,18821503,1,21,C21orf37,chromosome 21 open reading frame 37 [Source:HGNC Symbol;Acc:1277]
ENSG00000263046,62584096,62615309,1,HG183_PATCH,CEP95,centrosomal protein 95kDa [Source:HGNC Symbol;Acc:25141]
ENSG00000154639,18884700,18965897,1,21,CXADR,coxsackie virus and adenovirus receptor [Source:HGNC Symbol;Acc:2559]
ENSG00000101654,13726659,13764557,1,18,RNMT,RNA (guanine-7-) methyltransferase [Source:HGNC Symbol;Acc:10075]
ENSG00000261074,139098179,139137687,-1,HG998_1_PATCH,QSOX2,quiescin Q6 sulfhydryl oxidase 2 [Source:HGNC Symbol;Acc:30249]
ENSG00000078043,44388353,44500123,-1,18,PIAS2,"protein inhibitor of activated STAT, 2 [Source:HGNC Symbol;Acc:17311]"
ENSG00000156958,49447853,49660066,1,15,GALK2,galactokinase 2 [Source:HGNC Symbol;Acc:4119]
ENSG00000260220,139173226,139198747,-1,HG998_1_PATCH,WI2-2610K16.1,"Homo sapiens uncharacterized MGC50722 (MGC50722), mRNA. [Source:RefSeq mRNA;Acc:NM_203348]"
ENSG00000154640,18965971,18985265,-1,21,BTG3,"BTG family, member 3 [Source:HGNC Symbol;Acc:1132]"
ENSG00000188277,41062159,41064643,1,15,C15orf62,chromosome 15 open reading frame 62 [Source:HGNC Symbol;Acc:34489]
ENSG00000249139,44165625,44176065,-1,20,EPPIN-WFDC6,EPPIN-WFDC6 readthrough [Source:HGNC Symbol;Acc:38825]
ENSG00000260587,50712672,51421329,1,HG186_PATCH,DOCK3,dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:2989]
ENSG00000259880,51422478,51426828,1,HG186_PATCH,MANF,mesencephalic astrocyte-derived neurotrophic factor [Source:HGNC Symbol;Acc:15461]
ENSG00000158901,44179792,44207965,-1,20,WFDC8,WAP four-disulfide core domain 8 [Source:HGNC Symbol;Acc:16163]
ENSG00000140416,63334831,63364114,1,15,TPM1,tropomyosin 1 (alpha) [Source:HGNC Symbol;Acc:12010]
ENSG00000259956,51428699,51435339,1,HG186_PATCH,RBM15B,RNA binding motif protein 15B [Source:HGNC Symbol;Acc:24303]
ENSG00000180205,44236578,44259907,-1,20,WFDC9,WAP four-disulfide core domain 9 [Source:HGNC Symbol;Acc:20380]
ENSG00000154642,19161284,19191703,-1,21,C21orf91,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:16459]
ENSG00000260383,145202919,145316830,1,HG243_PATCH,MROH1,maestro heat-like repeat family member 1 [Source:HGNC Symbol;Acc:26958]
ENSG00000140577,91073157,91188577,1,15,CRTC3,CREB regulated transcription coactivator 3 [Source:HGNC Symbol;Acc:26148]
ENSG00000261236,145317005,145346273,-1,HG243_PATCH,BOP1,block of proliferation 1 [Source:HGNC Symbol;Acc:15519]
ENSG00000166140,41099284,41106767,1,15,ZFYVE19,"zinc finger, FYVE domain containing 19 [Source:HGNC Symbol;Acc:20758]"
ENSG00000101138,54967427,54979518,1,20,CSTF1,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa [Source:HGNC Symbol;Acc:2483]"
ENSG00000154645,19273580,19639690,1,21,CHODL,chondrolectin [Source:HGNC Symbol;Acc:17807]
ENSG00000260623,51433298,51537425,-1,HG186_PATCH,VPRBP,Vpr (HIV-1) binding protein [Source:HGNC Symbol;Acc:30911]
ENSG00000260428,145321463,145323384,1,HG243_PATCH,SCXA,
ENSG00000180305,44258165,44259835,1,20,WFDC10A,WAP four-disulfide core domain 10A [Source:HGNC Symbol;Acc:16139]
ENSG00000068793,22892005,23006016,1,15,CYFIP1,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:13759]
ENSG00000180083,44277202,44298909,-1,20,WFDC11,WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:20478]
ENSG00000182931,44313292,44333658,-1,20,WFDC10B,WAP four-disulfide core domain 10B [Source:HGNC Symbol;Acc:20479]
ENSG00000154646,19641433,19858197,-1,21,TMPRSS15,"transmembrane protease, serine 15 [Source:HGNC Symbol;Acc:9490]"
ENSG00000168634,44330655,44337456,1,20,WFDC13,WAP four-disulfide core domain 13 [Source:HGNC Symbol;Acc:16131]
ENSG00000149651,44350990,44354469,1,20,SPINT4,"serine peptidase inhibitor, Kunitz type 4 [Source:HGNC Symbol;Acc:16130]"
ENSG00000261132,145346494,145369625,1,HG243_PATCH,HSF1,heat shock transcription factor 1 [Source:HGNC Symbol;Acc:5224]
ENSG00000261443,51579011,51701025,1,HG186_PATCH,RAD54L2,RAD54-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:29123]
ENSG00000101365,2639041,2644865,-1,20,IDH3B,isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:5385]
ENSG00000167216,44497455,44627658,1,18,KATNAL2,katanin p60 subunit A-like 2 [Source:HGNC Symbol;Acc:25387]
ENSG00000124116,44376583,44420571,-1,20,WFDC3,WAP four-disulfide core domain 3 [Source:HGNC Symbol;Acc:15957]
ENSG00000087589,54987168,55034396,1,20,CASS4,Cas scaffolding protein family member 4 [Source:HGNC Symbol;Acc:15878]
ENSG00000154654,22370633,22915650,1,21,NCAM2,neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:7657]
ENSG00000166143,41107650,41120907,-1,15,PPP1R14D,"protein phosphatase 1, regulatory (inhibitor) subunit 14D [Source:HGNC Symbol;Acc:14953]"
ENSG00000261698,145371194,145381813,-1,HG243_PATCH,DGAT1,diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:2843]
ENSG00000166262,49619159,49913128,-1,15,FAM227B,"family with sequence similarity 227, member B [Source:HGNC Symbol;Acc:26543]"
ENSG00000176136,13824154,13826861,1,18,MC5R,melanocortin 5 receptor [Source:HGNC Symbol;Acc:6933]
ENSG00000185231,13882043,13915706,-1,18,MC2R,melanocortin 2 receptor (adrenocorticotropic hormone) [Source:HGNC Symbol;Acc:6930]
ENSG00000103642,63413999,63434260,1,15,LACTB,"lactamase, beta [Source:HGNC Symbol;Acc:16468]"
ENSG00000197299,91260558,91358859,1,15,BLM,"Bloom syndrome, RecQ helicase-like [Source:HGNC Symbol;Acc:1058]"
ENSG00000154719,26957968,26979829,-1,21,MRPL39,mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:14027]
ENSG00000261678,145387965,145391184,-1,HG243_PATCH,SCRT1,scratch family zinc finger 1 [Source:HGNC Symbol;Acc:15950]
ENSG00000175322,14057456,14132489,-1,18,ZNF519,zinc finger protein 519 [Source:HGNC Symbol;Acc:30574]
ENSG00000101160,57570240,57582302,-1,20,CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:2547]
ENSG00000261587,145407122,145410512,-1,HG243_PATCH,TMEM249,Transmembrane protein 249  [Source:UniProtKB/TrEMBL;Acc:E9PKR6]
ENSG00000022277,55043647,55093943,1,20,RTFDC1,replication termination factor 2 domain containing 1 [Source:HGNC Symbol;Acc:15890]
ENSG00000166145,41136216,41150405,1,15,SPINT1,"serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:11246]"
ENSG00000088881,2673524,2740753,1,20,EBF4,early B-cell factor 4 [Source:HGNC Symbol;Acc:29278]
ENSG00000101162,57594309,57601709,1,20,TUBB1,"tubulin, beta 1 class VI [Source:HGNC Symbol;Acc:16257]"
ENSG00000140285,49715293,49780972,1,15,FGF7,fibroblast growth factor 7 [Source:HGNC Symbol;Acc:3685]
ENSG00000183206,14507338,14543584,-1,18,POTEC,"POTE ankyrin domain family, member C [Source:HGNC Symbol;Acc:33894]"
ENSG00000101457,44420576,44440066,1,20,DNTTIP1,"deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:HGNC Symbol;Acc:16160]"
ENSG00000266996,44542731,44544607,-1,18,TCEB3CL2,transcription elongation factor B polypeptide 3C-like 2 [Source:HGNC Symbol;Acc:33511]
ENSG00000154721,27011584,27089874,1,21,JAM2,junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:14686]
ENSG00000261042,145409038,145416175,1,HG243_PATCH,SLC52A2,"solute carrier family 52 (riboflavin transporter), member 2 [Source:HGNC Symbol;Acc:30224]"
ENSG00000124172,57600522,57607437,-1,20,ATP5E,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]"
ENSG00000234298,44548658,44550534,-1,18,TCEB3CL,transcription elongation factor B polypeptide 3C-like [Source:HGNC Symbol;Acc:31007]
ENSG00000185088,63418071,63450220,-1,15,RPS27L,ribosomal protein S27-like [Source:HGNC Symbol;Acc:18476]
ENSG00000183791,44554573,44556449,-1,18,TCEB3C,transcription elongation factor B polypeptide 3C (elongin A3) [Source:HGNC Symbol;Acc:24617]
ENSG00000206181,44558943,44561988,-1,18,TCEB3B,transcription elongation factor B polypeptide 3B (elongin A2) [Source:HGNC Symbol;Acc:30771]
ENSG00000170122,116237,118417,-1,9,FOXD4,forkhead box D4 [Source:HGNC Symbol;Acc:3805]
ENSG00000166128,63481668,63559981,1,15,RAB8B,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:30273]"
ENSG00000175063,44441215,44445596,1,20,UBE2C,ubiquitin-conjugating enzyme E2C [Source:HGNC Symbol;Acc:15937]
ENSG00000124091,55066548,55100981,-1,20,GCNT7,glucosaminyl (N-acetyl) transferase family member 7 [Source:HGNC Symbol;Acc:16099]
ENSG00000101166,57608200,57617964,-1,20,SLMO2,slowmo homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15892]
ENSG00000261539,145410334,145414279,-1,HG243_PATCH,FBXL6,F-box and leucine-rich repeat protein 6 [Source:HGNC Symbol;Acc:13603]
ENSG00000167220,44633774,44676891,-1,18,HDHD2,haloacid dehalogenase-like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:25364]
ENSG00000154723,27088815,27107984,-1,21,ATP5J,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6 [Source:HGNC Symbol;Acc:847]"
ENSG00000171448,125677845,125693779,-1,9,ZBTB26,zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:23383]
ENSG00000124103,55092243,55101198,1,20,FAM209A,"family with sequence similarity 209, member A [Source:HGNC Symbol;Acc:16100]"
ENSG00000104047,49913177,49937333,1,15,DTWD1,DTW domain containing 1 [Source:HGNC Symbol;Acc:30926]
ENSG00000088882,2774715,2781283,-1,20,CPXM1,"carboxypeptidase X (M14 family), member 1 [Source:HGNC Symbol;Acc:15771]"
ENSG00000213714,55108302,55111576,1,20,FAM209B,"family with sequence similarity 209, member B [Source:HGNC Symbol;Acc:16101]"
ENSG00000104140,41164412,41166487,-1,15,RHOV,ras homolog family member V [Source:HGNC Symbol;Acc:18313]
ENSG00000140564,91411822,91426688,1,15,FURIN,furin (paired basic amino acid cleaving enzyme) [Source:HGNC Symbol;Acc:8568]
ENSG00000140157,23004684,23034427,-1,15,NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2 [Source:HGNC Symbol;Acc:17044]
ENSG00000267228,44661027,44702652,-1,18,IER3IP1,Immediate early response 3-interacting protein 1  [Source:UniProtKB/TrEMBL;Acc:R4GN61]
ENSG00000261694,145428004,145448145,1,HG243_PATCH,ADCK5,aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:21738]
ENSG00000154727,27106881,27144771,1,21,GABPA,"GA binding protein transcription factor, alpha subunit 60kDa [Source:HGNC Symbol;Acc:4071]"
ENSG00000087510,55204358,55214339,1,20,TFAP2C,transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:HGNC Symbol;Acc:11744]
ENSG00000124203,57766075,57834168,1,20,ZNF831,zinc finger protein 831 [Source:HGNC Symbol;Acc:16167]
ENSG00000101470,44451853,44462384,-1,20,TNNC2,troponin C type 2 (fast) [Source:HGNC Symbol;Acc:11944]
ENSG00000104142,41186628,41196173,1,15,VPS18,vacuolar protein sorting 18 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:15972]
ENSG00000138613,63568217,63601325,1,15,APH1B,APH1B gamma secretase subunit [Source:HGNC Symbol;Acc:24080]
ENSG00000011454,125703112,125867145,1,9,RABGAP1,RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:17155]
ENSG00000134049,44681413,44702745,-1,18,IER3IP1,immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:18550]
ENSG00000124205,57875482,57901047,1,20,EDN3,endothelin 3 [Source:HGNC Symbol;Acc:3178]
ENSG00000128917,41221538,41231237,1,15,DLL4,delta-like 4 (Drosophila) [Source:HGNC Symbol;Acc:2910]
ENSG00000198326,2795614,2800930,1,20,TMEM239,transmembrane protein 239 [Source:HGNC Symbol;Acc:40044]
ENSG00000241690,2795614,2798712,1,20,TMEM239,"CDNA FLJ26142 fis, clone TST04526; Transmembrane protein 239; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q6ZPB1]"
ENSG00000180777,14728271,14852737,1,18,ANKRD30B,ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:24165]
ENSG00000101144,55743804,55841685,-1,20,BMP7,bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:1074]
ENSG00000215474,44746293,44775554,-1,18,SKOR2,SKI family transcriptional corepressor 2 [Source:HGNC Symbol;Acc:32695]
