Ensembl_ID,Motifs
ENSG00000000003,NF-kappaB-1|Pitx3-1|RXR::LXR-1|STAT-2
ENSG00000000005,Dlx2-1|Hoxc9-1|Lhx3-1|Nkx6-1-1|Otx2-1|Phox2a-1|Pou2f1-1|Pou3f2-1|Srf-1
ENSG00000000419,Ehf-1
ENSG00000000457,ATF-2|CREB-2|Jundm2-1|NF-Y-1|YY1-1
ENSG00000000460,
ENSG00000000938,E2A-1|Elk1-1|NF-kappaB-4|Sp1-1|Sp4-1
ENSG00000000971,
ENSG00000001036,Ehf-1|GABP-2
ENSG00000001084,AP-1-1|Maf-1|NF-E2-1|Nrf-2-2|TCF11::MafG-1
ENSG00000001167,Arid3a-2|E2F-1|Elk1-1|GABP-2|Klf7-2|KROX-1|NF-Y-3|Nkx2-1|Nrf-1-4|Sp1-4|Sp4-2|YY1-4
ENSG00000001460,Hoxb4-1|Klf7-1
ENSG00000001461,Klf7-1
ENSG00000001497,AP-2-1|Elk1-1|Ets-1|GABP-3|LRH1-1|NF-Y-2|TEF-1-1|Tel2-1
ENSG00000001561,Klf7-1|NF-Y-2|Nrf-1-1|Sp1-1
ENSG00000001617,CTCF-1|Esr1-1|GABP-2|INSM1-1|Myf-2|NR4A2-1|Octamer-1|SF1-1|Tel2-1
ENSG00000001626,Dlx2-1|Hoxb4-2|Mrg1::Hoxa9-1|NF-I-1|Pax7-1|Pou3f2-1
ENSG00000001629,CACD-1|Egr-1|Ehf-1|Hsf-1|Mef2-1|RP58-1|Sp1-1|Sp4-1
ENSG00000001630,
ENSG00000001631,CACD-1|Egr-1|Ehf-1|Hsf-1|Mef2-1|RP58-1|Sp1-1|Sp4-1
ENSG00000002016,Arid3a-1|ATF-1|CREB-1|E2F-1|Egr-3|Klf7-1|RREB-1-1|Sp1-6|Sp4-1
ENSG00000002330,E2A-1|HNF4-1|Klf7-1|KROX-1|Nrf-1-1|Rfx-2|Sp1-2|Sp4-1
ENSG00000002549,GABP-1|Klf7-2|Myc-2|PPARG-2|Sp1-5|Sp4-2
ENSG00000002586,
ENSG00000002587,CTCF-1|E2A-2|Ets-1|Myf-1|RORalpha1-1|Sp1-1|Sp4-1|Tcf-1
ENSG00000002726,
ENSG00000002745,AP-4-1|GATA-1|znf143-1
ENSG00000002746,CACD-1|CREB-1|E2A-1|Egr-1|Foxd1-1|KROX-2|Mrg-1|Pitx3-1|Pou6f1-1|RREB-1-1|Sp1-4|Sp4-1|TEF-1-1
ENSG00000002822,
ENSG00000002834,Ascl2-1|CTCF-1|Egr-4|Elk1-1|GABP-1|GCNF-1|HNF4-4|Klf7-2|KROX-2|NR4A2-1|Nrf-2-1|PPARG-4|RAR-1|RREB-1-1|RXR::LXR-2|Sp1-5|Sp4-3
ENSG00000002919,Nrf-1-1
ENSG00000002933,Ascl2-1|HEN1-1
