"","Ehf","Irf_11","Irf_7","Maf_2","NF-kappaB_2","NF-kappaB_5","NF-Y_1","NF-Y_2","NF-Y_3","Nrf-2_2","Nrf-2_3","TCF11::MafG"
"1","ENSG00000000419","ENSG00000000005","ENSG00000008086","ENSG00000000938","ENSG00000000938","ENSG00000000938","ENSG00000001036","ENSG00000002919","ENSG00000000457","ENSG00000000938","ENSG00000003096","ENSG00000003137"
"2","ENSG00000001036","ENSG00000003096","ENSG00000010704","ENSG00000001460","ENSG00000004059","ENSG00000003096","ENSG00000001167","ENSG00000004777","ENSG00000001167","ENSG00000001626","ENSG00000003137","ENSG00000007168"
"3","ENSG00000001631","ENSG00000003137","ENSG00000011304","ENSG00000003096","ENSG00000004660","ENSG00000004139","ENSG00000001561","ENSG00000005955","ENSG00000001497","ENSG00000002834","ENSG00000003249","ENSG00000008197"
"4","ENSG00000003056","ENSG00000003402","ENSG00000018408","ENSG00000003147","ENSG00000005844","ENSG00000004848","ENSG00000002919","ENSG00000006007","ENSG00000001561","ENSG00000003096","ENSG00000004660","ENSG00000008394"
"5","ENSG00000005022","ENSG00000005059","ENSG00000030419","ENSG00000004776","ENSG00000005955","ENSG00000004866","ENSG00000003056","ENSG00000006062","ENSG00000002919","ENSG00000003137","ENSG00000005001","ENSG00000013619"
"6","ENSG00000005059","ENSG00000005073","ENSG00000033627","ENSG00000007944","ENSG00000008118","ENSG00000005073","ENSG00000004487","ENSG00000006432","ENSG00000003056","ENSG00000003249","ENSG00000005893","ENSG00000022355"
"7","ENSG00000006194","ENSG00000005108","ENSG00000035499","ENSG00000008294","ENSG00000008441","ENSG00000007171","ENSG00000004700","ENSG00000006625","ENSG00000003249","ENSG00000004660","ENSG00000006125","ENSG00000023909"
"8","ENSG00000006715","ENSG00000005810","ENSG00000036672","ENSG00000008394","ENSG00000009790","ENSG00000008323","ENSG00000005810","ENSG00000007168","ENSG00000003436","ENSG00000005108","ENSG00000007168","ENSG00000029725"
"9","ENSG00000007255","ENSG00000006468","ENSG00000039068","ENSG00000008838","ENSG00000009954","ENSG00000009790","ENSG00000006007","ENSG00000007372","ENSG00000004487","ENSG00000005961","ENSG00000007923","ENSG00000033327"
"10","ENSG00000007384","ENSG00000006611","ENSG00000055332","ENSG00000010404","ENSG00000019582","ENSG00000009954","ENSG00000006283","ENSG00000008083","ENSG00000004700","ENSG00000007168","ENSG00000008394","ENSG00000033627"
"11","ENSG00000008018","ENSG00000006715","ENSG00000057252","ENSG00000010671","ENSG00000023445","ENSG00000012232","ENSG00000006625","ENSG00000008294","ENSG00000004777","ENSG00000008394","ENSG00000008441","ENSG00000038295"
"12","ENSG00000008130","ENSG00000008118","ENSG00000064115","ENSG00000011376","ENSG00000034152","ENSG00000012660","ENSG00000006744","ENSG00000008300","ENSG00000004848","ENSG00000008838","ENSG00000008838","ENSG00000042781"
