Ensembl_ID,Motifs
ENSG00000215405,
ENSG00000268343,
ENSG00000230031,
ENSG00000138593,Hlx1-1|Lhx3_2-1|Ascl2-1|Tal1-1|Sp1_3-1|Bsx-1|Nrf-2_3-1|Mef2_4-1|Hoxa9-1
ENSG00000268531,
ENSG00000233917,
ENSG00000166157,CDP_3-1|Pou2f1_9-2
ENSG00000256715,
ENSG00000166351,
ENSG00000269011,
ENSG00000168675,Egr_3-1|Sp4-1|ATF_2-1|E2F_8-1|Hoxb4-1|CHX10-1
ENSG00000188992,Cdx2_2-1|Pou3f2_3-1|Pbx-1_3-1|Osf2_2-1|HNF6-1|Mef2_4-1
ENSG00000185272,Sp4-1|Klf7-1|Sp1_3-1
ENSG00000182974,
ENSG00000183706,
ENSG00000269182,
ENSG00000155304,RREB-1_1-1|Sp1_3-3|Klf7-1|Sp4-2|KROX-1
ENSG00000197414,
ENSG00000166200,CTCF-1|Rfx_2-1|Rfx_5-1
ENSG00000155307,Nkx6-1_3-1|NR4A2-1|Pou2f1_8-1|Pou6f1_2-1|Pou4f3-1
ENSG00000243440,HNF4_6-1|Err-alpha-1|Pou6f1_2-1|Pou2f1_1-1|Pou3f2_3-1|Foxk1-1|Foxo_2-1|Foxd3-1|Foxj2_1-1|Foxc1_1-1|Mef2_1-1|Dmbx1-1|Pou4f3-1
ENSG00000153575,
ENSG00000180530,Tcf_4-1|Esr1_3-2|Esr1_1-2|Esr2-2|Nrf-2_3-1|Hsf_3-1|Dlx2-1|NRSF_1-1|Barx1-1|Rfx_4-1|Pou2f1_9-2|Pou2f1_1-1|Pou2f1_7-1|Octamer-1
ENSG00000137824,Lmo2-complex_1-1|Jundm2-1|ATF_2-1|ATF_4-1|ATF3-2|CREB_5-1|ATF_3-1|Sp1_3-3|Klf7-1|Pou2f1_9-1
ENSG00000259458,RREB-1_1-1|Esr2-2|Esr1_3-1|Tal1beta-1|Pou2f1_9-1
ENSG00000137880,NF-Y_3-2|HEN1_1-1|Lmo2-complex_1-1|NF-I_2-3|TLX1::NFIC-4|Sp4-2|GABP_3-1|GABP_1-1|Elk1_2-1|Elk1_3-1|STAT_5-1|STAT_9-1|HNF4_5-1
ENSG00000104129,Nrf-1_2-1|Tal1-1|AP-4_3-1
ENSG00000177150,Elk1_2-1|GABP_1-1|Tel2-1|CREB_5-1|E4F1-1
ENSG00000155313,Hsf_3-1|STAT_12-1|E2F_8-1|Klf7-1|Sp1_3-1|NRSF_2-1|Err-alpha-1|RORalpha1_1-1|SF1-1|Mef2_1-1|Mef2_5-1
ENSG00000101638,NF-E2-1|AP-1_1-1|AP-1_2-1|Sp4-1|Hoxa13-1|Sp1_3-1|Isl2-1|Foxa_2-1|E2A_1-1|AP-4_3-1
ENSG00000232560,NF-kappaB_3-1|Gfi1_1-1|RREB-1_1-1|Obox6-1
ENSG00000154639,Mef2_5-1|Rfx_5-1|Rfx_2-2|Ehf-1|GABP_2-1|Elk1_2-1|GABP_1-1|Tel2-1|KROX-2|Sp1_3-1|Egr_3-1|Sp4-1|Ets_1-1|Pou2f1_8-1
ENSG00000101654,Elk1_2-1|GABP_1-1|Tel2-1|CREB_5-1|E4F1-1
ENSG00000078043,NF-E2-1
ENSG00000156958,CTCF-1|Rfx_2-1|Rfx_5-1
ENSG00000154640,Bach1-1|Bach2-1|AP-1_3-1|Jundm2-2|ATF_2-1|ATF_3-2|ATF_4-1|ATF3-2|CREB_5-2|CREB_1-1|Zic_3-1|GABP_3-1|Nrf-2_1-1|Sp1_3-2|Klf7-1
ENSG00000188277,GABP_2-1|PU.1_3-1|Ets_4-1|Ets_1-1|Tel2-1|Sp1_3-1|Nrf-2_3-1|AP-1_2-1|Olf-1_1-1|HEN1_1-2|Dlx2-1|Ebox-1|AP-1_1-1|HNF4_8-1|TLX1::NFIC-1
ENSG00000249139,Tcf_2-1|Tcf_1-1|STAT_9-1|NR3C_5-1|NR3C_3-2
ENSG00000158901,
ENSG00000140416,PPARG_3-1|Srf_1-1|Srf_5-1|RREB-1_1-3|Zfp161_3-1|CACD_2-1
ENSG00000180205,OTX-1
ENSG00000154642,STAT_12-1|Zfp161_3-1|Egr_3-1
ENSG00000140577,LRH1-1|SF1-1
ENSG00000166140,Nrf-1_2-1|Tal1-1|AP-4_3-1
ENSG00000101138,NF-Y_3-1|NF-Y_1-1|Nrf-1_2-1|YY1_5-2|CDP_3-1
ENSG00000154645,CTCF-1
ENSG00000180305,
ENSG00000068793,Sp1_3-2
ENSG00000180083,
ENSG00000182931,
ENSG00000154646,Tcf_2-1
ENSG00000168634,
ENSG00000149651,NF-E2-1
ENSG00000101365,Hsf_1-2|SF1-1|GABP_2-1|GABP_1-1|Elk1_2-1
ENSG00000167216,Stra13_1-1|Klf7-1|Sp1_3-1|NF-E2-1
ENSG00000124116,Rfx_5-1|AP-1_3-1|Hoxa3_2-1|Hoxc9-1|Jundm2-2|ATF_2-1|ATF_3-1|ATF3-1|CREB_5-2|ATF_4-1
ENSG00000087589,GCNF-1|Osf2_2-1
ENSG00000154654,RREB-1_1-1|CTCF-1|Hoxb8-1|Hoxa9-1
ENSG00000166143,HNF4_5-1|PPARG_3-2|RXR::LXR-1|HNF4_8-2|HNF4_6-1|RAR-1
ENSG00000166262,Rfx_5-1|STAT_5-1|Bach2-1
ENSG00000176136,CTCF-1
ENSG00000185231,Arid3a_2-1|Pdx1_2-1|Zic_1-1|Zic_2-1|Zic_3-1|CTCF-1
ENSG00000103642,Hoxd8-1|Sp1_3-2|Sp4-2
ENSG00000197299,Klf7-1|Sp1_3-2|Sp4-1|Myf_3-1|NF-Y_3-1|Elk1_2-1
ENSG00000154719,Gfi1_1-1|CTCF-3
ENSG00000175322,
ENSG00000101160,Sp1_3-1|HNF4_5-1|HNF4_8-1|GABP_1-1
ENSG00000022277,Elk1_2-1|Elk1_3-1|GABP_3-1|GABP_1-2|Tel2-2|Ehf-1|GABP_2-1
ENSG00000166145,Hsf_1-1|STAT_9-1|Egr_4-1|Klf7-1|Sp1_3-2|AP-1_1-1|Ets_2-1
ENSG00000088881,RXR_1-1|Esr1_3-1|NF-kappaB_5-1|NF-kappaB_2-1|Sp1_3-2|RBP-Jkappa_2-1|Klf7-1
ENSG00000101162,NR4A2-1|Myf_4-1|Nkx6-1_1-1
ENSG00000140285,Pou6f1_2-1|CTCF-1|Lmo2-complex_1-1|Hoxb9-1|Hmx_2-1|Nkx6-1_1-1|Tal1-1|HNF6-2|Elk1_1-1|FXR_2-1|FXR_1-1
ENSG00000183206,
ENSG00000101457,Rfx_5-1|AP-1_3-1|Hoxa3_2-1|Hoxc9-1|Jundm2-2|ATF_2-1|ATF_3-1|ATF3-1|CREB_5-2|ATF_4-1
ENSG00000266996,
ENSG00000154721,Rfx_2-1|Ascl2-1|Eomes-1|HEB-1|Tal1-1|AP-4_3-1|YY1_5-1
ENSG00000124172,Ets_1-1|YY1_2-1|YY1_4-1|CTCF-1|Nrf-2_1-1|Sp1_3-2|NF-Y_1-1|Klf7-1|NF-Y_3-1
ENSG00000234298,
ENSG00000185088,GABP_2-1|GABP_3-1|GABP_1-1|Ehf-1
ENSG00000183791,
ENSG00000206181,Foxa_1-1|Foxj2_1-1|Foxa_4-1|Irf_11-1|Octamer-1|Otx2-1|OTX-1
ENSG00000170122,
ENSG00000166128,PPARG_3-1|Obox6-1|Gsc-1|NF-Y_3-1|Sp1_3-5|Klf7-2|Sp4-1|KROX-1|Egr_3-1|HNF4_8-1|Hoxa7_2-1|Hoxb4-1|Nobox_2-1|Lhx3_1-1
ENSG00000175063,NF-Y_3-1|NF-Y_2-1|NF-Y_1-1
ENSG00000124091,Jundm2-1|CREB_5-1
ENSG00000101166,GABP_1-1|Tel2-1|NR4A2-1|SF1-1|Nrf-1_2-2|AP-1_1-1|NR3C_5-1|Esr2-1|NR3C_3-1|Foxd1_1-1
ENSG00000167220,Nrf-1_2-1|GABP_1-1|Elk1_2-1|Elk1_3-1
ENSG00000154723,SF1-1|Elk1_3-1|Egr_2-1|Sp4-1|Sp1_3-1|KROX-1|Egr_3-1|NERF1a-1|Ets_4-1|Ets_2-1|Elf1-1|PU.1_3-1|Ehf-1|Spdef-1|YY1_2-1|YY1_5-1|YY1_3-1|YY1_4-1|Nrf-1_2-1|PPARG_3-1|GCNF-1
ENSG00000171448,Sp4-2|Klf7-2|Sp1_3-3|WT1-1|MAZR-1|Elk1_3-1|GABP_3-1|Nrf-2_1-1|NRSF_2-1|NF-Y_3-1|KROX-1
ENSG00000124103,
ENSG00000104047,Rfx_5-1|STAT_5-1|Bach2-1
ENSG00000088882,Sp1_3-1|NERF1a-1|Ets_2-1
ENSG00000213714,Jundm2-1
ENSG00000104140,Klf7-3|Sp1_3-2|CTCF-1
ENSG00000140564,Ascl2-2|Sp1_3-1|GATA_14-1|PPARG_3-1|NERF1a-1|Ets_2-1|Elk1_1-1|Ets_4-1|Tel2-1
ENSG00000140157,Elf3-1|Hoxa13-1|Nrf-1_2-1|Klf7-2|Sp1_3-1
ENSG00000267228,Sp4-1
ENSG00000154727,SF1-1|Elk1_3-1|Egr_2-1|Sp4-1|Sp1_3-1|KROX-1|Egr_3-1|NERF1a-1|Ets_4-1|Ets_2-1|Elf1-1|PU.1_3-1|Ehf-1|Spdef-1|YY1_2-1|YY1_5-1|YY1_3-1|YY1_4-1|Nrf-1_2-1|PPARG_3-1|GCNF-1
ENSG00000087510,Irf_7-1|Ascl2-1|Sp4-1|Sp1_3-2|Pou3f2_3-1|Esr1_3-1|Esr2-1|Myf_3-1|KROX-1|Elf1-1|CTCF-1
ENSG00000124203,
ENSG00000101470,Ets_4-1|RXR_1-1|Sp1_3-4|Klf7-2|Sp4-1|RORalpha1_2-1|RORalpha1_3-1
ENSG00000104142,CTCF-2|Klf7-1|Spdef-1|Ehf-1|Elf3-1|GABP_1-1|Lmo2-complex_1-1
ENSG00000138613,Sp1_3-4|Klf7-1|Sp4-1
ENSG00000011454,RORalpha1_2-1|Arid3a_2-3|Nrf-1_2-3|Sp4-2|Klf7-1|Sp1_3-2|Stra13_1-1|KROX-1|Egr_3-1|Tal1-1|Pbx-1_2-1|Pbx-1_3-1|Pbx-1_1-1|HNF6-1
ENSG00000134049,Sp4-1
ENSG00000124205,Bach2-1|Zfp161_3-3|AP-4_3-1|Klf7-1|Sp1_3-2|HNF4_6-1|Tcf_1-1|Sp4-1|Zic_2-1|E2F_5-1|Obox3-1|Pitx3-1
ENSG00000128917,E2A_1-1|Sp1_3-7|Tal1beta-1|KROX-2|Ascl2-1|AP-4_3-1|HEN1_1-1|HEN1_2-2|AhR::Arnt_2-1|Sp4-1|AREB6_3-1|Egr_3-1|Egr_1-1|Arid3a_2-2|Lhx3_2-1|OTX-1|CTCF-1|GABP_3-1|Mef2_1-1|Mef2_4-1|RBP-Jkappa_2-1|RORalpha1_1-1|Elf1-1
ENSG00000198326,AP-4_1-1|Ascl2-1|Tal1-1|AP-4_3-1|Esr1_3-2|Esr1_1-1|Esr2-2|Klf7-1|Ets_4-1|HNF4_5-1|E2A_5-1|Lmo2-complex_1-1|AREB6_3-1
ENSG00000241690,AP-4_1-1|Ascl2-1|Tal1-1|AP-4_3-1|Esr1_3-2|Esr1_1-1|Esr2-2|Klf7-1|Ets_4-1|HNF4_5-1|E2A_5-1|Lmo2-complex_1-1|AREB6_3-1
ENSG00000180777,
ENSG00000101144,Myf_3-1|E2A_1-1|E2A_3-1|Ebox-1|Klf7-1|Sp1_3-1|KROX-1|PPARG_1-1
ENSG00000215474,Pbx-1_2-1|HNF6-1|Hoxa5_3-1|Hoxd8-1|Nkx6-1_1-1
ENSG00000258713,AP-4_1-1|Ascl2-1|Tal1-1|AP-4_3-1|Esr1_3-2|Esr1_1-1|Esr2-2|Klf7-1|Ets_4-1|HNF4_5-1|E2A_5-1|Lmo2-complex_1-1|AREB6_3-1
