MHC1OR2,Process_classification,Gene_name_kegg,Ensembl_name,KO_definition/Ensembl_definition,Link,Ensembl_accession,Neefjes_accession,Subdivision types,Location of action
2AND1,Transcription_factors,CIITA/C2TA/CIITAIV/MHC2TA/NLRA,CIITA,(RefSeq) class II major histocompatibility complex transactivator,http://www.kegg.jp/dbget-bin/www_bget?K08060 ,ENSG00000179583,NM_000246,MHC I and II,Transcription factor
2,Endosome,IFI30,IFI30,"(RefSeq) IFI30, lysosomal thiol reductase",http://www.kegg.jp/dbget-bin/www_bget?hsa:10437 ,ENSG00000216490,,MHC II,Endosome
2,Endoplasmatic Reticulum,CD74,CD74,(RefSeq) CD74 molecule,http://www.kegg.jp/dbget-bin/www_bget?hsa:972 ,ENSG00000019582,,MHC II,Endoplasmatic Reticulum
2,Endoplasmatic Reticulum/Endosome,LGMN,LGMN,legumain [EC:3.4.22.34],http://www.kegg.jp/dbget-bin/www_bget?hsa:5641 ,ENSG00000100600,,MHC II,Endoplasmatic Reticulum/Endosome
2,Endoplasmatic Reticulum/Endosome,CTSB,CTSB,(RefSeq) cathepsin B,http://www.kegg.jp/dbget-bin/www_bget?hsa:1508,ENSG00000164733,,MHC II,Endoplasmatic Reticulum/Endosome
2,Endoplasmatic Reticulum,CTSL,CTSL,(RefSeq) cathepsin L,http://www.kegg.jp/dbget-bin/www_bget?hsa:1514,ENSG00000135047,,MHC II,Endoplasmatic Reticulum
2,Endoplasmatic Reticulum,CTSS,CTSS,(RefSeq) cathepsin S,http://www.kegg.jp/dbget-bin/www_bget?hsa:1520,ENSG00000163131,,MHC II,Endoplasmatic Reticulum
2,MHC,HLA-DMA,HLA-DMA,"(RefSeq) major histocompatibility complex, class II, DM alpha",,ENSG00000204257,,MHC II,MHC II subunit
2,MHC,HLA-DMB,HLA-DMB,"(RefSeq) major histocompatibility complex, class II, DM beta",,ENSG00000242574,,MHC II,MHC II subunit
2,MHC,HLA-DOA,HLA-DOA,"(RefSeq) major histocompatibility complex, class II, DO alpha",http://www.kegg.jp/dbget-bin/www_bget?hsa:3111 ,ENSG00000204252,,MHC II,MHC II subunit
2,MHC,HLA-DOB,HLA-DOB,"(RefSeq) major histocompatibility complex, class II, DO beta",http://www.kegg.jp/dbget-bin/www_bget?hsa:3112,ENSG00000241106,,MHC II,MHC II subunit
2,MHC,HLA-DPA1,HLA-DPA1,"(RefSeq) major histocompatibility complex, class II, DP alpha 1",http://www.kegg.jp/dbget-bin/www_bget?hsa:3113 ,ENSG00000231389,,MHC II,MHC II subunit
