EnsemblID,TFBS,Count
ENSG00000215405,NONE,-1
ENSG00000268343,NONE,-1
ENSG00000230031,NONE,-1
ENSG00000138593,Hlx1,1
ENSG00000138593,Lhx3_2,1
ENSG00000138593,Ascl2,1
ENSG00000138593,Tal1,1
ENSG00000138593,Sp1_3,1
ENSG00000138593,Bsx,1
ENSG00000138593,Nrf-2_3,1
ENSG00000138593,Mef2_4,1
ENSG00000138593,Hoxa9,1
ENSG00000268531,NONE,-1
ENSG00000233917,NONE,-1
ENSG00000166157,CDP_3,1
ENSG00000166157,Pou2f1_9,2
ENSG00000256715,NONE,-1
ENSG00000166351,NONE,-1
ENSG00000269011,NONE,-1
ENSG00000168675,Egr_3,1
ENSG00000168675,Sp4,1
ENSG00000168675,ATF_2,1
ENSG00000168675,E2F_8,1
ENSG00000168675,Hoxb4,1
ENSG00000168675,CHX10,1
ENSG00000188992,Cdx2_2,1
ENSG00000188992,Pou3f2_3,1
ENSG00000188992,Pbx-1_3,1
ENSG00000188992,Osf2_2,1
ENSG00000188992,HNF6,1
ENSG00000188992,Mef2_4,1
ENSG00000185272,Sp4,1
ENSG00000185272,Klf7,1
ENSG00000185272,Sp1_3,1
ENSG00000182974,NONE,-1
ENSG00000183706,NONE,-1
ENSG00000269182,NONE,-1
ENSG00000155304,RREB-1_1,1
ENSG00000155304,Sp1_3,3
ENSG00000155304,Klf7,1
ENSG00000155304,Sp4,2
ENSG00000155304,KROX,1
ENSG00000197414,NONE,-1
ENSG00000166200,CTCF,1
ENSG00000166200,Rfx_2,1
ENSG00000166200,Rfx_5,1
ENSG00000155307,Nkx6-1_3,1
ENSG00000155307,NR4A2,1
ENSG00000155307,Pou2f1_8,1
ENSG00000155307,Pou6f1_2,1
ENSG00000155307,Pou4f3,1
ENSG00000243440,HNF4_6,1
ENSG00000243440,Err-alpha,1
ENSG00000243440,Pou6f1_2,1
ENSG00000243440,Pou2f1_1,1
ENSG00000243440,Pou3f2_3,1
ENSG00000243440,Foxk1,1
ENSG00000243440,Foxo_2,1
ENSG00000243440,Foxd3,1
ENSG00000243440,Foxj2_1,1
ENSG00000243440,Foxc1_1,1
ENSG00000243440,Mef2_1,1
ENSG00000243440,Dmbx1,1
ENSG00000243440,Pou4f3,1
ENSG00000153575,NONE,-1
ENSG00000180530,Tcf_4,1
ENSG00000180530,Esr1_3,2
ENSG00000180530,Esr1_1,2
ENSG00000180530,Esr2,2
ENSG00000180530,Nrf-2_3,1
ENSG00000180530,Hsf_3,1
ENSG00000180530,Dlx2,1
ENSG00000180530,NRSF_1,1
ENSG00000180530,Barx1,1
ENSG00000180530,Rfx_4,1
ENSG00000180530,Pou2f1_9,2
ENSG00000180530,Pou2f1_1,1
ENSG00000180530,Pou2f1_7,1
ENSG00000180530,Octamer,1
ENSG00000137824,Lmo2-complex_1,1
ENSG00000137824,Jundm2,1
ENSG00000137824,ATF_2,1
ENSG00000137824,ATF_4,1
ENSG00000137824,ATF3,2
ENSG00000137824,CREB_5,1
ENSG00000137824,ATF_3,1
ENSG00000137824,Sp1_3,3
ENSG00000137824,Klf7,1
ENSG00000137824,Pou2f1_9,1
ENSG00000259458,RREB-1_1,1
ENSG00000259458,Esr2,2
ENSG00000259458,Esr1_3,1
ENSG00000259458,Tal1beta,1
