Gene stable ID	Gene name	Gene description
ENSG00000126456	IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]
ENSG00000117461	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
ENSG00000107643	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]
ENSG00000077150	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]
ENSG00000271503	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]
ENSG00000100906	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
ENSG00000228321	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000174125	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]
ENSG00000101017	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]
ENSG00000050748	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
ENSG00000117020	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSG00000171608	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]
ENSG00000277632	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]
ENSG00000170458	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]
ENSG00000142208	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
ENSG00000128604	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]
ENSG00000233816	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]
ENSG00000164342	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]
ENSG00000275302	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]
ENSG00000228849	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000136869	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]
ENSG00000113302	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]
ENSG00000135341	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]
ENSG00000137275	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]
ENSG00000138755	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]
ENSG00000131323	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]
ENSG00000108984	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]
ENSG00000204490	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000078902	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]
ENSG00000206439	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000223952	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000232810	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000034152	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
ENSG00000277943	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]
ENSG00000170345	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]
ENSG00000278567	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]
ENSG00000230108	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000174130	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]
ENSG00000276561	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]
ENSG00000263528	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
ENSG00000168811	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]
ENSG00000168040	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]
ENSG00000173039	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]
ENSG00000147885	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]
ENSG00000121594	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]
ENSG00000243414	TICAM2	toll like receptor adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]
ENSG00000105221	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]
ENSG00000213341	CHUK	conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:HGNC:1974]
ENSG00000239732	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]
ENSG00000064012	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]
ENSG00000187554	TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]
ENSG00000107968	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]
ENSG00000150455	TIRAP	TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]
ENSG00000104365	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]
ENSG00000137080	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]
ENSG00000175104	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]
ENSG00000228978	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
