EnsemblId,TranscriptionFactorBindingSites
ENSG00000000003,MafB
ENSG00000000003,NF-kappaB
ENSG00000000003,Pitx3
ENSG00000000003,RXR::LXR
ENSG00000000003,STAT
ENSG00000000003,STAT
ENSG00000000005,Dlx2
ENSG00000000005,Dlx3
ENSG00000000005,Ets
ENSG00000000005,HNF1
ENSG00000000005,Hoxc9
ENSG00000000005,Irf
ENSG00000000005,Lhx3
ENSG00000000005,Mef2
ENSG00000000005,Mef2
ENSG00000000005,Mef2
ENSG00000000005,Nkx6-1
ENSG00000000005,Otx2
ENSG00000000005,Phox2a
ENSG00000000005,Pou2f1
ENSG00000000005,Pou3f2
ENSG00000000005,Srf
ENSG00000000419,Arid3a
ENSG00000000419,Ehf
ENSG00000000419,Foxa
ENSG00000000457,ATF
ENSG00000000457,CREB
ENSG00000000457,Jundm2
ENSG00000000457,NF-Y
ENSG00000000457,RORalpha1
ENSG00000000457,RORalpha1
ENSG00000000457,YY1
ENSG00000000460,Elk1
ENSG00000000460,Elk1
ENSG00000000460,GABP
ENSG00000000460,GABP
ENSG00000000938,CTCF
ENSG00000000938,E2A
ENSG00000000938,Elk1
ENSG00000000938,FEV
ENSG00000000938,Klf7
ENSG00000000938,MIF-1
ENSG00000000938,Maf
ENSG00000000938,Mef2
ENSG00000000938,NF-kappaB
ENSG00000000938,NF-kappaB
ENSG00000000938,NF-kappaB
ENSG00000000938,Nanog
ENSG00000000938,Nrf-2
ENSG00000000938,RREB-1
ENSG00000000938,Rfx
ENSG00000000938,Rfx
ENSG00000000938,SF1
ENSG00000000938,Sp1
ENSG00000000938,Sp4
ENSG00000001036,Ehf
ENSG00000001036,GABP
ENSG00000001036,GABP
ENSG00000001036,NF-Y
ENSG00000001036,NR3C
ENSG00000001084,OTX
ENSG00000001084,Sp4
ENSG00000001167,Arid3a
ENSG00000001167,E2F
ENSG00000001167,Elk1
ENSG00000001167,GABP
ENSG00000001167,GABP
ENSG00000001167,KROX
ENSG00000001167,Klf7
ENSG00000001167,NF-Y
ENSG00000001167,NF-Y
ENSG00000001167,Nkx2
ENSG00000001167,Nrf-1
ENSG00000001167,Sp1
ENSG00000001167,Sp4
ENSG00000001167,YY1
ENSG00000001167,YY1
ENSG00000001167,YY1
ENSG00000001460,Bach1
ENSG00000001460,CTCF
ENSG00000001460,Foxa
ENSG00000001460,Hoxb4
ENSG00000001460,Klf7
ENSG00000001460,Maf
ENSG00000001460,Mrg
ENSG00000001460,NR4A2
ENSG00000001460,PPARG
ENSG00000001460,PPAR
ENSG00000001460,RREB-1
ENSG00000001461,Hsf
ENSG00000001461,Klf7
ENSG00000001497,AP-2
ENSG00000001497,Elk1
ENSG00000001497,Ets
ENSG00000001497,GABP
ENSG00000001497,GABP
ENSG00000001497,GABP
ENSG00000001497,LRH1
ENSG00000001497,NF-Y
ENSG00000001497,TEF-1
ENSG00000001497,Tel2
ENSG00000001561,Klf7
ENSG00000001561,NF-Y
ENSG00000001561,NF-Y
ENSG00000001561,Nrf-1
ENSG00000001561,Sp1
ENSG00000001626,Arnt
ENSG00000001626,Barx1
ENSG00000001626,Bsx
ENSG00000001626,CHX10
ENSG00000001626,Dlx2
ENSG00000001626,Dmbx1
ENSG00000001626,Gsc
ENSG00000001626,HNF6
ENSG00000001626,Hoxa3
ENSG00000001626,Hoxb3
ENSG00000001626,Hoxb4
ENSG00000001626,Hoxc9
ENSG00000001626,Hoxd8
ENSG00000001626,Lhx3
ENSG00000001626,MafB
ENSG00000001626,Mrg1::Hoxa9
ENSG00000001626,NF-I
ENSG00000001626,Nrf-2
ENSG00000001626,Otx2
ENSG00000001626,Pax7
ENSG00000001626,Phox2a
ENSG00000001626,Pou3f2
ENSG00000001626,Pou4f3
ENSG00000001626,Prrx2
ENSG00000001626,Tcf
ENSG00000001626,Vax2
ENSG00000001630,Arid3a
ENSG00000001630,CDP
ENSG00000001630,Klf7
ENSG00000001630,Mef2
ENSG00000001630,Sp1
ENSG00000001631,CACD
ENSG00000001631,Egr
ENSG00000001631,Ehf
ENSG00000001631,Hoxb13
ENSG00000001631,Hsf
ENSG00000001631,Mef2
ENSG00000001631,Mef2
ENSG00000001631,Nkx2
ENSG00000001631,Nkx6-1
ENSG00000001631,Nkx6-1
ENSG00000001631,Pou4f3
ENSG00000001631,RP58
ENSG00000001631,RXR
ENSG00000001631,Sp1
ENSG00000001631,Sp4
ENSG00000002016,CTCF
ENSG00000002016,Sp4
ENSG00000002330,E2A
ENSG00000002330,HNF4
ENSG00000002330,KROX
ENSG00000002330,Klf7
ENSG00000002330,Nrf-1
ENSG00000002330,Rfx
ENSG00000002330,Sp1
ENSG00000002330,Sp4
ENSG00000002549,GABP
ENSG00000002549,Klf7
ENSG00000002549,Myc
ENSG00000002549,Myc
ENSG00000002549,PPARG
ENSG00000002549,PPARG
ENSG00000002549,Sp1
ENSG00000002549,Sp4
ENSG00000002587,CTCF
ENSG00000002587,E2A
ENSG00000002587,E2A
ENSG00000002587,Ets
ENSG00000002587,Myf
ENSG00000002587,RORalpha1
ENSG00000002587,Sp1
ENSG00000002587,Sp4
ENSG00000002587,Tcf
ENSG00000002746,Bsx
ENSG00000002746,CACD
ENSG00000002746,CREB
ENSG00000002746,CTCF
ENSG00000002746,Dlx2
ENSG00000002746,E2A
ENSG00000002746,Egr
ENSG00000002746,Foxd1
ENSG00000002746,HNF6
ENSG00000002746,Hoxd8
ENSG00000002746,Hsf
ENSG00000002746,KROX
ENSG00000002746,LXR
ENSG00000002746,Mrg
ENSG00000002746,Mrg
ENSG00000002746,Nkx6-1
ENSG00000002746,OTX
ENSG00000002746,Pitx3
ENSG00000002746,Pou2f1
ENSG00000002746,Pou2f1
ENSG00000002746,Pou6f1
ENSG00000002746,RREB-1
ENSG00000002746,Rfx
ENSG00000002746,STAT
ENSG00000002746,STAT
ENSG00000002746,Sp1
ENSG00000002746,Sp4
ENSG00000002746,TEF-1
ENSG00000002822,ATF
ENSG00000002822,Ascl2
ENSG00000002822,Barhl1
ENSG00000002822,CDP
ENSG00000002822,CDP
ENSG00000002822,CHX10
ENSG00000002822,CTCF
ENSG00000002822,Dlx3
ENSG00000002822,E2A
ENSG00000002822,Elk1
ENSG00000002822,Err-alpha
ENSG00000002822,Gbx1
ENSG00000002822,Gbx2
ENSG00000002822,HEB
ENSG00000002822,Hoxc9
ENSG00000002822,Hoxd8
ENSG00000002822,LRH1
ENSG00000002822,Lhx3
ENSG00000002822,Lhx4
ENSG00000002822,MafB
ENSG00000002822,Myf
ENSG00000002822,Nkx2
ENSG00000002822,Nkx6-1
ENSG00000002822,Octamer
ENSG00000002822,Pou2f1
ENSG00000002822,Pou2f1
ENSG00000002822,Pou2f1
ENSG00000002822,Pou3f4
ENSG00000002822,Pou4f3
ENSG00000002822,RORalpha1
ENSG00000002822,RP58
ENSG00000002822,RXR
ENSG00000002822,SF1
ENSG00000002822,Sp4
ENSG00000002822,Tal1beta
ENSG00000002822,Tcf
ENSG00000002834,AP-1
ENSG00000002834,AP-1
ENSG00000002834,Ascl2
ENSG00000002834,Bach1
ENSG00000002834,CTCF
ENSG00000002834,Egr
ENSG00000002834,Egr
ENSG00000002834,Elk1
ENSG00000002834,Elk1
ENSG00000002834,Esr1
ENSG00000002834,GABP
ENSG00000002834,GCNF
ENSG00000002834,HNF4
ENSG00000002834,HNF4
ENSG00000002834,HNF4
ENSG00000002834,KROX
ENSG00000002834,Klf7
ENSG00000002834,MIF-1
ENSG00000002834,NERF1a
ENSG00000002834,NR4A2
ENSG00000002834,Nrf-2
ENSG00000002834,PPARG
ENSG00000002834,PPARG
ENSG00000002834,RAR
ENSG00000002834,RORalpha1
ENSG00000002834,RORalpha1
ENSG00000002834,RREB-1
ENSG00000002834,RXR::LXR
ENSG00000002834,Sp1
ENSG00000002834,Sp4
ENSG00000002919,Egr
ENSG00000002919,Egr
ENSG00000002919,Egr
ENSG00000002919,KROX
ENSG00000002919,Klf7
ENSG00000002919,NF-Y
ENSG00000002919,NF-Y
ENSG00000002919,NF-Y
ENSG00000002919,Sp1
ENSG00000002919,Sp4
ENSG00000003056,Ehf
ENSG00000003056,Elk1
ENSG00000003056,Elk1
ENSG00000003056,Ets
ENSG00000003056,GABP
ENSG00000003056,NF-Y
ENSG00000003056,NF-Y
ENSG00000003056,PU.1
ENSG00000003096,Barx2
ENSG00000003096,CHX10
ENSG00000003096,CTCF
ENSG00000003096,Dbx2
ENSG00000003096,E2A
ENSG00000003096,En-1
ENSG00000003096,Err-alpha
ENSG00000003096,Foxc1
ENSG00000003096,Gbx1
ENSG00000003096,Gbx2
ENSG00000003096,Gsc
ENSG00000003096,HNF4
ENSG00000003096,HNF6
ENSG00000003096,Hlx1
ENSG00000003096,Hlxb9
ENSG00000003096,Hoxa3
ENSG00000003096,Hoxa5
ENSG00000003096,Hoxa7
ENSG00000003096,Hoxb3
ENSG00000003096,Hoxb4
ENSG00000003096,Hoxb6
ENSG00000003096,Hoxb7
ENSG00000003096,Hoxb8
ENSG00000003096,Hoxc6
ENSG00000003096,Hoxc9
ENSG00000003096,Hoxd8
ENSG00000003096,Irf
ENSG00000003096,Isx
ENSG00000003096,Lhx3
ENSG00000003096,Lhx8
ENSG00000003096,MafB
ENSG00000003096,Maf
ENSG00000003096,Mef2
ENSG00000003096,Mef2
ENSG00000003096,Msx-1
ENSG00000003096,NF-kappaB
ENSG00000003096,NF-kappaB
ENSG00000003096,NF-kappaB
ENSG00000003096,NF-kappaB
ENSG00000003096,NR3C
ENSG00000003096,NRSF
ENSG00000003096,Nkx1-1
ENSG00000003096,Nkx6-1
ENSG00000003096,Nkx6-1
ENSG00000003096,Nrf-2
ENSG00000003096,Nrf-2
ENSG00000003096,OTX
ENSG00000003096,Octamer
ENSG00000003096,PPARG
ENSG00000003096,Pax-6
ENSG00000003096,Pbx-1
ENSG00000003096,Pbx-1
ENSG00000003096,Pbx-1
ENSG00000003096,Pbx
ENSG00000003096,Pou2f1
ENSG00000003096,Pou3f2
ENSG00000003096,Pou3f4
ENSG00000003096,Pou4f3
ENSG00000003096,Pou5f1
ENSG00000003096,Prrx1
ENSG00000003096,RAR
ENSG00000003096,Rfx
ENSG00000003096,STAT
ENSG00000003096,Sox
ENSG00000003096,Sox
ENSG00000003096,Srf
ENSG00000003096,Tal1beta
ENSG00000003096,Tgif1
ENSG00000003096,YY1
ENSG00000003137,AREB6
ENSG00000003137,Crx
ENSG00000003137,Esr1
ENSG00000003137,Esr2
ENSG00000003137,Ets
ENSG00000003137,FXR
ENSG00000003137,Foxa
ENSG00000003137,Foxc1
ENSG00000003137,GABP
ENSG00000003137,GLI
ENSG00000003137,HEN1
ENSG00000003137,Hoxb6
ENSG00000003137,INSM1
ENSG00000003137,Irf
ENSG00000003137,KROX
ENSG00000003137,Klf7
ENSG00000003137,LXR
ENSG00000003137,LXR
ENSG00000003137,LXR
ENSG00000003137,Mef2
ENSG00000003137,Mef2
ENSG00000003137,Myf
ENSG00000003137,NF-kappaB
ENSG00000003137,Nkx2
