EnsemblID,TFBS,Count
ENSG00000000003,NF-kappaB,1
ENSG00000000003,STAT,2
ENSG00000000005,Lhx3,1
ENSG00000000005,Nkx6-1,1
ENSG00000000005,Pou2f1,1
ENSG00000000005,Pou3f2,1
ENSG00000000005,Srf,1
ENSG00000000457,ATF,2
ENSG00000000457,CREB,2
ENSG00000000457,NF-Y,1
ENSG00000000457,YY1,1
ENSG00000000938,E2A,1
ENSG00000000938,Elk1,1
ENSG00000000938,NF-kappaB,4
ENSG00000000938,Sp1,1
ENSG00000001036,GABP,2
ENSG00000001084,AP-1,1
ENSG00000001084,Maf,1
ENSG00000001084,Nrf-2,2
ENSG00000001167,Arid3a,2
ENSG00000001167,E2F,1
ENSG00000001167,Elk1,1
ENSG00000001167,GABP,2
ENSG00000001167,NF-Y,3
ENSG00000001167,Nkx2,1
ENSG00000001167,Nrf-1,4
ENSG00000001167,Sp1,4
ENSG00000001167,YY1,4
ENSG00000001497,AP-2,1
ENSG00000001497,Elk1,1
ENSG00000001497,Ets,1
ENSG00000001497,GABP,3
ENSG00000001497,NF-Y,2
ENSG00000001497,TEF-1,1
ENSG00000001561,NF-Y,2
ENSG00000001561,Nrf-1,1
ENSG00000001561,Sp1,1
ENSG00000001617,Esr1,1
ENSG00000001617,GABP,2
ENSG00000001617,Myf,2
ENSG00000001626,Mrg1::Hoxa9,1
ENSG00000001626,NF-I,1
ENSG00000001626,Pou3f2,1
ENSG00000001629,CACD,1
ENSG00000001629,Egr,1
ENSG00000001629,Hsf,1
ENSG00000001629,Mef2,1
ENSG00000001629,Sp1,1
ENSG00000001631,CACD,1
ENSG00000001631,Egr,1
ENSG00000001631,Hsf,1
ENSG00000001631,Mef2,1
ENSG00000001631,Sp1,1
ENSG00000002016,Arid3a,1
ENSG00000002016,ATF,1
ENSG00000002016,CREB,1
ENSG00000002016,E2F,1
ENSG00000002016,Egr,3
ENSG00000002016,RREB-1,1
ENSG00000002016,Sp1,6
ENSG00000002330,E2A,1
ENSG00000002330,HNF4,1
ENSG00000002330,Nrf-1,1
ENSG00000002330,Rfx,2
ENSG00000002330,Sp1,2
ENSG00000002549,GABP,1
ENSG00000002549,Myc,2
ENSG00000002549,PPARG,2
ENSG00000002549,Sp1,5
ENSG00000002587,E2A,2
ENSG00000002587,Ets,1
ENSG00000002587,Myf,1
ENSG00000002587,RORalpha1,1
ENSG00000002587,Sp1,1
ENSG00000002587,Tcf,1
ENSG00000002745,AP-4,1
ENSG00000002745,GATA,1
ENSG00000002746,CACD,1
ENSG00000002746,CREB,1
ENSG00000002746,E2A,1
ENSG00000002746,Egr,1
ENSG00000002746,Foxd1,1
ENSG00000002746,Mrg,1
ENSG00000002746,Pou6f1,1
ENSG00000002746,RREB-1,1
ENSG00000002746,Sp1,4
ENSG00000002746,TEF-1,1
ENSG00000002834,Egr,4
ENSG00000002834,Elk1,1
ENSG00000002834,GABP,1
ENSG00000002834,HNF4,4
ENSG00000002834,Nrf-2,1
ENSG00000002834,PPARG,4
ENSG00000002834,RREB-1,1
ENSG00000002834,Sp1,5
ENSG00000002919,Nrf-1,1
ENSG00000002933,HEN1,1
ENSG00000003056,Elk1,3
ENSG00000003056,Ets,1
ENSG00000003056,GABP,1
ENSG00000003056,NF-Y,2
ENSG00000003056,PU.1,1
ENSG00000003096,MafB,1
ENSG00000003096,Rfx,1
ENSG00000003137,AREB6,1
ENSG00000003137,Esr1,1
ENSG00000003137,Foxa,1
ENSG00000003137,Foxc1,1
ENSG00000003137,HEN1,1
ENSG00000003137,Nkx2,1
ENSG00000003137,Nkx6-1,1
ENSG00000003137,Sp1,2
ENSG00000003137,Zfp161,1
ENSG00000003147,AP-1,1
ENSG00000003147,E2A,1
ENSG00000003147,Maf,1
ENSG00000003147,Mrg1::Hoxa9,1
ENSG00000003147,Myf,1
ENSG00000003147,Olf-1,1
ENSG00000003147,Sp1,2
ENSG00000003147,Zfp161,1
ENSG00000003249,Mef2,1
ENSG00000003249,NF-Y,1
ENSG00000003249,Sp1,2
ENSG00000003393,ATF,4
