Ensembl.Gene.ID	Requested ID	Matched ID(s)	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	PSR.total	M7vM8_F61__alternative_model_kappa	M7vM8_F61__alternative_model_omega	M7vM8_F61__null_model_lnL	M7vM8_F61__alternative_model_lnL	M7vM8_F61__LRT_statistic	M7vM8_F61__LRT_P_value_full	M7vM8_F61__LRT_P_value_log10	M7vM8_F61__LRT_P_value_bonf	M7vM8_F61__LRT_P_value_bh	M7vM8_F3X4__alternative_model_kappa	M7vM8_F3X4__alternative_model_omega	M7vM8_F3X4__null_model_lnL	M7vM8_F3X4__alternative_model_lnL	M7vM8_F3X4__LRT_statistic	M7vM8_F3X4__LRT_P_value_full	M7vM8_F3X4__LRT_P_value_log10	M7vM8_F3X4__LRT_P_value_bonf	M7vM8_F3X4__LRT_P_value_bh	M1avM2a_F61__alternative_model_kappa	M1avM2a_F61__alternative_model_omega	M1avM2a_F61__null_model_lnL	M1avM2a_F61__alternative_model_lnL	M1avM2a_F61__LRT_statistic	M1avM2a_F61__LRT_P_value_full	M1avM2a_F61__LRT_P_value_log10	M1avM2a_F61__LRT_P_value_bonf	M1avM2a_F61__LRT_P_value_bh	M1avM2a_F3X4__alternative_model_kappa	M1avM2a_F3X4__alternative_model_omega	M1avM2a_F3X4__null_model_lnL	M1avM2a_F3X4__alternative_model_lnL	M1avM2a_F3X4__LRT_statistic	M1avM2a_F3X4__LRT_P_value_full	M1avM2a_F3X4__LRT_P_value_log10	M1avM2a_F3X4__LRT_P_value_bonf	M1avM2a_F3X4__LRT_P_value_bh
ENSG00000000971	ENSG00000125877	ENSG00000125877	ENST00000367429	ENSP00000356399	3075	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	13	2.66691	9.92909	-10241.247675	-10183.882606	114.730138	0	-Inf	0	0	2.88094	9.24709	-10331.634302	-10276.160041	110.948522	0	-Inf	0	0	2.6596	9.73989	-10238.539159	-10183.820785	109.436748	0	-Inf	0	0	2.88169	9.26797	-10330.022569	-10276.159413	107.726312	0	-Inf	0	0
ENSG00000003400	ENSG00000179873	ENSG00000179873	ENST00000286186	ENSP00000286186	843	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]	6	3.91953	7.54362	-3638.08968	-3606.654631	62.870098	0	-Inf	0	0	4.01743	6.87271	-3684.212693	-3655.138839	58.147708	0	-Inf	0	0	3.92137	7.71292	-3637.601541	-3606.609289	61.984504	0	-Inf	0	0	4.02095	7.05558	-3683.679583	-3655.108879	57.141408	0	-Inf	0	0
ENSG00000008438	ENSG00000100918	ENSG00000100918	ENST00000008938	ENSP00000008938	8993	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	2	3.5166	7.68117	-1565.995219	-1556.89051	18.209418	0.000111141	-3.9541256999	1	0.0005392307	3.41668	9.44556	-1608.266984	-1598.554545	19.424878	0.000060526	-4.2180580265	0.671596496	0.0003107804	3.51687	7.95593	-1565.364065	-1556.864177	16.999776	0.000203491	-3.691454794	1	0.0009563474	3.41548	9.35393	-1607.793683	-1598.550894	18.485578	0.000096807	-4.0140932382	1	0.0004979928
ENSG00000009709	ENSG00000119608	ENSG00000119608	ENST00000375375	ENSP00000364524	5081	PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]	2	6.57295	9.56636	-2815.276729	-2807.718353	15.116752	0.000521722	-3.2825608495	1	0.0022351457	7.34071	9.77642	-2871.471207	-2863.696865	15.548684	0.000420384	-3.3763538218	1	0.0018733256	6.5376	10.78054	-2814.161252	-2807.851359	12.619786	0.001818228	-2.7403516586	1	0.0071214465	7.32447	10.94435	-2870.479403	-2863.908656	13.141494	0.001400751	-2.8536390588	1	0.0058060266
ENSG00000010610	ENSG00000160051	ENSG00000160051	ENST00000011653	ENSP00000011653	920	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	2	3.24635	4.5927	-3337.818137	-3321.310916	33.014442	0.000000068	-7.1674910873	0.000754528	5.31732205778717E-07	3.24518	5.11632	-3394.812552	-3384.312361	21.000382	0.000027531	-4.5601780136	0.305483976	0.0001499158	3.24411	4.39273	-3333.775418	-3321.298881	24.953074	0.000003815	-5.4185054577	0.04233124	2.40792036405006E-05	3.27678	5.07095	-3394.807476	-3384.314926	20.9851	0.000027742	-4.5568622326	0.307825232	0.0001556245
ENSG00000012124	ENSG00000187135	ENSG00000187135	ENST00000085219	ENSP00000085219	933	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	5	3.58322	5.78243	-6573.065483	-6538.53309	69.064786	0	-Inf	0	0	3.53486	5.54457	-6650.037435	-6618.518364	63.038142	0	-Inf	0	0	3.58934	6.0644	-6572.976215	-6538.430898	69.090634	0	-Inf	0	0	3.53837	5.72821	-6650.001664	-6618.476298	63.050732	0	-Inf	0	0
ENSG00000012223	ENSG00000173702	ENSG00000173702	ENST00000231751	ENSP00000231751	4057	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	5	3.35024	2.47795	-5214.440842	-5199.339025	30.203634	0.000000276	-6.5590909179	0.003062496	1.98992592592593E-06	3.48881	2.43893	-5297.012648	-5282.451988	29.12132	0.000000475	-6.3233063904	0.0052706	3.36994884910486E-06	3.35011	2.46519	-5214.419874	-5199.338921	30.161906	0.000000282	-6.5497508917	0.003129072	2.07773705179283E-06	3.48925	2.4911	-5296.92196	-5282.450298	28.943324	0.000000519	-6.2848326422	0.005758824	3.79369169960474E-06
ENSG00000016490	ENSG00000172845	ENSG00000172845	ENST00000234701	ENSP00000234701	1179	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]	1	4.15861	11.21435	-5606.609356	-5597.514855	18.189002	0.000112282	-3.9496898602	1	0.0005445284	4.1172	11.3897	-5675.426875	-5667.115166	16.623418	0.000245624	-3.6097292004	1	0.0011322991	4.15387	11.20321	-5606.50144	-5597.502819	17.997242	0.00012358	-3.9080518091	1	0.0006043383	4.11539	11.44577	-5675.335223	-5667.108512	16.453422	0.000267414	-3.5728158597	1	0.001269673
ENSG00000016602	ENSG00000198673	ENSG00000198673	ENST00000370563	ENSP00000359594	22802	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]	4	3.51393	19.61036	-6150.656126	-6123.423146	54.46596	0	-Inf	0	0	3.55086	20.10757	-6218.905419	-6189.717662	58.375514	0	-Inf	0	0	3.47863	18.87802	-6149.503907	-6123.127862	52.75209	0	-Inf	0	0	3.54741	20.02894	-6218.453219	-6189.714212	57.478014	0	-Inf	0	0
ENSG00000019169	ENSG00000153498	ENSG00000153498	ENST00000327097	ENSP00000318916	8685	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	1	4.17094	4.46716	-2589.684637	-2582.83948	13.690314	0.001064599	-2.9728139461	1	0.0042738026	4.13359	3.49573	-2634.008256	-2628.177295	11.661922	0.002935255	-2.5323541635	1	0.0110727859	4.17113	4.52815	-2589.658019	-2582.837479	13.64108	0.001091132	-2.9621227073	1	0.0044908014	4.13349	3.56108	-2633.943563	-2628.175394	11.536338	0.003125475	-2.5050839706	1	0.012083718
