MHC1OR2,Process_classification,Gene_name_kegg,Ensembl_name,KO_definition/Ensembl_definition,Link,Ensembl_accession,Neefjes_accession,Subdivision types,Location of action
1,Endoplasmatic Reticulum,HSPA5/BIP/GRP78/HEL-S-89n/MIF2,HSPA5,(RefSeq) heat shock protein family A (Hsp70) member 5,http://www.genome.jp/dbget-bin/www_bget?K09490,ENSG00000044574,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,CANX,CANX,calnexin,http://www.kegg.jp/dbget-bin/www_bget?K08054 ,ENSG00000127022,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,PDIA3/GRP58,PDIA3,"protein disulfide isomerase family A, member 3 [EC:5.3.4.1]",http://www.kegg.jp/dbget-bin/www_bget?K08056 ,ENSG00000167004,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,CALR,CALR,calreticulin,http://www.kegg.jp/dbget-bin/www_bget?K08057 ,ENSG00000179218,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,B2M,B2M,beta-2-microglobulin,http://www.kegg.jp/dbget-bin/www_bget?K08055 ,ENSG00000166710,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,TAPBP,TAPBP,TAP binding protein (tapasin),http://www.kegg.jp/dbget-bin/www_bget?K08058 ,ENSG00000231925,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,NONE,TAPBPL,NONE,NONE,ENSG00000139192,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,ABCB2/TAP1,TAP1,"ATP-binding cassette, subfamily B (MDR/TAP), member 2",http://www.kegg.jp/dbget-bin/www_bget?hsa:6890 ,ENSG00000168394,,MHC I,Endoplasmatic Reticulum
1,Endoplasmatic Reticulum,ABCB3/TAP2,TAP2,"ATP-binding cassette, subfamily B (MDR/TAP), member 3",http://www.kegg.jp/dbget-bin/www_bget?hsa:6891 ,ENSG00000204267,,MHC I,Endoplasmatic Reticulum
1,Immunoproteasome,PSMA1,PSMA1,20S proteasome subunit alpha 6 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02725 ,ENSG00000129084,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA2,PSMA2,20S proteasome subunit alpha 2 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02726 ,ENSG00000106588,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA3,PSMA3,20S proteasome subunit alpha 7 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02727 ,ENSG00000100567,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA4,PSMA4,20S proteasome subunit alpha 3 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02728 ,ENSG00000041357,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA5,PSMA5,20S proteasome subunit alpha 5 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02729 ,ENSG00000143106,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA6,PSMA6,20S proteasome subunit alpha 1 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02730 ,ENSG00000100902,,Immunoproteasome,Proteasome
1,Immunoproteasome,PSMA7,PSMA7,20S proteasome subunit alpha 4 [EC:3.4.25.1],http://www.kegg.jp/dbget-bin/www_bget?K02731 ,ENSG00000101182,,Immunoproteasome,Proteasome
