Ensembl_Id,Domains
ENSG00000000003,PF00335
ENSG00000000005,PF04089
ENSG00000000419,PF00535
ENSG00000000457,PF00069
ENSG00000000460,PF14868
ENSG00000000938,PF00017|PF00018|PF07714
ENSG00000000971,PF00084
ENSG00000001036,PF01120|PF16757
ENSG00000001084,PF03074
ENSG00000001167,PF02045
ENSG00000001460,PF07004
ENSG00000001461,PF05653
ENSG00000001497,PF04031
ENSG00000001561,PF01663
ENSG00000001617,PF01403
ENSG00000001626,PF00005|PF00664|PF14396
ENSG00000001629,PF00023|PF00097|PF01485|PF12796
ENSG00000001630,PF00067
ENSG00000001631,PF00373|PF13857|PF16705
ENSG00000002016,PF04098
ENSG00000002330,PF10514
ENSG00000002549,PF00883|PF02789
ENSG00000002586,PF12301
ENSG00000002587,PF00685
ENSG00000002726,PF01179|PF02727|PF02728
ENSG00000002745,PF00110
ENSG00000002746,PF00168|PF00397|PF00632|PF16562
ENSG00000002822,PF05557
ENSG00000002834,PF00412|PF00880|PF14604
ENSG00000002919,PF00787
ENSG00000002933,PF04103
ENSG00000003056,PF02157
ENSG00000003096,PF00651|PF01344|PF07707
ENSG00000003137,PF00067
ENSG00000003147,PF04629|PF06456
ENSG00000003249,PF04440
ENSG00000003393,PF00415|PF00621|PF02204|PF02493|PF13540
ENSG00000003400,PF00656|PF01335
ENSG00000003402,PF00656|PF01335
ENSG00000003436,PF00014
ENSG00000003509,PF02636
ENSG00000003756,PF00076|PF00641|PF01585
ENSG00000003987,PF02893|PF06602
ENSG00000003989,PF13520|PF13906
ENSG00000004059,PF00025
ENSG00000004139,PF07647|PF13676
ENSG00000004142,PF04379|PF08755
ENSG00000004399,PF01403|PF01437|PF01833|PF08337
ENSG00000004455,PF00406|PF05191
ENSG00000004468,PF02267
ENSG00000004478,PF00254|PF00515|PF07719
ENSG00000004487,PF01593|PF04433
ENSG00000004534,PF01585
ENSG00000004660,PF00069
ENSG00000004700,PF00270|PF00271|PF16124
ENSG00000004766,PF10474|PF10475
ENSG00000004776,PF00011|PF00525
ENSG00000004777,PF00620|PF14604
ENSG00000004779,PF00550
ENSG00000004799,PF02518|PF10436
ENSG00000004809,PF00083
ENSG00000004838,PF01753
ENSG00000004846,PF00005|PF00664
ENSG00000004848,PF00046|PF03826
ENSG00000004864,PF00153
ENSG00000004866,PF04184
ENSG00000004897,PF00515|PF12895|PF13181
ENSG00000004939,PF00955|PF07565
ENSG00000004948,PF00002|PF02793
ENSG00000004961,PF01265
ENSG00000004975,PF00595|PF00610|PF00778|PF02377|PF12316
ENSG00000005001,PF00089
ENSG00000005007,PF04851|PF09416|PF13086|PF13087
ENSG00000005020,PF00018|PF00169
ENSG00000005022,PF00153
ENSG00000005059,PF04678
ENSG00000005073,PF00046|PF12045
ENSG00000005075,PF13656
ENSG00000005100,PF00270|PF00271|PF04408|PF07717
ENSG00000005102,PF00046
ENSG00000005108,PF00090
ENSG00000005156,PF00645|PF01068|PF04675|PF04679|PF16759
ENSG00000005175,PF00515|PF13176|PF13181|PF13877
ENSG00000005187,PF00501|PF13193
ENSG00000005189,PF00076|PF00929
ENSG00000005194,PF05093|PF08241
ENSG00000005206,PF02225|PF04258
ENSG00000005238,PF13889|PF13915
ENSG00000005243,PF01217
ENSG00000005249,PF00027|PF02197
ENSG00000005302,PF05712|PF11717
ENSG00000005339,PF00439|PF00569|PF02135|PF02172|PF06001|PF08214|PF09030
ENSG00000005379,PF07653|PF14604
ENSG00000005381,PF03098
ENSG00000005421,PF01731
ENSG00000005436,PF07842
ENSG00000005448,
ENSG00000005469,PF00755
ENSG00000005471,PF00005|PF00664
ENSG00000005483,PF00628|PF00856
ENSG00000005486,PF01694
ENSG00000005513,PF00505|PF12444
ENSG00000005700,PF00415|PF00651|PF12796
ENSG00000005801,PF00096|PF01352|PF13912
ENSG00000005810,PF00415|PF00630|PF03256|PF08005|PF08239|PF13540|PF13639
ENSG00000005812,PF00646|PF12937
ENSG00000005844,PF00092|PF00357|PF01839|PF08441
ENSG00000005882,PF02518|PF10436
ENSG00000005884,PF01839|PF08441
ENSG00000005889,PF00096|PF04704|PF13894|PF13909
ENSG00000005893,PF01299
ENSG00000005961,PF00357|PF01839|PF08441
ENSG00000005981,PF07525|PF12796|PF13637
ENSG00000006007,PF03009
ENSG00000006015,PF14966
ENSG00000006016,PF00041|PF09067
ENSG00000006025,PF01237|PF15409
ENSG00000006042,PF13324
ENSG00000006047,PF00313
ENSG00000006059,PF00038
ENSG00000006062,PF00069
ENSG00000006071,PF00005|PF00664
ENSG00000006116,PF00822
ENSG00000006118,PF15705|PF15706|PF16070
ENSG00000006125,PF01602|PF02883|PF09066
ENSG00000006128,
ENSG00000006194,PF00096|PF01352|PF02023|PF13465
ENSG00000006210,PF00048
ENSG00000006282,PF03190|PF07221
ENSG00000006283,PF00520
ENSG00000006327,PF12191
ENSG00000006377,PF00046
ENSG00000006432,PF00069|PF07714|PF14604
ENSG00000006451,PF00071
ENSG00000006453,PF08397|PF14604
ENSG00000006459,PF00628|PF02373
ENSG00000006468,PF00178|PF04621
ENSG00000006530,PF00781
ENSG00000006534,PF00171
ENSG00000006555,PF13181
ENSG00000006576,PF12129
ENSG00000006606,PF00048
ENSG00000006607,PF00169|PF00373|PF00621|PF08736|PF09379|PF09380
ENSG00000006611,PF00595
ENSG00000006625,PF13772
ENSG00000006634,PF07535
ENSG00000006638,PF00001
ENSG00000006652,PF04836|PF05004
ENSG00000006659,PF00337
ENSG00000006695,PF01040
ENSG00000006704,PF02946
ENSG00000006712,PF03985
ENSG00000006715,PF00637
ENSG00000006740,PF00620|PF03114
ENSG00000006744,PF12706|PF13691
ENSG00000006747,PF00626
ENSG00000006756,PF00884|PF14707
ENSG00000006757,PF01734
ENSG00000006788,PF00063|PF01576|PF02736
ENSG00000006831,PF03006
ENSG00000006837,PF00069
ENSG00000007001,PF01048
ENSG00000007038,PF00089
ENSG00000007047,PF00069|PF00627|PF02149
ENSG00000007062,PF05478
ENSG00000007080,PF06244
ENSG00000007129,PF00047|PF07686|PF13895
ENSG00000007168,PF00400|PF08513
ENSG00000007171,PF00175|PF00258|PF00667|PF02898
ENSG00000007174,PF03028|PF07728|PF08385|PF08393|PF12774|PF12775|PF12777|PF12780|PF12781
ENSG00000007202,PF10344|PF10347|PF10351
ENSG00000007216,PF00939
ENSG00000007237,PF00397|PF00611|PF14604|PF16623
ENSG00000007255,PF04051
ENSG00000007264,PF00017|PF00018|PF07714
ENSG00000007306,PF07686|PF13927
ENSG00000007312,PF07686
ENSG00000007314,PF00520|PF06512
ENSG00000007341,PF04184
ENSG00000007350,PF00456|PF02779|PF02780
ENSG00000007372,PF00046|PF00292
