EnsemblId,TranscriptionFactorBindingSites
ENSG00000000003,MafB|NF-kappaB|Pitx3|RXR::LXR|STAT
ENSG00000000005,Dlx2|Dlx3|Ets|HNF1|Hoxc9|Irf|Lhx3|Mef2|Nkx6-1|Otx2|Phox2a|Pou2f1|Pou3f2|Srf
ENSG00000000419,Arid3a|Ehf|Foxa
ENSG00000000457,ATF|CREB|Jundm2|NF-Y|RORalpha1|YY1
ENSG00000000460,Elk1|GABP
ENSG00000000938,CTCF|E2A|Elk1|FEV|Klf7|MIF-1|Maf|Mef2|NF-kappaB|Nanog|Nrf-2|RREB-1|Rfx|SF1|Sp1|Sp4
ENSG00000001036,Ehf|GABP|NF-Y|NR3C
ENSG00000001084,OTX|Sp4
ENSG00000001167,Arid3a|E2F|Elk1|GABP|KROX|Klf7|NF-Y|Nkx2|Nrf-1|Sp1|Sp4|YY1
ENSG00000001460,Bach1|CTCF|Foxa|Hoxb4|Klf7|Maf|Mrg|NR4A2|PPARG|PPAR|RREB-1
ENSG00000001461,Hsf|Klf7
ENSG00000001497,AP-2|Elk1|Ets|GABP|LRH1|NF-Y|TEF-1|Tel2
ENSG00000001561,Klf7|NF-Y|Nrf-1|Sp1
ENSG00000001626,Arnt|Barx1|Bsx|CHX10|Dlx2|Dmbx1|Gsc|HNF6|Hoxa3|Hoxb3|Hoxb4|Hoxc9|Hoxd8|Lhx3|MafB|Mrg1::Hoxa9|NF-I|Nrf-2|Otx2|Pax7|Phox2a|Pou3f2|Pou4f3|Prrx2|Tcf|Vax2
ENSG00000001630,Arid3a|CDP|Klf7|Mef2|Sp1
ENSG00000001631,CACD|Egr|Ehf|Hoxb13|Hsf|Mef2|Nkx2|Nkx6-1|Pou4f3|RP58|RXR|Sp1|Sp4
ENSG00000002016,CTCF|Sp4
ENSG00000002330,E2A|HNF4|KROX|Klf7|Nrf-1|Rfx|Sp1|Sp4
ENSG00000002549,GABP|Klf7|Myc|PPARG|Sp1|Sp4
ENSG00000002587,CTCF|E2A|Ets|Myf|RORalpha1|Sp1|Sp4|Tcf
ENSG00000002746,Bsx|CACD|CREB|CTCF|Dlx2|E2A|Egr|Foxd1|HNF6|Hoxd8|Hsf|KROX|LXR|Mrg|Nkx6-1|OTX|Pitx3|Pou2f1|Pou6f1|RREB-1|Rfx|STAT|Sp1|Sp4|TEF-1
ENSG00000002822,ATF|Ascl2|Barhl1|CDP|CHX10|CTCF|Dlx3|E2A|Elk1|Err-alpha|Gbx1|Gbx2|HEB|Hoxc9|Hoxd8|LRH1|Lhx3|Lhx4|MafB|Myf|Nkx2|Nkx6-1|Octamer|Pou2f1|Pou3f4|Pou4f3|RORalpha1|RP58|RXR|SF1|Sp4|Tal1beta|Tcf
ENSG00000002834,AP-1|Ascl2|Bach1|CTCF|Egr|Elk1|Esr1|GABP|GCNF|HNF4|KROX|Klf7|MIF-1|NERF1a|NR4A2|Nrf-2|PPARG|RAR|RORalpha1|RREB-1|RXR::LXR|Sp1|Sp4
ENSG00000002919,Egr|KROX|Klf7|NF-Y|Sp1|Sp4
ENSG00000003056,Ehf|Elk1|Ets|GABP|NF-Y|PU.1
ENSG00000003096,Barx2|CHX10|CTCF|Dbx2|E2A|En-1|Err-alpha|Foxc1|Gbx1|Gbx2|Gsc|HNF4|HNF6|Hlx1|Hlxb9|Hoxa3|Hoxa5|Hoxa7|Hoxb3|Hoxb4|Hoxb6|Hoxb7|Hoxb8|Hoxc6|Hoxc9|Hoxd8|Irf|Isx|Lhx3|Lhx8|MafB|Maf|Mef2|Msx-1|NF-kappaB|NR3C|NRSF|Nkx1-1|Nkx6-1|Nrf-2|OTX|Octamer|PPARG|Pax-6|Pbx-1|Pbx|Pou2f1|Pou3f2|Pou3f4|Pou4f3|Pou5f1|Prrx1|RAR|Rfx|STAT|Sox|Srf|Tal1beta|Tgif1|YY1
ENSG00000003137,AREB6|Crx|Esr1|Esr2|Ets|FXR|Foxa|Foxc1|GABP|GLI|HEN1|Hoxb6|INSM1|Irf|KROX|Klf7|LXR|Mef2|Myf|NF-kappaB|Nkx2|Nkx6-1|Nrf-2|PPARG|RAR|RXR::LXR|Rfx|Sp1|Sp4|TCF11::MafG|TLX1::NFIC|Tel2|Zfp161
ENSG00000003147,AP-1|AP-4|Bach1|Bach2|Barhl1|CTCF|E2A|Hoxa13|Hoxb3|Hoxb8|Hoxc9|Klf7|Lhx3|Maf|Mrg1::Hoxa9|Msx-1|Msx2|Myf|Nkx6-1|Nobox|OTX|Olf-1|RORalpha1|Sp1|Sp4|Zfp161
ENSG00000003249,Ascl2|Mef2|NF-Y|Nrf-2|Sp1|Sp4
ENSG00000003393,ATF3|ATF|Arid3a|CREB|Jundm2|KROX|Klf7|Lhx3|MIF-1|Nkx2|RAR|RORalpha1|STAT|Sp1|Tal1|Tgif1
ENSG00000003400,ATF|Jundm2
ENSG00000003402,AP-1|AP-4|GABP|HEB|Irf|MIF-1|NF-kappaB|RP58|RXR::LXR|SF1
ENSG00000003436,AP-1|CHX10|CTCF|Evi-1|Gbx2|Hlx1|Hoxa9|Lhx3|NF-E2|NF-I|NF-Y|NRSF
ENSG00000003509,GABP|NR4A2
ENSG00000003987,CACD|HEN1|HNF6|Hoxc9|Lmo2-complex|Osf2|Pou3f4|Pou6f1|Sp1
ENSG00000003989,Ebox|Egr|Foxd1|Gsc|HEN1|NF-I|TLX1::NFIC
ENSG00000004059,Klf7|NF-kappaB|RORalpha1|Sp1
ENSG00000004139,Ascl2|Egr|Foxa|Klf7|Mrg1::Hoxa9|Mrg|NF-kappaB|NRSF|RREB-1|Sp1|Tcf
ENSG00000004399,AREB6|E2A|LRH1|NR4A2
ENSG00000004455,AP-1|Dmbx1|E2F|Esr1|Ets|GATA|HNF1|Hoxc9|KROX|LRH1|NF-E2|PPARG|RREB-1|SF1|STAT|Sp4
ENSG00000004478,Egr|Esr1|Esr2|Hsf|Klf7|Sp1|Sp4
ENSG00000004487,Arid3a|Ets|Foxd3|Hoxb13|Klf7|NF-Y|Nkx6-1|Pou6f1|Sp1|Zfp161
ENSG00000004660,AP-1|Egr|Hsf|KROX|Klf7|NF-kappaB|Nrf-1|Nrf-2|Pou2f1|Rfx|Sp1|Sp4
ENSG00000004700,CACD|GCNF|KROX|Klf7|Msx2|NF-Y|NR4A2|Nobox|OTX|RORalpha1|RREB-1|Rfx|Sp4
ENSG00000004766,Arid3a|Bach1|Bach2|Barhl1|Barx1|Dmbx1|Ebox|En-1|Err-alpha|Gsc|Hoxa3|Hoxa5|Hoxa9|Hoxb4|Hoxd8|Isl2|Klf7|Lhx3|Mef2|NF-E2|Nkx2|Nobox|Pou2f1|RREB-1|Sp1|Tcf|znf143
ENSG00000004776,AP-4|Ascl2|INSM1|Klf7|Maf|PPARG|Sp1|Tal1
ENSG00000004777,GATA|Klf7|NF-Y|Nkx2|RREB-1|Sp1|Tgif1
ENSG00000004779,Nrf-1
ENSG00000004809,CHX10|Crx|Gsc|Hoxb13|Nobox
ENSG00000004846,CTCF|Dlx3|NR3C|Prrx2|Rfx|Tcf
ENSG00000004848,E2F|Err-alpha|HNF4|Klf7|Myc|NF-Y|NF-kappaB|NR4A2|Pbx|RAR|RP58|RREB-1
ENSG00000004866,Arid3a|Bach1|Bach2|Barx1|Bsx|CACD|CHX10|Cdx2|E2A|Err-alpha|Foxk1|Foxo|GATA|Gfi1|Hmx|Hoxa5|Hoxa7|Hoxb4|Hoxb9|Hoxc9|Hsf|Isl2|Lhx3|Lhx4|MafB|Mrg1::Hoxa9|Mrg|NF-kappaB|Nkx1-1|Nkx2|Nkx6-1|OTX|Obox6|Octamer|PPARG|Pax-4|Pax7|Pbx-1|Pdx1|Phox2a|Pou2f1|Pou3f2|Pou6f1|Rfx|STAT|Tal1|Tal1beta|Tcf|Tgif1
ENSG00000004897,GABP|NF-I|Nkx1-1|Nobox|OTX|Vax2
ENSG00000004948,Brachyury|CTCF|Eomes|HNF1|HNF4|Hoxb13|KROX|Lhx3|MIF-1|PPARG|Pax-6|Pou2f1|Pou3f3|Pou3f4|Prrx1|Sp1|TBX5
ENSG00000004961,ATF6|GABP|PU.1|Sp1|znf143
ENSG00000004975,AP-4|Arnt|Ebox|Egr|Myc|Nrf-1|Sp4|Stra13
ENSG00000005001,AP-1|Klf7|Nrf-2|Sp1
ENSG00000005007,E2F|Elk1|GLI|Nrf-1|Sp1|Zfp161|Zic
ENSG00000005020,AP-1|AP-4|Barhl1|CDP|CTCF|Cdx2|Dbx1|E2A|Egr|Err-alpha|Esr1|Ets|FEV|Foxa|Foxj2|HNF4|HNF6|Hmx|Hoxa13|Hoxa5|Hoxb13|Hoxb9|Hoxc9|Hoxd10|Isl2|KROX|Klf7|Myf|NF-Y|NR4A2|Nkx6-1|Nrf-1|Octamer|Pou5f1|Prrx2|RAR|RORalpha1|RREB-1|RXR|Rfx|Sp1|Srf|Tel2
ENSG00000005022,CTCF|Egr|Ehf|Ets|GABP|HNF4|KROX|NR4A2|PPARG|PPAR|Tel2
ENSG00000005059,Ehf|Elk1|Ets|GABP|Irf|Myf|NF-I|Tel2
ENSG00000005073,AREB6|ATF6|Ebox|Foxa|Irf|Lmo2-complex|Mrg1::Hoxa9|NF-kappaB|Pax-6|Pou3f2|RP58|Tcf
ENSG00000005075,CTCF|Nrf-1
ENSG00000005100,ATF3|Myc|STAT|Sp4|Tel2|znf143
ENSG00000005102,E2A|Gbx2|Hoxa9|Hoxb13|Hoxb9|Mef2|NERF1a|Pou2f1|Prrx2|RREB-1|Srf
ENSG00000005108,AP-1|AP-4|Arid3a|Elf1|Foxa|Foxc1|Foxd1|Foxj1|Foxk1|Foxo|GATA|Hoxa9|Hoxb13|Hoxb8|Irf|Lhx3|MafB|Msx2|Nrf-2|OTX|Octamer|Pdx1|Pou5f1
ENSG00000005156,ATF6|CTCF|E4F1|KROX|Myc|Nrf-1|RP58|Sp1|Sp4
ENSG00000005175,CTCF|Err-alpha|Klf7|SF1|Sp1|Sp4
ENSG00000005187,Pbx-1
ENSG00000005189,Elk1|Ets|GABP|Sp4|TLX1::NFIC|Tel2
ENSG00000005194,KROX|RXR
ENSG00000005206,NR4A2|SF1
ENSG00000005238,AP-1|AP-2|AP-4|Bach1|Bach2|CTCF|Egr|HEB|HEN1|KROX|Klf7|Myc|Myf|NF-E2|NF-Y|Nkx2|OTX|Otx2|RREB-1|RXR|Rfx|Sp1|Sp4|Tal1
ENSG00000005243,AP-4|RP58
ENSG00000005249,Arnt|Dmbx1|E2A|E2F|Ebox|Egr|Err-alpha|Esr1|GCNF|HNF4|HNF6|Hoxa5|Hoxd8|KROX|Myc|Myf|NR4A2|Osf2|PPARG|PPAR|Pou2f1|RAR|RORalpha1|RREB-1|Rfx|TEF-1
ENSG00000005302,CTCF|Crx|Nrf-1|OTX
ENSG00000005339,CREB|Elf1|Klf7|Lmo2-complex|MIF-1|Myf|Sp1|Sp4|YY1
ENSG00000005379,Hsf|LF-A1|MIF-1|RREB-1|Rfx
ENSG00000005381,AP-4|Elf1|FEV|Klf7|Myf|PU.1|RREB-1|Tal1
ENSG00000005421,Ascl2|Bach1|CTCF|Foxc1|Foxo|HEB|Klf7|PPARG|Pbx-1|Pou2f1|RP58|Sp1|Tal1|Tal1beta
ENSG00000005436,Myf|Pou2f1|RAR|Zfp161
ENSG00000005448,E2A|KROX|Klf7|Mrg|NERF1a|Sp1|Tgif1
ENSG00000005513,GLI|Klf7|Myc|Sp1|Sp4|Zfp161|Zic
ENSG00000005700,Barhl1|Barx1|Barx2|E2F|GCNF|Gbx1|Hoxb7|Isl2|Lhx3|Lhx4|Msx2|NF-Y|Nobox|Obox6|Pou2f1|Pou6f1|Prrx2|Sp4
ENSG00000005810,Arid3a|CTCF|Dbx2|Duxl|En-1|Err-alpha|Esx1|Ets|Foxj2|GATA|Gbx2|Gfi1|HNF1|HNF6|Hlxb9|Hmx|Hoxa3|Hoxa5|Hoxb4|Hoxd8|Hsf|Irf|Isl2|Isx|Lhx3|Lhx4|Mef2|Mrg|Msx2|NF-Y|Ncx|Nkx6-1|Octamer|Pax-6|Pax7|Pbx-1|Pdx1|Pou2f1|Pou3f2|Prrx1|Prrx2|RORalpha1|RREB-1|Sp1|Tgif1|Vax2|YY1
ENSG00000005812,Err-alpha|Hsf|NF-I|OTX|Pax-6|Pou4f3|RORalpha1|SF1|Zfp161
ENSG00000005844,NF-kappaB
ENSG00000005882,Arnt|CTCF|Ets|HEB|HEN1|Myc|Myf|NF-Y|Sp1|Sp4
ENSG00000005884,AP-4|Ascl2|CACD|E2A|Foxa|Foxj2|GABP|HNF4|Myf|Sp1|Sp4|TEF-1|Zfp161
ENSG00000005889,Ascl2|CTCF|Dlx5|Mef2|Nanog|Nkx1-1|Pou6f1|YY1
ENSG00000005893,CTCF|HNF4|Hoxa3|Hoxb4|Hoxd8|Klf7|Nkx2|Nrf-2|Pou2f1|Pou4f3|RP58|RREB-1|Rfx|Sp1|Sp4|YY1|Zic
ENSG00000005955,Foxa|KROX|Klf7|LF-A1|NF-Y|NF-kappaB|SF1|Sp1|Sp4|YY1
ENSG00000005961,Elf1|Ets|GATA|NERF1a|NF-kappaB|Nrf-2|PU.1
ENSG00000006007,Elk1|Ets|GABP|GATA|NF-Y|Nrf-2|Rfx|Sp1|Tgif1|YY1
ENSG00000006015,CTCF|Klf7|Sp1|Sp4
ENSG00000006016,Eomes|Hoxc10|Klf7|Nkx6-1|Sp1|Sp4|TBX5
ENSG00000006025,AP-1|Ascl2|E2A|HEN1|Klf7|Nrf-2|Olf-1|Pou5f1|RREB-1|Sp1|TLX1::NFIC|Tal1
ENSG00000006042,Zfp161|Zic
ENSG00000006047,AREB6|E2F|Ebox|Elf1|Ets|FEV|Gsc|HNF4|Klf7|Myc|RAR|Sp1|Sp4|Stra13|Tal1
ENSG00000006059,ATF|CACD|CREB|Ets|Hoxa13|NRSF|Octamer|Pou2f1
ENSG00000006062,AP-1|CTCF|Egr|KROX|Klf7|Myf|NF-Y|Nrf-1|Rfx|STAT|Sp1|Sp4|Tal1beta
ENSG00000006071,Elk1|Eomes|GABP|NRSF
ENSG00000006075,STAT|Srf
ENSG00000006114,AP-4|Arnt|Ascl2|E2A|E2F|Ebox|GABP|HEB|Klf7|Myc|NF-Y|STAT|Sp1|Stra13|Tel2|Zfp161
ENSG00000006116,Dbx2|GATA|KROX|LXR|Mrg1::Hoxa9|NF-kappaB|NRSF|Nkx6-1|RXR
ENSG00000006118,E2A|Myf|SF1
ENSG00000006125,AP-1|AP-2|ATF3|ATF4|ATF|CACD|CREB|Elf3|Ets|Jundm2|Klf7|Nrf-2|Osf2|STAT|TEF-1
ENSG00000006194,Ebox|Ehf|RREB-1|Sp1
ENSG00000006210,Err-alpha|Esr1|GCNF|MIF-1|NERF1a|NR4A2|RREB-1|Rfx|SF1|TLX1::NFIC
ENSG00000006282,ATF3|LXR|PPARG|Sp1
ENSG00000006283,AP-4|ATF3|INSM1|KROX|Klf7|Myc|NF-Y|NF-kappaB|RP58|RREB-1|Sp1|Sp4|TEF-1
ENSG00000006327,AP-1|Bach1|Bach2|CTCF|Egr|Esr1|HNF4|INSM1|Klf7|RREB-1|Sp1|Sp4|TEF-1
ENSG00000006432,Ebox|Klf7|Myf|NF-Y|Sp1|Sp4
ENSG00000006451,AP-1|Elf1|Ets|NR4A2|RP58|SF1|Sp1|Tal1beta|YY1
