Gene stable ID	Gene name	Gene description
ENSG00000167083	GNGT2	G protein subunit gamma transducin 2 [Source:HGNC Symbol;Acc:HGNC:4412]
ENSG00000117461	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
ENSG00000198055	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]
ENSG00000102962	CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]
ENSG00000161921	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENSG00000102970	CCL17	C-C motif chemokine ligand 17 [Source:HGNC Symbol;Acc:HGNC:10615]
ENSG00000106299	WASL	Wiskott-Aldrich syndrome like [Source:HGNC Symbol;Acc:HGNC:12735]
ENSG00000173585	CCR9	C-C motif chemokine receptor 9 [Source:HGNC Symbol;Acc:HGNC:1610]
ENSG00000275718	CCL15	C-C motif chemokine ligand 15 [Source:HGNC Symbol;Acc:HGNC:10613]
ENSG00000167414	GNG8	G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]
ENSG00000177885	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]
ENSG00000148082	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]
ENSG00000271503	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]
ENSG00000100906	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
ENSG00000127955	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]
ENSG00000115009	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]
ENSG00000108700	CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]
ENSG00000114450	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]
ENSG00000168243	GNG4	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]
ENSG00000129946	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]
ENSG00000069966	GNB5	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]
ENSG00000198873	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]
ENSG00000117020	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSG00000171608	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]
ENSG00000101336	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]
ENSG00000277632	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]
ENSG00000173175	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]
ENSG00000137486	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]
ENSG00000276536	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]
ENSG00000142875	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]
ENSG00000121281	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]
ENSG00000142208	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
ENSG00000143184	XCL1	X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]
ENSG00000169398	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]
ENSG00000275302	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]
ENSG00000172354	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]
ENSG00000163932	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]
ENSG00000160293	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]
ENSG00000146426	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:HGNC:11806]
ENSG00000138755	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]
ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]
ENSG00000165059	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]
ENSG00000137841	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]
ENSG00000078295	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]
ENSG00000163823	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]
ENSG00000184451	CCR10	C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]
