Gene stable ID,SMART domains ID
ENSG00000198888,
ENSG00000198763,
ENSG00000198804,
ENSG00000198712,
ENSG00000228253,
ENSG00000198899,
ENSG00000198938,
ENSG00000198840,
ENSG00000212907,
ENSG00000198886,
ENSG00000198786,
ENSG00000198695,
ENSG00000198727,
ENSG00000262851,
ENSG00000261897,
ENSG00000262784,
ENSG00000262611,
ENSG00000273578,SM00409
ENSG00000165487,SM00054
ENSG00000165487,
ENSG00000263328,
ENSG00000262796,
ENSG00000262315,
ENSG00000281038,
ENSG00000261958,
ENSG00000262191,
ENSG00000276561,SM01243
ENSG00000276561,SM00348
ENSG00000231116,
ENSG00000262647,
ENSG00000132975,SM01381
ENSG00000083642,
ENSG00000276425,SM00409
ENSG00000120158,
ENSG00000275172,SM00408
ENSG00000275172,SM00409
ENSG00000171135,
ENSG00000105549,
ENSG00000105549,SM00705
ENSG00000275326,
ENSG00000242361,SM00407
ENSG00000101605,SM00060
ENSG00000101605,SM00409
ENSG00000101605,SM00408
ENSG00000242361,SM00920
ENSG00000101605,
ENSG00000242092,SM00407
ENSG00000134453,SM00443
ENSG00000134453,SM00361
ENSG00000134453,
ENSG00000275326,SM00326
ENSG00000242092,SM00921
ENSG00000275003,
ENSG00000275758,
ENSG00000277909,
ENSG00000277897,
ENSG00000278373,SM00014
ENSG00000278373,
ENSG00000071575,
ENSG00000273326,
ENSG00000071575,SM00220
ENSG00000272712,
ENSG00000273086,
ENSG00000275050,SM00349
ENSG00000275050,SM00355
ENSG00000280969,
ENSG00000278091,SM00349
ENSG00000277773,
ENSG00000278091,SM00355
ENSG00000278091,
ENSG00000277773,SM00333
ENSG00000234495,SM00449
ENSG00000234495,SM00184
ENSG00000234495,SM00589
ENSG00000234495,SM00336
ENSG00000276595,
ENSG00000102678,SM00442
ENSG00000152484,
ENSG00000281748,
ENSG00000148429,SM00164
ENSG00000148429,
ENSG00000162591,SM00181
ENSG00000162591,SM00179
ENSG00000162591,SM00180
ENSG00000101680,SM00181
ENSG00000101680,SM00180
ENSG00000101680,SM00136
ENSG00000101680,SM00282
ENSG00000101680,SM00281
ENSG00000163701,
ENSG00000263247,
ENSG00000263247,SM01412
ENSG00000262612,
ENSG00000273457,
ENSG00000261984,
ENSG00000273431,
ENSG00000273092,
ENSG00000272805,
ENSG00000263097,
ENSG00000272803,SM01412
ENSG00000263028,
ENSG00000262525,
ENSG00000262111,
ENSG00000162981,
ENSG00000224979,SM00651
ENSG00000277495,
ENSG00000168913,
ENSG00000100462,
ENSG00000125304,
ENSG00000206190,
ENSG00000166963,
ENSG00000133116,
ENSG00000188976,
ENSG00000278780,SM00349
ENSG00000227231,
ENSG00000183146,
ENSG00000275565,SM00308
ENSG00000226704,
ENSG00000282684,
ENSG00000243943,SM00355
ENSG00000225351,SM00355
ENSG00000225351,SM00349
ENSG00000235941,
ENSG00000134463,
ENSG00000277429,
ENSG00000232804,
ENSG00000163798,SM00240
ENSG00000163798,
ENSG00000071991,SM00112
ENSG00000226463,
ENSG00000150995,SM00472
ENSG00000233054,
ENSG00000071991,
ENSG00000119760,SM00576
ENSG00000278545,SM00744
ENSG00000278545,
ENSG00000176714,
ENSG00000100461,SM00360
ENSG00000261456,SM00864
ENSG00000261456,SM00865
ENSG00000261456,
ENSG00000133250,SM00355
ENSG00000133250,
ENSG00000187634,SM00258
ENSG00000226271,
ENSG00000187634,
ENSG00000131981,
ENSG00000225550,
ENSG00000148584,
ENSG00000131951,SM00365
ENSG00000131951,SM00364
ENSG00000131951,SM00369
ENSG00000148584,SM00360
ENSG00000100461,
ENSG00000131951,
ENSG00000131981,SM00908
ENSG00000131981,SM00276
ENSG00000198522,
ENSG00000263141,
ENSG00000204147,
ENSG00000171863,
ENSG00000226347,
ENSG00000198522,SM00382
ENSG00000172661,
ENSG00000104907,SM00356
ENSG00000186496,SM00355
ENSG00000186496,SM00431
ENSG00000186496,
ENSG00000104907,
ENSG00000187634,SM00454
ENSG00000181588,SM00322
ENSG00000133121,SM00234
ENSG00000133121,SM00324
ENSG00000198680,
ENSG00000273772,SM00333
ENSG00000273772,
ENSG00000133121,
ENSG00000197746,SM00162
ENSG00000197746,SM00741
ENSG00000105397,
ENSG00000236927,
ENSG00000274391,SM01326
ENSG00000274391,
ENSG00000119681,SM00179
ENSG00000119681,SM00181
ENSG00000105397,SM00219
ENSG00000105397,SM00252
ENSG00000068650,
ENSG00000187134,
ENSG00000230505,
ENSG00000105397,SM00295
ENSG00000171451,
ENSG00000232289,
ENSG00000163520,SM00179
ENSG00000163520,SM00181
ENSG00000163520,SM00104
ENSG00000153391,
ENSG00000153391,SM00993
ENSG00000163520,
ENSG00000211448,
ENSG00000142910,SM00645
ENSG00000267140,
ENSG00000258289,
ENSG00000154719,
ENSG00000273572,SM00112
ENSG00000276979,SM00409
ENSG00000257365,
ENSG00000262860,SM01199
ENSG00000262860,SM01271
ENSG00000273572,
ENSG00000162493,
ENSG00000262860,
ENSG00000223618,
ENSG00000136891,
ENSG00000135605,SM00107
ENSG00000135605,SM00233
ENSG00000135605,SM00219
ENSG00000135605,SM00252
ENSG00000135605,SM00326
ENSG00000125954,
ENSG00000135605,
ENSG00000196664,SM00255
ENSG00000196664,SM00369
ENSG00000196664,SM00082
ENSG00000196664,SM00365
ENSG00000277656,
ENSG00000136141,SM00369
ENSG00000136141,SM00033
ENSG00000136141,SM00364
ENSG00000139998,SM00174
ENSG00000139998,SM00175
ENSG00000139998,SM00173
ENSG00000139998,SM00176
ENSG00000136141,
ENSG00000101916,SM00365
ENSG00000101916,SM00369
ENSG00000101916,SM00255
ENSG00000101916,SM00082
ENSG00000107897,
ENSG00000163541,SM00881
ENSG00000176153,
ENSG00000163541,
ENSG00000137076,SM00307
ENSG00000137076,SM01244
ENSG00000137076,SM00295
ENSG00000122026,
ENSG00000274429,SM00326
ENSG00000274429,SM00072
ENSG00000274429,SM00228
ENSG00000236693,SM00921
ENSG00000236693,SM00407
ENSG00000278839,
ENSG00000233757,SM00349
ENSG00000233757,SM00355
ENSG00000163749,
ENSG00000165182,
ENSG00000156140,SM00209
ENSG00000184831,
ENSG00000235844,SM00920
ENSG00000235844,SM00407
ENSG00000090487,
ENSG00000125952,
ENSG00000235844,
ENSG00000267059,
ENSG00000101654,
ENSG00000125952,SM00353
ENSG00000205542,SM00152
ENSG00000127540,
ENSG00000274429,
ENSG00000205542,
ENSG00000080293,SM00008
ENSG00000070610,
ENSG00000231608,SM00181
ENSG00000231608,SM00060
ENSG00000231608,SM00186
ENSG00000231608,
ENSG00000175489,
ENSG00000187682,SM00175
ENSG00000187682,SM00174
ENSG00000187682,SM00173
ENSG00000144035,
ENSG00000262938,
ENSG00000102109,
ENSG00000281310,
ENSG00000021355,SM00093
ENSG00000273514,SM00339
ENSG00000177150,
ENSG00000234728,
ENSG00000157851,
ENSG00000148426,
ENSG00000165097,
ENSG00000160877,SM00225
ENSG00000196812,SM00355
ENSG00000196812,SM00431
ENSG00000126549,
ENSG00000107175,SM00338
ENSG00000204084,SM00128
ENSG00000204084,SM00324
ENSG00000160877,SM01025
ENSG00000232414,
ENSG00000276582,SM00382
ENSG00000160877,
ENSG00000071655,SM00391
ENSG00000103978,
ENSG00000140988,
ENSG00000101474,
ENSG00000071655,
ENSG00000105227,SM00228
ENSG00000167945,
ENSG00000147121,SM00349
ENSG00000183186,SM00239
ENSG00000277865,
ENSG00000206422,SM00369
ENSG00000204084,
ENSG00000267978,SM01373
ENSG00000267978,SM01392
ENSG00000166847,
ENSG00000109255,SM00084
ENSG00000165948,
ENSG00000229125,
ENSG00000164024,
ENSG00000120159,
ENSG00000105372,SM01413
ENSG00000108061,SM00364
ENSG00000108061,SM00365
ENSG00000108061,SM00369
ENSG00000251349,SM00280
ENSG00000142892,
ENSG00000150893,SM00237
ENSG00000274473,SM00070
ENSG00000241697,SM00280
ENSG00000123575,
ENSG00000275571,SM00028
ENSG00000168468,SM00338
ENSG00000066697,
ENSG00000234414,SM00360
ENSG00000168468,
ENSG00000125246,
ENSG00000152315,
ENSG00000275269,
ENSG00000278120,SM00409
ENSG00000275269,SM00409
ENSG00000262795,
ENSG00000161920,
ENSG00000243725,SM00028
ENSG00000126261,
ENSG00000137203,
ENSG00000157103,
ENSG00000204304,SM00389
ENSG00000122863,
ENSG00000084764,
ENSG00000101298,
ENSG00000161921,
ENSG00000274143,SM00409
ENSG00000185825,
ENSG00000128694,
ENSG00000114735,
ENSG00000274739,SM00409
ENSG00000101608,SM00054
ENSG00000242875,SM00360
ENSG00000258461,
ENSG00000114541,SM00295
ENSG00000114541,SM01196
ENSG00000101608,
ENSG00000114541,
ENSG00000106009,
ENSG00000263160,
ENSG00000271723,
ENSG00000144034,
ENSG00000244588,
ENSG00000275125,
ENSG00000170390,SM00537
ENSG00000170390,SM00220
ENSG00000174775,SM00174
ENSG00000174775,SM00175
ENSG00000174775,SM00173
ENSG00000088543,
ENSG00000170390,
ENSG00000275434,SM00409
ENSG00000129946,SM00462
ENSG00000129946,SM00252
ENSG00000151687,SM00185
ENSG00000151687,SM00248
ENSG00000129946,
ENSG00000138050,SM00981
ENSG00000278718,
ENSG00000118680,SM00054
ENSG00000260802,
ENSG00000165188,SM00184
ENSG00000138050,
ENSG00000138623,SM00630
ENSG00000138623,SM00423
ENSG00000277131,
ENSG00000165997,SM00177
ENSG00000165997,SM00178
ENSG00000104915,
ENSG00000184933,
ENSG00000276825,SM01381
ENSG00000138623,
ENSG00000109046,SM00320
ENSG00000214013,
ENSG00000125356,
ENSG00000170542,SM00093
ENSG00000183873,
ENSG00000076344,SM01224
ENSG00000076344,SM00315
ENSG00000076344,SM00049
ENSG00000076344,SM00224
ENSG00000144730,
ENSG00000204385,
ENSG00000262484,
ENSG00000164237,
ENSG00000125352,SM00356
ENSG00000125352,SM00184
ENSG00000196639,SM01381
ENSG00000132639,SM00397
ENSG00000147251,SM00233
ENSG00000275581,
ENSG00000196639,
ENSG00000116544,
ENSG00000147251,
ENSG00000242485,
ENSG00000279389,
ENSG00000231924,SM00409
ENSG00000231924,SM00408
ENSG00000268738,SM00415
ENSG00000181781,
ENSG00000117000,SM00355
ENSG00000166368,
ENSG00000170790,
ENSG00000232258,
ENSG00000203818,SM00428
ENSG00000126787,
ENSG00000076344,
ENSG00000104915,SM00397
ENSG00000274327,
ENSG00000231924,
ENSG00000058056,SM00290
ENSG00000058056,SM00165
ENSG00000149050,SM00355
ENSG00000149050,SM00349
ENSG00000102683,
ENSG00000058056,
ENSG00000133115,SM00244
ENSG00000234954,
ENSG00000132623,
ENSG00000164122,SM00969
ENSG00000164122,SM00248
ENSG00000166363,
ENSG00000272835,
ENSG00000132623,SM00248
ENSG00000164122,
ENSG00000156282,
ENSG00000277316,
ENSG00000242173,
ENSG00000156284,
ENSG00000110651,
ENSG00000215126,SM00833
ENSG00000263513,
ENSG00000273713,
ENSG00000184313,
ENSG00000149054,SM00355
ENSG00000149054,SM00431
ENSG00000149054,SM00349
ENSG00000282712,
ENSG00000166183,SM00248
ENSG00000166183,SM00870
ENSG00000109046,SM00969
ENSG00000109046,SM00253
ENSG00000156886,SM00191
ENSG00000156886,SM00327
ENSG00000109046,
ENSG00000278707,SM00409
ENSG00000107742,SM00211
ENSG00000107742,SM00280
ENSG00000170782,
ENSG00000179044,
ENSG00000178358,
ENSG00000011105,
ENSG00000107742,
ENSG00000163565,SM01289
ENSG00000269556,
ENSG00000204740,SM00137
ENSG00000204740,SM00181
ENSG00000204740,SM00192
ENSG00000075884,
ENSG00000149639,
ENSG00000215126,
ENSG00000151632,
ENSG00000153904,
ENSG00000204740,
ENSG00000123576,SM00389
ENSG00000184574,
ENSG00000075884,SM00324
ENSG00000075884,SM00233
ENSG00000235098,
ENSG00000235098,SM00248
ENSG00000250317,
ENSG00000142867,
ENSG00000105369,SM00408
ENSG00000105369,SM00077
ENSG00000105369,SM00409
ENSG00000163867,SM00746
ENSG00000105655,
ENSG00000129128,
ENSG00000183054,SM00028
ENSG00000183054,SM00160
ENSG00000183054,SM00755
ENSG00000183054,
ENSG00000151779,
ENSG00000139151,
ENSG00000139540,
ENSG00000243749,
ENSG00000275463,SM00408
ENSG00000275463,SM00409
ENSG00000176920,
ENSG00000271741,SM00746
ENSG00000171456,
ENSG00000224379,SM00240
ENSG00000224379,SM00249
ENSG00000074582,
ENSG00000182568,SM00389
ENSG00000182568,SM01109
ENSG00000163331,
ENSG00000205116,
ENSG00000185522,
ENSG00000277238,
ENSG00000172943,SM00558
ENSG00000172943,SM00249
ENSG00000277254,
ENSG00000182568,
ENSG00000278111,
ENSG00000274699,
ENSG00000139151,SM00239
ENSG00000161381,
ENSG00000275679,SM01412
ENSG00000172943,
ENSG00000091592,SM01289
ENSG00000091592,SM00368
ENSG00000277823,SM01412
ENSG00000198873,SM00220
ENSG00000198873,SM00133
ENSG00000198873,SM00315
ENSG00000139631,
ENSG00000161328,
ENSG00000111644,
ENSG00000139151,SM00149
ENSG00000282612,
ENSG00000091490,SM00671
ENSG00000276167,
ENSG00000148225,SM00320
ENSG00000138802,
ENSG00000276541,
ENSG00000282537,
ENSG00000278307,
ENSG00000148225,
ENSG00000139645,SM00248
ENSG00000091490,
ENSG00000139684,
ENSG00000139151,SM00148
ENSG00000091592,
ENSG00000068985,SM01379
ENSG00000074582,SM01024
ENSG00000282269,
ENSG00000099849,SM00314
ENSG00000282269,SM01412
ENSG00000273397,
ENSG00000099849,
ENSG00000179403,SM00327
ENSG00000179403,
ENSG00000277334,SM00409
ENSG00000198315,SM00431
ENSG00000126768,
ENSG00000282256,
ENSG00000163565,
ENSG00000140450,SM01017
ENSG00000179403,SM00060
ENSG00000277454,SM01412
ENSG00000130511,
ENSG00000100218,
ENSG00000172345,SM00234
ENSG00000257115,
ENSG00000163357,
ENSG00000105374,
ENSG00000206412,
ENSG00000189431,
ENSG00000143416,
ENSG00000172345,
ENSG00000123219,
ENSG00000128266,SM00275
ENSG00000198315,SM00355
ENSG00000198315,SM00349
ENSG00000102879,SM00320
ENSG00000102879,SM01166
ENSG00000165219,
ENSG00000173272,
ENSG00000130511,SM00667
ENSG00000278415,SM00409
ENSG00000165516,
ENSG00000278415,
ENSG00000167930,
ENSG00000154930,
ENSG00000150961,
ENSG00000275349,
ENSG00000075886,SM00864
ENSG00000075886,SM00865
ENSG00000275349,SM00333
ENSG00000269881,
ENSG00000089091,
ENSG00000105370,
ENSG00000136709,SM00320
ENSG00000124731,SM00409
ENSG00000101347,SM00454
ENSG00000101347,SM00471
ENSG00000136709,
ENSG00000176095,
ENSG00000147162,SM00028
ENSG00000102879,SM01167
ENSG00000173349,
ENSG00000069399,SM00248
ENSG00000100228,SM00173
ENSG00000100228,SM00174
ENSG00000100228,SM00177
ENSG00000100228,SM00176
ENSG00000100228,SM00175
ENSG00000101342,SM00584
ENSG00000131669,
ENSG00000172349,SM00228
ENSG00000101342,
ENSG00000105996,SM00389
ENSG00000139626,SM00187
ENSG00000139626,SM01242
ENSG00000139626,SM01241
ENSG00000139626,SM00423
ENSG00000143457,
ENSG00000178104,
ENSG00000174010,SM00612
ENSG00000174010,SM00875
ENSG00000174010,SM00225
ENSG00000060642,
ENSG00000074582,SM00382
ENSG00000167604,
ENSG00000139626,
ENSG00000268629,
ENSG00000101951,SM01379
ENSG00000165525,
ENSG00000204444,
ENSG00000139651,SM00355
ENSG00000185946,SM00360
ENSG00000138606,
ENSG00000165219,SM00167
ENSG00000102103,SM00456
ENSG00000189108,SM00255
ENSG00000189108,SM00409
ENSG00000167604,SM00248
ENSG00000185946,
ENSG00000205649,
ENSG00000115568,SM00355
ENSG00000186471,
ENSG00000154027,
ENSG00000102271,SM00612
ENSG00000102271,SM00225
ENSG00000102271,SM00875
ENSG00000138606,SM00252
ENSG00000139197,
ENSG00000122592,SM00389
ENSG00000122592,
ENSG00000115568,
ENSG00000132664,
ENSG00000172262,
ENSG00000118762,
ENSG00000126264,
ENSG00000240038,SM00642
ENSG00000101882,
ENSG00000106006,SM00389
ENSG00000183742,
ENSG00000140274,
ENSG00000197576,SM00389
ENSG00000240038,SM00632
ENSG00000273820,
ENSG00000240038,
ENSG00000104731,
ENSG00000165949,
ENSG00000113273,
ENSG00000172349,
ENSG00000204463,
ENSG00000124795,SM00513
ENSG00000131374,SM00164
ENSG00000197406,
ENSG00000115423,SM00382
ENSG00000187268,
ENSG00000124795,
ENSG00000197496,
ENSG00000198399,SM00239
ENSG00000198399,SM00326
ENSG00000198399,SM00054
ENSG00000198399,SM00233
ENSG00000198399,SM00325
ENSG00000198399,SM00027
ENSG00000105997,SM00389
ENSG00000131374,
ENSG00000198399,
ENSG00000118004,SM00034
ENSG00000105997,
ENSG00000148908,SM00315
ENSG00000084636,SM00210
ENSG00000134186,
ENSG00000101187,
ENSG00000106004,SM00389
ENSG00000130167,
ENSG00000274322,
ENSG00000188800,
ENSG00000080503,
ENSG00000172262,SM00225
ENSG00000118004,
ENSG00000113441,
ENSG00000172262,SM00355
ENSG00000159871,
ENSG00000138771,SM00228
ENSG00000015171,
ENSG00000105518,
ENSG00000130741,
ENSG00000096264,SM00409
ENSG00000131196,SM00429
ENSG00000234623,SM00409
ENSG00000234623,SM00406
ENSG00000139675,SM00360
ENSG00000170525,SM00855
ENSG00000156885,
ENSG00000154118,SM00698
ENSG00000184517,SM00349
ENSG00000184517,SM00355
ENSG00000170525,
ENSG00000084636,
ENSG00000184517,
ENSG00000125775,SM00228
ENSG00000176723,
ENSG00000107242,SM00330
ENSG00000131196,
ENSG00000099866,
ENSG00000126550,
ENSG00000107242,
ENSG00000234623,
ENSG00000123136,SM00487
ENSG00000177721,
ENSG00000151835,SM00748
ENSG00000187866,
ENSG00000123136,SM00490
ENSG00000123136,
ENSG00000251192,SM00349
ENSG00000251192,SM00355
ENSG00000162517,SM00054
ENSG00000140564,SM00261
ENSG00000151835,
ENSG00000140564,
ENSG00000099866,SM00409
ENSG00000122035,SM00174
ENSG00000122035,SM00173
ENSG00000122035,SM00175
ENSG00000262874,
ENSG00000168928,SM00020
ENSG00000146143,
ENSG00000119632,
ENSG00000100764,SM00382
ENSG00000100764,
ENSG00000243137,SM00409
ENSG00000243137,SM00408
ENSG00000140691,SM00185
ENSG00000088832,
ENSG00000141933,
ENSG00000140691,
ENSG00000184343,SM00220
ENSG00000234100,
ENSG00000243137,
ENSG00000139610,SM00020
ENSG00000117500,SM01190
ENSG00000183401,
ENSG00000117500,
ENSG00000233948,SM00449
